CNPJ_Fundo_Classe,Data_Referencia,Versao,Nome_Imovel,Endereco,Data_Alienacao,Area,Numero_Unidades,Outras_Caracteristicas_Relevantes,Percentual_Imovel_Total_Investido,Percentual_Imovel_PL,CNPJ_Fundo
02.508.235/0001-14,2021-06-30,1,Contagem,"Samambaia, Perobas e Campo Do Meio - Contagem -  MG",2021-05-24,2850.36,,,0.0081869979778084,0.008099,
03.683.056/0001-86,2021-06-30,1,Edifício Centeco Plaza,"Av. Paulista, 1.842 - Paulista",2021-06-01,1152.12,1.0,,0.02643,0.023669,
03.683.056/0001-86,2021-12-31,1,CETENCO PLAZA,"Avenida Paulista 1842, Cerqueira Cesar, São Paulo/SP",2021-12-01,2304.24,2.0,,0.044745,0.046007,
08.706.065/0001-69,2021-06-30,1,Double Tree Itaim - UH 1703,"R. Manuel Guedes, 320 - Itaim Bibi, São Paulo - SP",2021-06-08,101.5,3.0,Direito de Propriedade,1.0,0.001,
09.072.017/0001-29,2021-06-30,3,Park Tower,Av. Magalhães de Castro 4.800,2021-05-24,732.24,2.0,-,0.00441,0.004397,
09.072.017/0001-29,2021-06-30,3,Mario Garnero,Av. Brigadeiro Faria Lima 1.485,2021-06-24,1461.68,2.0,-,0.011137,0.011034,
09.072.017/0001-29,2021-12-31,1,Centro Empresarial Mario Garnero,"Av. Brigadeiro Faria Lima, 1.485 - São Paulo - SP",2021-10-25,3654.2,5.0,-,0.000382,0.000381,
09.350.920/0001-04,2021-12-31,1,Indianópolis,"Indianópolis, 739 - São Paulo - SP",2021-10-31,1125.0,1.0,,0.441082,0.442097,
11.728.688/0001-47,2021-09-30,1,CEA - Atibaia,"Av. Tégula, 888, Ponte Alta - Atibaia - SP",2021-09-22,7747.0,3.0,-,0.005347,0.004065,
11.839.593/0001-09,2021-06-30,1,60% do Imóvel Itambé,"Rua Jerônimo Teles Junior 54, , Pirituba, SP, 04154-010",2021-06-11,3223.0,1.0,Direito de Propriedade,0.0301,0.0324,
11.839.593/0001-09,2021-06-30,1,60% do Imóvel Supermarket,"Estrada Rio D'Ouro 800, , Pavuna, RJ, 21535-030",2021-06-11,6898.0,1.0,Direito de Propriedade,0.0138,0.0148,
11.839.593/0001-09,2021-09-30,1,Galpão Industrial Ceratti,"Rodovia Miguel Melhado Campos 324,  Vinhedo, SP, 13053-090",2021-09-09,6451.0,1.0,Direito de Propriedade,0.0263,0.0196,
11.839.593/0001-09,2021-09-30,1,Galpão Industrial Magna,"Rodovia Miguel Melhado Campos 79, Vinhedo, SP, 13288-003",2021-09-09,4862.0,1.0,Direito de Propriedade,0.0117,0.0087,
11.839.593/0001-09,2021-09-30,1,Imóvel Itambé,"Rua Jerônimo Teles Junior 54, Pirituba, SP, 04154-010",2021-09-09,3223.0,1.0,Direito de Propriedade,0.0176,0.0131,
11.839.593/0001-09,2021-09-30,1,Imóvel Supermarket,"Estrada Rio D'Ouro 800, Pavuna, RJ, 21535-030",2021-09-09,6898.0,1.0,Direito de Propriedade,0.008,0.006,
12.887.506/0001-43,2021-03-31,3,Campo Largo,"Rodovia BR 227, km 107 - Rondinhas - Campo Largo/PR",2021-03-30,4790.84,1.0,"Após o cumprimento de todas das condições precedentes previstas no ""Instrumento Particular de Compromisso de Venda e Compra de Bem Imóvel"" celebrado em 30 de novembro de 2020, foi finalizada a venda, pelo Fundo, do imóvel localizado em Campo Largo/PR, tendo sido concluído pagamento ao Fundo, em 30 de março de 2021, do preço total ajustado de R$ 5.350.000,00, conforme aprovada pela Consulta Formal realizada em 30 de outubro de 2020.",0.1443,0.1409,
13.012.312/0001-67,2021-06-30,1,ALL - CIR - complexo Intermodal de Rondonópolis,BR-163- Km 95 a 23 Km do Centro de Rondonópolis,2021-03-31,146256.0,1.0,Baixa do imóvel pela amortização total do direito de uso de solo,0.513087,0.513087,
13.012.312/0001-67,2021-06-30,1,Vale do Brejo - Araguari,15 Km de Araguari - MG,2021-03-31,464640.0,1.0,Baixa do imóvel pela amortização total do direito de uso de solo,0.418444,0.4184444,
13.012.312/0001-67,2021-09-30,1,ALL - CIR - complexo Intermodal de Rondonópolis,BR-163- Km 95 a 23 Km do Centro de Rondonópolis,2021-03-31,146256.0,1.0,Baixa do imóvel pela amortização total do direito de uso de solo,0.513087,0.513087,
13.012.312/0001-67,2021-09-30,1,Vale do Brejo - Araguari,15 Km de Araguari - MG,2021-03-31,464640.0,1.0,Baixa do imóvel pela amortização total do direito de uso de solo,0.418444,0.4184444,
13.568.181/0001-07,2021-06-30,1,Estanteria Pouso Alegre,Pouso Alegra,2021-06-30,1.0,1.0,Baixa pela amortização de 100% do investimento,0.0669,0.0669,
13.568.181/0001-07,2021-09-30,1,Estanteria Pouso Alegre,Pouso Alegra,2021-06-30,1.0,1.0,Baixa pela amortização de 100% do investimento,0.0669,0.0669,
13.568.181/0001-07,2021-12-31,1,Estanteria Pouso Alegre,Pouso Alegra,2021-06-30,1.0,1.0,Baixa pela amortização de 100% do investimento,0.0669,0.0669,
13.873.457/0001-52,2021-12-31,1,Consolação - 2320,"Rua da Consolação, nºs 2.320 e 2.322 - São Paulo/SP",2021-10-22,586.9,1.0,"Imóvel locado para a Ânima, com contrato do tipo ""sale and leaseback"".",0.017129,0.017726,
13.966.653/0001-71,2021-09-30,1,Ed. Thera Corporate,"Av. Engenheiro Luis Carlos Berrini, 105, São Paulo, SP",2021-07-08,10586.16,10.0,"Conjuntos 31, 32, 41, 42, 161, 162, 171, 172, 181 e 182",0.982337,0.981141,
14.056.001/0001-62,2021-09-30,1,WALTER ALVES FILHO E JAQUELINE ALVES,ESTRADA DA BARRA 315 - APTO 301 - BL 01,2021-07-23,182.0,1.0,,,,
14.056.001/0001-62,2021-12-31,2,MARIANO DIAS TEIXEIRA AMORIM DO VALLE,ESTRADA DA BARRA 315 - APTO 302 - BL 01,2021-09-09,182.0,1.0,,,,
14.733.211/0001-48,2021-03-31,1,"Shopping Praça da Moça - 23,06%","Rua Manoel da Nobrega, 712, Centro, Diadema - SP",2021-03-01,29784.27,139.0,-  -,1.0,0.9695,
15.461.076/0001-91,2021-12-31,1,THE ONE OFFICE,AV.ITÁLIA TAUBATÉ,2021-12-20,48.0,1.0,sala 301,0.00379563,0.002012620317,
