CNPJ_Fundo_Classe,Data_Referencia,Versao,Endereco,Data_Alienacao,Area,Outras_Caracteristicas_Relevantes,Percentual_Terreno_Total_Investido,Percentual_Terreno_PL,CNPJ_Fundo
12.358.507/0001-09,2021-12-31,2,Arez - RN,2021-12-10,6.0,Desapropriação Arez  - RN,0.0002695,0.000124,
12.989.974/0001-29,2021-03-31,2,"Praça Marechal Hermes, nº 63, LOTE 1 QUADRA 2 - Bairro Santo Cristo, Município do Rio de Janeiro, Estado do Rio de Janeiro",2021-03-25,14348.9,A transferência do imóvel está em tramitê no 2º Ofício de Registro de Imóveis da Comarca do Rio de Janeiro-RJ,0.002059,0.018578,
12.989.974/0001-29,2021-06-30,1,"Praça Marechal Hermes, nº 63, LOTE 1 QUADRA 2 - Bairro Santo Cristo, Município do Rio de Janeiro, Estado do Rio de Janeiro",2021-03-25,14348.9,A transferência do imóvel está em tramitê no 2º Ofício de Registro de Imóveis da Comarca do Rio de Janeiro-RJ,0.002059,0.018578,
15.489.509/0001-17,2021-12-31,1,Araxá - Capela de Santo Antônio - Bairro Alto - Araxá-MG,2021-12-09,15621.0,Não se aplica,0.008,0.0079,
15.489.509/0001-17,2021-12-31,1,"Rio Pomba - Av. do Contorno, Bairro Cel. José Mendonça dos Reis, Rio Pomba-MG",2021-11-25,4956.0,Não se aplica,0.0022,0.0022,
16.915.968/0001-88,2021-09-30,1,"Gleba 47, Qt 30.027, Campinas-SP",2021-07-13,103900.0,Não possui,0.2491,0.01195,
16.915.968/0001-88,2021-12-31,2,"Rua João Sulinski, 225, Campinas - SP",2021-12-31,45632.0,Não possui,0.018752,0.000928,
17.198.404/0001-34,2021-09-30,1,R. Maria Madalena da Silva Moreira,2021-09-30,630000.0,1,1.0,1.0,
23.964.908/0001-10,2021-09-30,1,"Rua Dom Lucio Antunes de Souza, 393Santa Cecilia - CEP:18185-000 - Pilar doSul/SP",2021-09-01,36.0,,0.013102,0.011879,
27.486.542/0001-72,2021-12-31,1,"Rodovia Miguel Melhado Campos, SP-324, Km 81,5, Itupeva - SP",2021-11-19,340950.0,-,1.0,0.0761,
30.492.505/0001-81,2021-09-30,1,"Avenida Professor Pereira Reis, 76",2021-09-30,7175.0,"Matrícula 105.480, do 2° Registro de Imóveis do Rio de Janeiro/RJ",1.0,0.171518,
34.895.711/0001-93,2021-03-31,1,Q1149  Alphaville Burle Marx,2021-03-30,447.25,Direito de propriedade,0.027644,0.0199463,
34.895.711/0001-93,2021-06-30,1,Q1232  Alphaville Burle Marx,2021-05-28,477.08,Direito de propriedade,0.030326,0.019105,
34.895.711/0001-93,2021-06-30,1,Alphacastello C05,2021-05-20,514.06,Direito de propriedade,0.017175,0.013708,
,2019-03-31,1,Não Aplicavel,1899-12-31,0.0,,0.0,0.0,07.583.627/0001-61
,2019-06-30,1,Não Aplicavel,1899-12-31,0.0,,0.0,0.0,07.583.627/0001-61
,2019-09-30,1,Não Aplicavel,1899-12-31,0.0,,0.0,0.0,07.583.627/0001-61
,2019-12-31,1,Não Aplicavel,1899-12-31,0.0,,0.0,0.0,07.583.627/0001-61
,2019-06-30,1,"Av. Fernando Corrêa da Costa, 7.140 - Cuiabá/MT",2019-06-28,25000.0,"Terreno dado como dação em pagamento na aquisição do imóvel ""São Luís""",0.214514791263478,0.0,13.873.457/0001-52
,2019-06-30,1,"Av. John Boyd Dunlop, s/n - Campinas/SP",2019-06-28,96435.2,Terreno dado como permuta sem torna na aquisição do imóvel Cuiabá,0.785485208736522,0.0,13.873.457/0001-52
,2019-12-31,1,"RUA 3, S/N BRAGANÇA PAULISTA, SÃO PAULO - SP",2019-11-08,3370.0,LOTE N° 06 QUADRA Y,1.0,0.02861,26.502.761/0001-35
,2019-03-31,1,,1899-12-31,0.0,,0.0,0.0,28.516.650/0001-03
,2019-06-30,1,,1899-12-31,0.0,,0.0,0.0,28.516.650/0001-03
,2019-09-30,1,,1899-12-31,0.0,,0.0,0.0,28.516.650/0001-03
,2019-12-31,1,,1899-12-31,0.0,,0.0,0.0,28.516.650/0001-03
,2019-03-31,1,,1899-12-31,0.0,,0.0,0.0,28.693.595/0001-27
,2019-06-30,1,,1899-12-31,0.0,,0.0,0.0,28.693.595/0001-27
,2019-09-30,1,,1899-12-31,0.0,,0.0,0.0,28.693.595/0001-27
