CNPJ_Fundo_Classe,Data_Referencia,Versao,Nome_Imovel,Endereco,Area,Numero_Unidades,Outras_Caracteristicas_Relevantes,Percentual_Imovel_Total_Investido,Categoria,CNPJ_Fundo
03.683.056/0001-86,2021-03-31,1,EDIFÍCIO GIRASSOL,"Rua Girassol, 555 - Vila Madalena",1946.23,1.0,,0.04803,Renda,
03.683.056/0001-86,2021-12-31,1,JK FINANCIAL CENTER,"Av. Juscelino Kubitschek, 510, Itaim Bibi, São Paulo/SP",4863.7,5.0,,0.164977,Renda,
08.431.747/0001-06,2021-03-31,1,"Shopping Praça da Moça - 23,06%","Rua Manoel da Nobrega, 712, Centro, Diadema - SP",29784.27,139.0,-,0.04,Renda,
09.072.017/0001-29,2021-03-31,1,One Berrini Corporate,"Avenida Engenheiro Luiz Carlos Berrini, nº 105",2136.68,2.0,-,0.017986,Renda,
09.517.273/0001-82,2021-03-31,1,Loja Habitarte,"Rua Nova York, 245, CEP 04560-000, Brooklin, São Paulo, SP",3416.0,1.0,locatário St. Marché,0.94,Renda,
09.517.273/0001-82,2021-09-30,2,SANT ANTONIO,"Rua Gelba, 500, Santo Antônio da Patrula - RS.",11817.63,1.0,"Matrícula 20.788. O fundo já possuia 50% do imóvel no trimestre anterior, porém adquiriu 100% do mesmo no trimestre vigente",0.0,Renda,
10.427.246/0001-06,2021-12-31,1,Edificio Torre Almirante,"Avenida Almirante Barroso, 81, Sem Complemento, Centro, Rio De Janeiro/RJ, Brasil, 20031-004",25087.0,25.0,Direito de Propriedade,0.6213,Renda,
11.728.688/0001-47,2021-09-30,1,HGLG São Carlos,"Rodovia Eng. Thales de Lorena Peixoto Júnio, Km 9.5, São Carlos, SP",79642.0,1.0,-,0.061922,Renda,
11.728.688/0001-47,2021-09-30,1,HGLG Washington Luiz,"Avenida SN 1, 280, Parque Duque, Duque de Caxias - RJ",48042.0,1.0,-,0.03732,Renda,
11.728.688/0001-47,2021-09-30,1,HGLG Ribeirão Preto,"Rodovia Anhanguera, 317.5, Ribeirão Preto - SP",59875.11,1.0,-,0.057405,Renda,
11.839.593/0001-09,2021-09-30,1,Imóvel - Ribeirão Preto,"Rodovia Anhanguera KM 308, Ribeirão Preto, SP, 14093-500",57163.95,15.0,Direito de Propriedade,0.1562,Renda,
12.516.185/0001-70,2021-03-31,1,Edíficio Cardeal Corporate,"Av. Bartolomeu Mitre, nº 336, 5º andar, Leblon, Rio de Janeiro - RJ",2682.0,1.0,Aquisição de 100%. da fração ideal do ativo.,0.038808,Renda,
12.516.185/0001-70,2021-09-30,1,LAB 1404,"Rua Mourato Coelho, 1404, na Vila Madalena, São Paulo/SP.",1097.44,1.0,"O Fundo, que já detinha 20,1% de participação noAtivo, passa a deter 38,2%",0.044139,Renda,
12.516.185/0001-70,2021-12-31,2,Sede Globo SP,"Rua Evandro Carlos de Andrade, 160, São Paulo - SP",39050.0,1.0,O Fundo adquiriu 100% do imóvel.,1.0,Renda,
13.371.132/0001-71,2021-03-31,1,Torre Marble,"Av. Das Nações Unidas, 14171, São Paulo - SP",11346.424,66.0,"O fundo é propretário de 40% da torre Marble, que representa 11.346,42 m²",0.105605,Renda,
13.371.132/0001-71,2021-03-31,1,Torre Ebony,"Av. Das Nações Unidas, 14171, São Paulo - SP",11351.264,66.0,"O fundo é propretário de 40% da torre Ebony, que representa 11.351,26 m²",0.105651,Renda,
13.703.596/0001-38,2021-03-31,1,LJ SEDE,,,1.0,,,,
13.703.596/0001-38,2021-06-30,1,LJ SEDE,,,1.0,,,,
13.703.596/0001-38,2021-09-30,1,LJ SEDE,,,1.0,,,,
13.703.596/0001-38,2021-12-31,1,LJ SEDE,,,1.0,,,,
13.873.457/0001-52,2021-06-30,1,Santo André,"Rua Senador Fláquer, 456 - Centro - Santo André-SP",7722.0,1.0,"Imóvel locado para a Cogna, com contrato do tipo ""sale and leaseback"".",0.153598,Renda,
15.447.108/0001-02,2021-06-30,1,SHOPPING LIGHT,"R. Cel. Xavier de Toledo, N° 23 - São Paulo - SP",36518.0,97.0,Direito de Propriedade,0.1257,Renda,
15.447.108/0001-02,2021-06-30,1,SHOPPING PRADO BOULERVARD,"Av. Washington Luiz, 2.480 - Parque Prado, Campinas - SP, 13042-105",20010.0,84.0,Direito de Propriedade,0.0245,Renda,
15.447.108/0001-02,2021-06-30,1,SHOPPING MORUMBI,"Av. Giovanni Gronchi 5930, Shopping, São Paulo, SP, 05724-002",31460.79,192.0,Direito de Propriedade,0.1336,Renda,
15.576.907/0001-70,2021-03-31,1,Renner,"Rua Oscar Freire, 585, Jardins - SP",2045.0,1.0,imóvel para renda,0.026441,Renda,
16.671.412/0001-93,2021-06-30,1,Galpão Contagem,"BR 040, KM 23 - Contagem/MG",174473.5,1.0,centro logistico,0.448028233126926,Renda,
17.554.274/0001-25,2021-09-30,2,Pantanal Shopping,,,,"Aquisição de 21,4995%",,,
17.554.274/0001-25,2021-09-30,2,Porto Velho Shopping,,,,"Aquisição de 49,0%",,,
17.554.274/0001-25,2021-09-30,2,Shopping Boulevard,,,,"Aquisição de 40,0%",,,
17.554.274/0001-25,2021-09-30,2,North Shopping Maracanaú,,,,Aquisição de 100%,,,
17.554.274/0001-25,2021-12-31,2,Pantanal Shopping,,,,"Aquisição de 21,4995%",,,
17.554.274/0001-25,2021-12-31,2,Porto Velho Shopping,,,,"Aquisição de 49,0%",,,
17.554.274/0001-25,2021-12-31,2,Shopping Boulevard,,,,"Aquisição de 40,0%",,,
17.554.274/0001-25,2021-12-31,2,North Shopping Maracanaú,,,,Aquisição de 100%,,,
17.655.102/0001-48,2021-09-30,1,RUA BARÃO DE ITAPAGIPE -TIJUCA,Rua Barão de Sertório - Rio Comprido - Rio de Janeiro - RJ,47000.0,5.0,"Imóveis matriculados sob n.ºs 9.937, 14.054, 35.417, 52.104 e 90.965, todas do 11º Ofício de Registro de Imóveis do Rio de Janeiro, Estado do Rio de Janeiro",0.033062,Renda,
19.722.048/0001-31,2021-03-31,1,236992,Rua Urimonduba 171 - 22,144.72,1.0,Apartamento residencial pronto para venda,0.0059202415569676,Venda,
19.722.048/0001-31,2021-03-31,1,227058,Rua Professor Carlos de Carvalho 74 - 22,100.13,1.0,Apartamento residencial pronto para venda,0.0044606585076922,Venda,
19.722.048/0001-31,2021-03-31,1,218448,Rua Mourato Coelho 244 - 5,148.4,1.0,Apartamento residencial pronto para venda,0.0054731500292896,Venda,
19.722.048/0001-31,2021-03-31,1,236550,Rua Doutor Sodré 48 - 42,72.3,1.0,Apartamento residencial pronto para venda,0.0032001722112766,Venda,
19.722.048/0001-31,2021-03-31,1,328634,Avenida Horácio Lafer 90 - 901,108.07,1.0,Apartamento residencial pronto para venda,0.0075541692383399,Venda,
19.722.048/0001-31,2021-03-31,1,3168084,Avenida Doutor Cardoso de Melo 630 - 131,43.68,1.0,Apartamento residencial pronto para venda,0.0028674426524272,Venda,
19.722.048/0001-31,2021-03-31,1,208017,Rua Alves Guimarães 55 - 91,112.71,1.0,Apartamento residencial pronto para venda,0.0037528012897567,Venda,
19.722.048/0001-31,2021-03-31,1,244106,Rua Maria Figueiredo 471 - 51,153.44,1.0,Apartamento residencial pronto para venda,0.0059108372534596,Venda,
19.722.048/0001-31,2021-03-31,1,2870872,Avenida Rebouças 1480 - 92,84.89,1.0,Apartamento residencial pronto para venda,0.0033582428251009,Venda,
19.722.048/0001-31,2021-03-31,1,244099,Rua Maria Figueiredo 471 - 12,153.44,1.0,Apartamento residencial pronto para venda,0.0057834739236299,Venda,
19.722.048/0001-31,2021-03-31,1,132814,Alameda Santos 1302 - 52,156.32,1.0,Apartamento residencial pronto para venda,0.0071264536163593,Venda,
19.722.048/0001-31,2021-03-31,1,146434,Rua Bela Cintra 1760 - 104,112.35,1.0,Apartamento residencial pronto para venda,0.0075428721389874,Venda,
19.722.048/0001-31,2021-03-31,1,244100,Rua Maria Figueiredo 471 - 21,153.44,1.0,Apartamento residencial pronto para venda,0.0098098495794834,Venda,
19.722.048/0001-31,2021-03-31,1,341590,Avenida Doutor Cardoso de Melo 123 - 81,164.23,1.0,Apartamento residencial pronto para venda,0.0050066646083951,Venda,
19.722.048/0001-31,2021-03-31,1,340336,Avenida Santo Amaro 1826 - 42,80.39,1.0,Apartamento residencial pronto para venda,0.0034814828620752,Venda,
19.722.048/0001-31,2021-03-31,1,140785,Rua Saint Hilaire 118 - 41,128.59,1.0,Apartamento residencial pronto para venda,0.0062439885147435,Venda,
19.722.048/0001-31,2021-03-31,1,234619,Rua Leopoldo Couto de Magalhães Júnior 539 - 42,95.79,1.0,Apartamento residencial pronto para venda,0.004327568853367,Venda,
19.722.048/0001-31,2021-03-31,1,337720,Rua Nova Cidade 147 - 12,75.72,1.0,Apartamento residencial pronto para venda,0.0053079830043981,Venda,
19.722.048/0001-31,2021-03-31,1,1424636,Rua Marcos Lopes 272 - B141,106.75,1.0,Apartamento residencial pronto para venda,0.007521724395701,Venda,
19.722.048/0001-31,2021-03-31,1,208394,Praça Benedito Calixto 186 - 32,40.76,1.0,Apartamento residencial pronto para venda,0.0017654549210363,Venda,
19.722.048/0001-31,2021-03-31,1,208396,Praça Benedito Calixto 186 - 34,40.76,1.0,Apartamento residencial pronto para venda,0.0017654549210363,Venda,
19.722.048/0001-31,2021-03-31,1,208398,Praça Benedito Calixto 186 - 36,40.76,1.0,Apartamento residencial pronto para venda,0.0017654549210363,Venda,
19.722.048/0001-31,2021-03-31,1,208406,Praça Benedito Calixto 186 - 44,40.76,1.0,Apartamento residencial pronto para venda,0.0017654549210363,Venda,
19.722.048/0001-31,2021-03-31,1,208416,Praça Benedito Calixto 186 - 54,40.76,1.0,Apartamento residencial pronto para venda,0.0017654549210363,Venda,
19.722.048/0001-31,2021-03-31,1,208434,Praça Benedito Calixto 186 - 72,40.76,1.0,Apartamento residencial pronto para venda,0.0017654549210363,Venda,
19.722.048/0001-31,2021-03-31,1,208454,Praça Benedito Calixto 186 - 92,40.76,1.0,Apartamento residencial pronto para venda,0.0017654549210363,Venda,
19.722.048/0001-31,2021-03-31,1,208457,Praça Benedito Calixto 186 - 95,40.76,1.0,Apartamento residencial pronto para venda,0.001828121116848,Venda,
19.722.048/0001-31,2021-03-31,1,*208404,Praça Benedito Calixto 186 - 42,40.76,1.0,Sinal para compra de Apartamento residencial pronto para venda,0.0018345028314884,Venda,
19.722.048/0001-31,2021-03-31,1,*208408,Praça Benedito Calixto 186 - 46,40.76,1.0,Sinal para compra de Apartamento residencial pronto para venda,0.0018345028314884,Venda,
19.722.048/0001-31,2021-03-31,1,*208436,Praça Benedito Calixto 186 - 74,40.76,1.0,Sinal para compra de Apartamento residencial pronto para venda,0.0018345028314884,Venda,
19.722.048/0001-31,2021-03-31,1,*208438,Praça Benedito Calixto 186 - 76,40.76,1.0,Sinal para compra de Apartamento residencial pronto para venda,0.0018345028314884,Venda,
19.722.048/0001-31,2021-03-31,1,*208444,Praça Benedito Calixto 186 - 82,40.76,1.0,Sinal para compra de Apartamento residencial pronto para venda,0.0018345028314884,Venda,
19.722.048/0001-31,2021-03-31,1,*208458,Praça Benedito Calixto 186 - 96,40.76,1.0,Sinal para compra de Apartamento residencial pronto para venda,0.0018345028314884,Venda,
19.722.048/0001-31,2021-03-31,1,*208482,Praça Benedito Calixto 186 - 120,40.76,1.0,Sinal para compra de Apartamento residencial pronto para venda,0.0018345028314884,Venda,
19.722.048/0001-31,2021-03-31,1,*216574,Rua Doutor Virgílio de Carvalho Pinto 336 - 92,184.93,1.0,Sinal para compra de Apartamento residencial pronto para venda,0.0007730300807917,Venda,
19.722.048/0001-31,2021-03-31,1,*245809,Rua Cubatão 158 - 23,108.7,1.0,Sinal para compra de Apartamento residencial pronto para venda,0.0038116809377678,Venda,
19.722.048/0001-31,2021-03-31,1,*3157701,Rua Sampaio Viana 456 - 21,166.27,1.0,Sinal para compra de Apartamento residencial pronto para venda,0.0078273719647489,Venda,
19.722.048/0001-31,2021-03-31,1,*332442,Rua Visconde da Luz 88 - 173,67.97,1.0,Sinal para compra de Apartamento residencial pronto para venda,0.0028089864140575,Venda,
19.722.048/0001-31,2021-03-31,1,*337720,Rua Nova Cidade 147 - 12,75.72,1.0,Sinal para compra de Apartamento residencial pronto para venda,0.005537982841984,Venda,
19.722.048/0001-31,2021-03-31,1,*340637,Rua Alvorada 750 - 54,66.63,1.0,Sinal para compra de Apartamento residencial pronto para venda,0.0024332472267156,Venda,
19.722.048/0001-31,2021-03-31,1,*341809,Rua Alvorada 152 - 21,63.51,1.0,Sinal para compra de Apartamento residencial pronto para venda,0.0031181844759511,Venda,
19.722.048/0001-31,2021-03-31,1,*341971,Rua Cabo Verde 290 - 104,68.96,1.0,Sinal para compra de Apartamento residencial pronto para venda,0.002737928185125,Venda,
