CNPJ_Fundo_Classe,Data_Referencia,Versao,Endereco,Area,Outras_Caracteristicas_Relevantes,Percentual_Terreno_Total_Investido,Percentual_Terreno_PL,CNPJ_Fundo
01.235.622/0001-61,2021-03-31,1,"Green Village - Vila Velha, ES",152920.0,Loteamento,0.114166,0.022289,
01.235.622/0001-61,2021-03-31,1,"Fernandes Guimarães, nº 75 - Rio de Janeiro, RJ",1383.7,Terreno,0.007519,0.001468,
01.235.622/0001-61,2021-06-30,1,"Epitácio Pessoa, 3744 e 3800",952.33,Residencial,0.013269,0.002489,
01.235.622/0001-61,2021-06-30,1,Hotel Glória,9066.0,Residencial,0.009921,0.001861,
01.235.622/0001-61,2021-06-30,1,Visconde de Pirajá,360.0,Residencial,0.036464,0.006841,
01.235.622/0001-61,2021-09-30,1,"Rua Barão da Torre, nº 662",287.5,Residencial,0.032122,0.005985,
01.235.622/0001-61,2021-12-31,1,"Alberto de Campos, 100",160.0,Residencial,0.008255,0.00147,
01.235.622/0001-61,2021-12-31,1,"Fernandes Guimarães, 75, 79 e 81",656.245,Residencial,0.000602,0.000107,
01.235.622/0001-61,2021-12-31,1,"Sorocaba 420, 422 e 436",949.798,Residencial,0.036043,0.006419,
04.782.236/0001-88,2021-09-30,1,Rua Santos Dumont,1350.0,Contrato compra e venda,0.00726,0.001011,
11.326.746/0001-06,2021-12-31,1,"Rua das Indústrias, 250  x Rua Clark, Morro das Pedras, Valinhos / SP",9932.52,"Os imóveis são atualmente terrenos vazios que pertecem a região administrativa da Macuco, originados a partir do desmembramento da Gleba C da fazenda Morro das Pedras, no município de Valinhos - SP.",0.0,0.0,
11.728.688/0001-47,2021-12-31,1,"Rodovia BR 101, 5225, Cabo de Santo Agostinho - PE",7388.4,-,0.011685,0.012498,
12.969.125/0001-03,2021-09-30,1,Avenida Monte Cristo (386),2975.0,"Dação em pagamento da fração ideal de 40% dos imóveis da Lago da Floresta em favor do Fundo, em cumprimento aos acordos celebrados junto a SIPAR",0.0082079685936763,0.0064695768468361,
12.969.125/0001-03,2021-09-30,1,Avenida Monte Cristo (388),11770.0,"Dação em pagamento da fração ideal de 40% dos imóveis da Lago da Floresta em favor do Fundo, em cumprimento aos acordos celebrados junto a SIPAR",0.0019182929432812,0.0015120115860169,
12.969.125/0001-03,2021-09-30,1,Avenida Monte Cristo (390),525.0,"Dação em pagamento da fração ideal de 40% dos imóveis da Lago da Floresta em favor do Fundo, em cumprimento aos acordos celebrados junto a SIPAR",0.001709024622196,0.0013470648675423,
12.969.125/0001-03,2021-09-30,1,Avenida Monte Cristo (400),1050.0,"Dação em pagamento da fração ideal de 40% dos imóveis da Lago da Floresta em favor do Fundo, em cumprimento aos acordos celebrados junto a SIPAR",0.005609553606868,0.0044214884257768,
15.489.509/0001-17,2021-12-31,1,Araxá - Capela de Santo Antônio - Bairro Alto - Araxá-MG,15621.0,Não se aplica,0.0082,0.0081,
15.489.509/0001-17,2021-12-31,1,"Rio Pomba - Av. do Contorno, Bairro Cel. José Mendonça dos Reis, Rio Pomba-MG",4956.0,Não se aplica,0.0023,0.0022,
16.915.968/0001-88,2021-09-30,1,"Rua Cidade de Bagdá, 940, Jabaquara, São Paulo-SP",1800.0,"O imóvel foi adquirido por escritura de compra e venda, não há onus reais sobre o imóvel",1.0,0.010791,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.79,QUADRA 20 - LOTE 01 - JD. DAS MACAUBAS,0.05803335,0.0355646521234593,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.79,QUADRA 10 - LOTE 20 - JD. DAS MACAUBAS,0.05072304,0.031084665493967,
