CNPJ_Fundo_Classe,Data_Referencia,Versao,Nome_Ativo,Principais_Caracteristicas,Valor,CNPJ_Fundo
03.855.441/0001-63,2021-03-31,1,Vitória,Arrend Mercantil Financeiro,193542941.58,
03.855.441/0001-63,2021-03-31,1,Santos,Arrend Mercantil Financeiro,517703525.24,
03.855.441/0001-63,2021-03-31,1,Laboratório de Fluidos,Arrend Mercantil Financeiro,107516912.8,
03.855.441/0001-63,2021-06-30,1,Vitória,Arrend Mercantil Financeiro,203012627.5,
03.855.441/0001-63,2021-06-30,1,Santos,Arrend Mercantil Financeiro,538546178.25,
03.855.441/0001-63,2021-06-30,1,Laboratório de Fluidos,Arrend Mercantil Financeiro,118420715.65,
03.855.441/0001-63,2021-09-30,1,Vitória,Arrend Mercantil Financeiro,213781910.88,
03.855.441/0001-63,2021-09-30,1,Santos,Arrend Mercantil Financeiro,561845767.46,
03.855.441/0001-63,2021-09-30,1,Laboratório de Fluidos,Arrend Mercantil Financeiro,130601610.96,
03.855.441/0001-63,2021-12-31,1,Vitória,Arrend Mercantil Financeiro,171398418.76,
03.855.441/0001-63,2021-12-31,1,Santos,Arrend Mercantil Financeiro,476590453.38,
03.855.441/0001-63,2021-12-31,1,Laboratório de Fluidos,Arrend Mercantil Financeiro,105760025.84,
08.417.532/0001-30,2021-03-31,1,Bapon,Arrendamento Mercantil Financeiro,194655145.05,
08.417.532/0001-30,2021-03-31,1,Basul,Arrendamento Mercantil Financeiro,208883790.82,
08.417.532/0001-30,2021-06-30,1,Bapon,Arrendamento Mercantil Financeiro,202821664.54,
08.417.532/0001-30,2021-06-30,1,Basul,Arrendamento Mercantil Financeiro,223405215.85,
08.417.532/0001-30,2021-09-30,1,Bapon,Arrendamento Mercantil Financeiro,211452963.3,
08.417.532/0001-30,2021-09-30,1,Basul,Arrendamento Mercantil Financeiro,238988539.53,
08.417.532/0001-30,2021-12-31,1,Bapon,Arrendamento Mercantil Financeiro,223160749.87,
08.417.532/0001-30,2021-12-31,1,Basul,Arrendamento Mercantil Financeiro,258893546.17,
11.945.604/0001-27,2021-03-31,1,UNIDADE 121 - PASSOS DO PARQUE,UNIDADE LOCALIZADA NO EMPREENDIMENTO PASSOS DO PARQUE  - TATUAPÉ - SP,289306.57,
11.945.604/0001-27,2021-03-31,1,UNIDADE 126 - PASSOS DO PARQUE,UNIDADE LOCALIZADA NO EMPREENDIMENTO PASSOS DO PARQUE  - TATUAPÉ - SP,289306.57,
11.945.604/0001-27,2021-03-31,1,UNIDADE 141 - PASSOS DO PARQUE,UNIDADE LOCALIZADA NO EMPREENDIMENTO PASSOS DO PARQUE  - TATUAPÉ - SP,289306.57,
11.945.604/0001-27,2021-06-30,1,UNIDADE 141 - PASSOS DO PARQUE,UNIDADE LOCALIZADA NO EMPREENDIMENTO PASSOS DO PARQUE  - TATUAPÉ - SP,9500.0,
