CNPJ_Fundo_Classe,Data_Referencia,Versao,Classe,Nome_Endereco_Imovel,Justificativa_Evolucao_Inferior_Previsto,Justificativa_Custo_Superior_Previsto,CNPJ_Fundo
01.235.622/0001-61,2021-06-30,1,Imóveis para venda em construção,Icono Parque,Impacto no andamento devido à Covid-19.,N.A.,
01.235.622/0001-61,2021-06-30,1,Imóveis para venda em construção,Hub - Coliving,N.A.,Replanejamento de escopo de obra.,
01.235.622/0001-61,2021-06-30,1,Imóveis para venda em construção,Maison Laranjeiras,Replanejamento de Fluxo de obra.,N.A.,
01.235.622/0001-61,2021-06-30,1,Imóveis para venda em construção,Highlight e Spotlight - Jardim Botafogo,Replanejamento de Fluxo de obra.,N.A.,
01.235.622/0001-61,2021-06-30,1,Imóveis para venda em construção,Aretê - Alto Ybirá,Replanejamento de Fluxo de obra.,N.A.,
01.235.622/0001-61,2021-06-30,1,Imóveis para venda em construção,Iluminato,"Atraso no desmonte da rocha, devido à redução de horário de trabalho. Zona altamente residencial.",N.A.,
01.235.622/0001-61,2021-06-30,1,Imóveis para venda em construção,Tijuca All Ways,N.A.,N.A.,
01.235.622/0001-61,2021-06-30,1,Imóveis para venda em construção,Costa Mare,"Prazo de obra replanejado, devido estratégias comerciais.",N.A.,
01.235.622/0001-61,2021-06-30,1,Imóveis para venda em construção,The Gallery,"Paralisação de Transporte público por um período da obra, além do atraso na entrega de alguns materiais.",N.A.,
01.235.622/0001-61,2021-06-30,1,Imóveis para venda em construção,Crystal Blue,N.A.,N.A.,
01.235.622/0001-61,2021-06-30,1,Imóveis para venda em construção,Aretê - Peninsula Norte,N.A,N.A.,
01.235.622/0001-61,2021-09-30,1,Imóveis para venda em construção,Aretê - Peninsula Norte,N.A.,N.A.,
01.235.622/0001-61,2021-09-30,1,Imóveis para venda em construção,Iluminato,"Atraso no desmonte da rocha, devido à redução de horário de trabalho. Zona altamente residencial.",N.A.,
01.235.622/0001-61,2021-09-30,1,Imóveis para venda em construção,Blanc 260,N.A.,N.A.,
01.235.622/0001-61,2021-09-30,1,Imóveis para venda em construção,Maison Laranjeiras,N.A.,N.A.,
01.235.622/0001-61,2021-09-30,1,Imóveis para venda em construção,Aretê - Alto Ybirá,N.A.,N.A.,
01.235.622/0001-61,2021-09-30,1,Imóveis para venda em construção,Costa Mare,"Prazo de obra replanejado, devido estratégias comerciais.",N.A.,
01.235.622/0001-61,2021-09-30,1,Imóveis para venda em construção,The Gallery,N.A.,N.A.,
01.235.622/0001-61,2021-09-30,1,Imóveis para venda em construção,Crystal Blue,Atraso na contratação de serviços.,N.A.,
01.235.622/0001-61,2021-09-30,1,Imóveis para venda em construção,Highlight e Spotlight - Jardim Botafogo,Atraso na contratação de serviços.,N.A.,
01.235.622/0001-61,2021-12-31,1,Imóveis para venda em construção,Maison Laranjeiras,N.A.,N.A.,
01.235.622/0001-61,2021-12-31,1,Imóveis para venda em construção,Aretê - Peninsula Norte,N.A.,N.A.,
