CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Percentual_Garantido_Relativo;Garantidor;Principais_Caracteristicas_Garantia
01.235.622/0001-61;2016-12-31;1;Edifício Visconde de Inhaúma, nº 95, Centro, Rio de Janeiro;0.1342;Venerável Ordem Terceira de São Francisco da Penintência;Existe uma garantia no valor de R$ 4.609.950,74 para cobrir a rentabilidade garantida até o fim do contrato de locação com a Companhia Modernos Hoteis do Brasil.
07.583.627/0001-61;2016-12-31;1;não aplicavel;0;não aplicavel;não aplicavel
07.789.135/0001-27;2016-12-31;3;N/A;;;
13.652.006/0001-95;2016-12-31;1;Shopping Sulacap;0.85;General Shopping;3 anos a partir da inauguração do Shopping com término em out/16
13.873.457/0001-52;2016-12-31;1;Terreno Campinas;0.0095;Kroton;O contrato preve uma rentabilidade para o Fundo de 0,95% a.m. sobre o valor dos recursos liquidos captados para a obra, até o termino da contrução do imovel, que contratualmente deverá ocorrer até junho/2019
13.873.457/0001-52;2016-12-31;1;Terreno Cuiabá;0.0095;Kroton;O contrato preve uma rentabilidade para o Fundo de 0,95% a.m. sobre o valor dos recursos liquidos captados para a obra, até o termino da contrução do imovel, que contratualmente deverá ocorrer até junho/2019
16.915.868/0001-51;2016-12-31;1;SPE HOLDING FAZENDA BOA VISTA LTDA;0.01;JHSF PARTICIPAÇÕES S.A;A rentabilidade mínima mensal a ser garantida pelas Sociedades e pela JHSF ao Veículo de Investimento, nos termos das SCP, para que permita a este distribuir ao Fundo, após deduzidas todas as despesas aplicáveis, recursos suficientes para a distribuição de rendimentos aos Cotistas no montante correspondente à variação acumulada do IPCA/IBGE, acrescido de 1 % (um por cento) ao ano, calculada desde a última distribuição mensal de rendimentos até a efetiva data de distribuição de rendimentos do mês emquestão sobre o valor do Capital Investido.  Nos termos das SCP, estas deverão realizar pagamentos mensais ao Veículo de Investimento e/ou diretamente ao Fundo, em valor suficiente para que este último distribua aos seus Cotistas a Rentabilidade Mínima, sendo tal obrigação garantida pela fiança a ser prestada pelo Empreendedor no âmbito do Acordo de Investimento.
17.311.079/0001-74;2016-12-31;1;Praça Capital - Bloco 02;1;A incorporadora;Prêmio de locação pago ao fundo em benefício dos cotistas desde a data de recebimento do preço de aquisição até os 12 (doze) meses consecutivos à data de obtenção do habite-se frequência mensal calculado pro rata temporis taxa de 9,5% a.a. calculado com capitalização composta com base em um ano de 252 dias úteis.
17.374.696/0001-19;2016-12-31;1;Edificio DOMO CORPORATE;1;PDG;Renda minina garantida durante o periodo de 3 anos, após inaguração
17.590.518/0001-25;2016-12-31;2;VUL ADM E INCORPORAD;0;GENERAL SHOPPING BRASIL S.A.;No Prospecto de Distruição Pública de Cotas foiacordado o pagamento do valor de R$ 10,00 porcota ao ano, equivalente a R$ 0,83 por cota/mêsa título de renda mínima garantida, com términoem 48 meses após a inauguração do ParqueShopping Maia (término previsto para abril/19)
18.330.535/0001-96;2016-12-31;2;Shopping Praça Rio Grande;0.00958293747586423;Vendedor ( 5R Shopping Centers Ltda);Conforme a Escritura de Compra e Venda de 24 de setembro de 2014, o Vendedor do Empreendimento , se compromete a pagar mensalmente ao Fundo entre o período de Setembro de 2014 (data de aquisição) à Setembro de 2017, um Prêmio de Locação mínimo.
18.369.510/0001-04;2016-12-31;1;IMÓVEL CONASA;;;
