CNPJ_Fundo;Data_Referencia;Versao;Percentual_Vencimento_Valor_Total_Faixa_Ate_3Meses;Percentual_Vencimento_Receita_FII_Faixa_Ate_3Meses;Percentual_Vencimento_Valor_Total_Faixa_3a6Meses;Percentual_Vencimento_Receita_FII_Faixa_3a6Meses;Percentual_Vencimento_Valor_Total_Faixa_6a9Meses;Percentual_Vencimento_Receita_FII_Faixa_6a9Meses;Percentual_Vencimento_Valor_Total_Faixa_9a12Meses;Percentual_Vencimento_Receita_FII_Faixa_9a12Meses;Percentual_Vencimento_Valor_Total_Faixa_12a15Meses;Percentual_Vencimento_Receita_FII_Faixa_12a15Meses;Percentual_Vencimento_Valor_Total_Faixa_15a18Meses;Percentual_Vencimento_Receita_FII_Faixa_15a18Meses;Percentual_Vencimento_Valor_Total_Faixa_18a21Meses;Percentual_Vencimento_Receita_FII_Faixa_18a21Meses;Percentual_Vencimento_Valor_Total_Faixa_21a24Meses;Percentual_Vencimento_Receita_FII_Faixa_21a24Meses;Percentual_Vencimento_Valor_Total_Faixa_24a27Meses;Percentual_Vencimento_Receita_FII_Faixa_24a27Meses;Percentual_Vencimento_Valor_Total_Faixa_27a30Meses;Percentual_Vencimento_Receita_FII_Faixa_27a30Meses;Percentual_Vencimento_Valor_Total_Faixa_30a33Meses;Percentual_Vencimento_Receita_FII_Faixa_30a33Meses;Percentual_Vencimento_Valor_Total_Faixa_33a36Meses;Percentual_Vencimento_Receita_FII_Faixa_33a36Meses;Percentual_Vencimento_Valor_Total_Faixa_Acima_36Meses;Percentual_Vencimento_Receita_FII_Faixa_Acima_36Meses;Percentual_Vencimento_Valor_Total_Faixa_Indeterminado;Percentual_Vencimento_Receita_FII_Faixa_Indeterminado;Percentual_Indexador_Valor_Total_IGPM;Percentual_Indexador_Receita_FII_IGPM;Percentual_Indexador_Valor_Total_INPC;Percentual_Indexador_Receita_FII_INPC;Percentual_Indexador_Valor_Total_IPCA;Percentual_Indexador_Receita_FII_IPCA;Percentual_Indexador_Valor_Total_INCC;Percentual_Indexador_Receita_FII_INCC;Caracteristicas_Contratuais;Politica_Contratacao_Seguro_Imovel_Renda_Acabado;Politica_Contratacao_Seguro_Imovel_Renda_Construcao;Politica_Contratacao_Seguro_Imovel_Venda_Acabado;Politica_Contratacao_Seguro_Imovel_Venda_Construcao;Ativo_Liquidez_Valor_Disponibilidades;Ativo_Liquidez_Valor_Titulos_Publicos;Ativo_Liquidez_Valor_Titulos_Privados;Ativo_Liquidez_Valor_Fundos_Renda_Fixa
00.332.266/0001-31;2016-12-31;2;0.01624;0.016173;0.022786;0.022693;0.016369;0.016302;0.032425;0.032291;0.012915;0.012861;0.028429;0.028311;0.087051;0.086691;0.046798;0.046605;0.043442;0.043263;0.015127;0.015065;0.02446;0.024359;0.044544;0.04436;0.249407;0.248377;0.360007;0.358521;;;0.003819;0.003801;0.011779;0.011726;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI ou IPCA com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;2179590.46;0;0;175149.99
00.613.094/0001-74;2016-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;
00.762.723/0001-28;2016-12-31;2;0.00059360627219115;0.000590527043988769;0;0;0;0;0.00119872017474671;0.00119250202453206;0.239044756346555;0.237804753688469;0;0;0;0;0.048284423644849;0.0480339566838546;0.000780003848731734;0.000775957715863031;0.0210430991160434;0.0209339417379981;0.00187186968741147;0.00186215969241532;0.00451280837117221;0.00448939897093598;0.465786554065418;0.46337036818471;0.216884158472882;0.21575911002123;1;0.994813;;;;;;;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanada fica a cargo do locatário.;;;;7251.38;0;0;1256852.89
00.868.235/0001-08;2016-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contratos majoritriamente corrigidos pelo IGP-M e com prazo de 5 anos;A contratação dos sguros fica a cargo do condominio e dos locatários.;;;;488101.78;0;0;1225649.93
01.201.140/0001-90;2016-12-31;2;0;0;0.001871;0.001851;0.019154;0.018951;0.123129;0.12182;0.047436;0.046932;0.064344;0.06366;0.023331;0.023083;0.006938;0.006865;0.020272;0.020056;0.039279;0.038862;0.016229;0.016056;0.057572;0.056959;0.446199;0.441453;0.134244;0.132816;0.028171;0.027872;0.007574;0.007493;0.150619;0.149017;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;556813.79;0;0;6793135.16
01.235.622/0001-61;2016-12-31;1;0.0046;0;0.0013;0;0;0;0.0131;0;0;0;0.0036;0;0.0016;0;0.0601;0;0.0035;0;0.0176;0;0.0059;0;0.008;0;0.8806;0;0;0;0.94;0.947;0;0;0.05;0.052;0;0;Prazo de garantia : 60 meses , Periodicidade de pagamento de aluguel : Mensal, dia de pagamento de aluguel: 5º dia útil, periodicidade de ajuste: anual, índice de reajuste IGP-M , multa por atraso 2%, mora por atraso1% a.m., aviso de devolução: 30 dias, clausula de rescisão: 3 meses de aluguel proporcional ao tempo restante de contrato e garantias exigidas: fiador, carta de crédito, seguro fiança, alienação de cotas, títulos de capitalização.;Cabe ao Locatário o pagamento do seguro contra incêndio bem como por danos, ocorrências e sinistros no Imóvel, contra qualquer risco de destruição parcial ou total que possibilite sua reconstrução, cujo beneficiário será o Locador. O Locador contratará diretamente este seguro e cobrará do Locatário o valor através de boleto bancário. Caso a qualquer momento sejam exigidas obras de melhoria e manutenção no imóvel para a continuidade ou renovação do seguro de incêndio, o Locatário se compromete a fazer estas às suas expensas se responsabilizando ainda por qualquer autorização ou licença dos órgãos competentes necessárias à realização de tais obras. O descumprimento de qualquer das obrigações aqui dispostas, será caracterizado como infração contratual. ;Os seguros de obras são contratados após a assinatura do contrato de construção. É apresentado à seguradora os serviços que serão executados, acompanhado do cronograma e orçamento de obra bem como outro documento específico solicitado.;O seguro condominial contratado a partir da instalação do condomínio pelo síndico da edificação, assegura quaisquer danos ao imóvel. Não se fazendo necessária a contratação de seguro de danos físicos aos imóveis.;;1150307.3;0;0;181960895.08
01.497.954/0001-14;2016-12-31;1;;;;;;;;;;;;;;;;;;;;;;;0.41;0.41;0.59;0.59;;;0.626;0.626;;;;;;;Cláusula de reajuste - IGPM, garantia por fiador, seguro fiança ou depósito caução, clausula de rescisão determinando o valor da multa, clausula de exigencia para contratação de seguro patrimonial.;Cláusula de exigencia para a Contratação de seguros das seguintes coberturas para os imóveis locados: Incêndio / Raio / explosão Responsabilidade Civil.;;;;1;0;0;187293.43
01.601.918/0001-59;2016-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contratos com período de 5 anos, demais clausulas são confidenciais.;Cláusula de exigencia para a Contratação de seguros das seguintes coberturas para os imóveis locados: Incêndio / Raio / explosão Responsabilidade Civil.;;;;523649.18;0;0;5367084.82
01.633.741/0001-72;2016-12-31;1;0.0743;0.069154;0;0;0;0;0;0;0;0;0;0;0.093999;0.08751;0;0;0.077472;0.072123;0.3;0.28657;0.307821;0;0.053711;0.050003;0.392715;0.365603;0;0;1;0.930964;;;;;;;Reajuste anual  pelo IGP-M. Todos os contratos possuel multa rescisória equivalente a 3 aluguéis cobhrados proporcionalmente ao tempo decorrido de contrato. Garantia: fiadores PF,Fiadores PJ, carta de fiança bancária e caução em dinheiro. ;O seguro é contrato para cobertura  contra risco de incêndio, raios  e explosão de qualquer natureza de outras coberturas essenciais. A seguro cobre toda a estrutura do imóvel.;;;;22101.05;494770.4;418637.58;
01.636.325/0001-28;2016-12-31;1;0.0307;;0.0404;;0.0391;;0.0123;;0.0398;;0.0162;;0.0413;;0.0042;;0.0297;;0.0187;;0.0162;;0.0116;;0.3072;;0.3215;;;;;;0.0127;;;;Clausula de reajuste - IGP_DI clausula de inclusão ao serviço de proteção ao crédito, garantia por fiador e seguro fiança, dobra do aluguel mínimo em dezembro, taxa de transferência, pagamento de aluguel percentual conforme taxação conditida nos contratos, clausula de rescisão determinando o valor da multa vinculada ao aluguel mínimo.;Contratação das seguintes coberturas para os imóveis locados: Incêndio / Raio / explosão Responsabilidade Civil Danos Materiais de Causa Externa Derrame de Sprinklers Danos Elétricos a Equipamentos de Informática e Telecomunicações.;;;;368949.25;0;0;4217101.41
