CNPJ_Fundo;Data_Referencia;Versao;Data_Entrega;Nome_Fundo;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Fundo_Nao_Listado_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email;Data_Encerramento_Trimestre
00.332.266/0001-31;2016-12-31;2;2017-10-16;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2584398;Não;Não;Não;Renda;Shoppings;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00332266000131;AV. CHEDID JAFET;222;BLOCO B - 3º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2016-12-31
00.613.094/0001-74;2016-12-31;1;2017-02-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;BRPABYCTF012;758400;Não;Não;Não;Desenvolvimento para Renda;Híbrido;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;00613094000174;RUA LAURO MULLER;116;SALAS 2101, 2102 e 2108;BOTAFOGO;RIO DE JANEIRO;RJ;22290-160;(21) 3725-7708;;;www.brkbdtvm.com.br;admfundos.brkb@brookfieldbr.com;2016-12-31
00.762.723/0001-28;2016-12-31;2;2017-10-16;FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;36319906;Não;Não;Não;Desenvolvimento para Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00762723000128;AV. CHEDID JAFET;222;BLOCO B - 3º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2016-12-31
00.868.235/0001-08;2016-12-31;1;2017-02-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES;1995-10-03;INVESTIDORES EM GERAL;BRHERMCTF004;54316;Não;Não;Não;Renda;Híbrido;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00868235000108;AV. CHEDID JAFET;222;BLOCO B - 3º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2016-12-31
01.201.140/0001-90;2016-12-31;2;2017-10-16;FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING;1996-05-17;INVESTIDORES EM GERAL;BRABCPCTF000;61019165;Não;Não;Não;Renda;Shoppings;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;01201140000190;AV. CHEDID JAFET;222;BLOCO B - 3º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2016-12-31
01.235.622/0001-61;2016-12-31;1;2017-02-15;OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO;1996-10-07;INVESTIDOR PROFISSIONAL;BRFTCECTF005;692257;Sim;Não;Não;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A;01235622000161;Av. Presidente Wilson;231;11º andar;Centro;Rio de Janeiro;RJ;20030905;(21)32192554;;;www.bnymellon.com.br;bnymellon_cvm@bnymellon.com.br;2016-12-31
01.497.954/0001-14;2016-12-31;1;2017-02-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL;1996-10-22;INVESTIDORES EM GERAL;0;8703994;Não;Não;Não;Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;Não;Não;Sim;Não;Não;CORRETORA GERAL DE VALORES E CÂMBIO LTDA;01497954000114;RUA DR. JOSÉ MONTAURY;139;5º AO 8º ANDAR;CENTRO;PORTO ALEGRE;RS;90010-090;(51) 3213-2727;;;www.geralinvestimentos.com.br;edegasperin@geralinvestimentos.com.br;2016-12-31
01.601.918/0001-59;2016-12-31;1;2017-02-14;FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO;1997-01-14;INVESTIDORES EM GERAL;0;500000;Não;Não;Não;Renda;Híbrido;Ativa;Indeterminado;;31/12;Não;Não;Sim;Não;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;01601918000159;AV. CHEDID JAFET;222;BLOCO B - 3º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2016-12-31
01.633.741/0001-72;2016-12-31;1;2017-02-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE;1997-03-18;INVESTIDORES EM GERAL;BRFMOFCT010;508008;Não;Não;Não;Renda;Lajes Corporativas;Passiva;Indeterminado;;2016/12/31;Sim;Não;Não;Sim;Não;COIN DTVM LTDA;01633741000172;Avenida Brigadeiro Faria Lima;1461;10º andar Torre Sul;Jardim Paulistano;São Paulo;SP;01452-921;(11) 3035-4143;(11) 3035-4141;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br;2016-12-31
01.636.325/0001-28;2016-12-31;1;2017-02-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO;1997-01-10;INVESTIDORES EM GERAL;BRPMOVCTF008;233608;Não;Não;Não;Renda;Híbrido;Ativa;Indeterminado;;31/12;Não;Não;Sim;Não;Não;BR-CAPITAL  DIST. DE TÍTULOS E VALORES MOBILIÁRIOS S/A;01636325000128;AVENIDA DAS NAÇÕES UNIDAS;11857;CONJ. 111;BROOKLYN PAULISTA;SÃO PAULO;SP;04578-908;(11) 5508-3500;;;www.brcapital.com.br;llc@brcapitaldtvm.com.br;2016-12-31
01.657.856/0001-05;2016-12-31;1;2017-02-13;SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO;1996-10-31;INVESTIDORES EM GERAL;BRSCPFCTF003;4200000;Não;Não;Não;Renda;Shoppings;Ativa;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BR-CAPITAL DIST.DE TITULOS E VALORES MOBILIÁRIOS S.A.;01657856000105;AVENIDA DAS NAÇÕES UNIDAS;11.857;CONJ. 111;BROOKLIN PAULISTA;SÃO PAULO;SP;04578-908;(11) 5508-3500;;;www.brcapital.com.br;brcapital@brcapital.com.br;2016-12-31
01.964.775/0001-40;2016-12-31;1;2017-02-16;FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES;2005-11-03;INVESTIDOR QUALIFICADO E PROFISSIONAL;0;12583000;Sim;Sim;Não;;;;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BCV - BANCO DE CREDITO E VAREJO S/A;01964775000140;AVENIDA BRIGADEIRO FARIA LIMA;3477;9º ANDAR;ITAIM BIBI;SÃO PAULO;SP;04538-133;11 2847-7458;;;N/C;ana.tiago@bancobmg.com.br;2016-12-31
02.027.437/0001-44;2016-12-31;1;2017-02-14;FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO;1997-07-10;INVESTIDORES EM GERAL;BRBMIICTF007;140000;Não;Não;Sim;Desenvolvimento para Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;02027437000144;AV. CHEDID JAFET;222;BLOCO B - 3º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2016-12-31
02.508.235/0001-14;2016-12-31;1;2017-02-14;LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL;1998-06-10;INVESTIDORES EM GERAL;0;17100;Não;Não;Sim;Renda;Logística;Ativa;Indeterminado;;31/12;Não;Não;Sim;Não;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;02508235000114;AV. CHEDID JAFET;222;BLOCO B - 3º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2016-12-31
03.251.720/0001-18;2016-12-31;2;2017-02-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA;1999-06-30;INVESTIDORES EM GERAL;BRFPABCTF011;750000;Não;Não;Não;Renda;Lajes Corporativas;Passiva;Indeterminado;;2016/12/31;Sim;Não;Não;Sim;Não;COIN DTVM LTDA;03251720000118;Avenida Brigadeiro Faria Lima;1461;10º andar Torre Sul;Jardim Paulistano;São Paulo;SP;01452-921;(11)3035-4143;(11)3035-4141;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br;2016-12-31
03.507.519/0001-59;2016-12-31;2;2017-10-16;FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS;1999-10-15;INVESTIDORES EM GERAL;BRSHPHCTF008;578353;Não;Não;Não;Renda;Shoppings;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;03507519000159;AV. CHEDID JAFET;222;BLOCO B - 3º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2016-12-31
03.683.056/0001-86;2016-12-31;4;2017-10-20;FUNDO DE INV. IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA;2000-01-13;INVESTIDORES EM GERAL;BRFFCICTF005;138509272;Não;Não;Não;Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;03683056000186;AV. CHEDID JAFET;222;BLOCO B - 3º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2016-12-31
03.855.441/0001-63;2016-12-31;1;2017-02-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA;2000-05-02;INVESTIDORES EM GERAL;0;144210661;Não;Não;Não;Desenvolvimento para Renda;Logística;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;03855441000163;AV. CHEDID JAFET;222;BLOCO B - 3º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2016-12-31
04.066.582/0001-60;2016-12-31;2;2017-02-16;FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL DA CRIANCA;2012-10-23;INVESTIDORES EM GERAL;BRHCRICTF006;200000;Não;Não;Não;Renda;Hospital;Passiva;Indeterminado;;Dezembro;Sim;Não;Não;Sim;Não;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;04066582000160;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3441;;;www.btgpactual.com;sh-contato-fundoimobiliario@btgpactual.com;2016-12-30
04.141.645/0001-03;2016-12-31;1;2017-02-14;FUNDO DE INV. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA;2000-08-29;INVESTIDORES EM GERAL;BRFLMACTF009;69033500;Não;Não;Não;Renda;Híbrido;Ativa;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BE-CAPITAL DIST. DE TÍTULOS E VALORES MOBILIÁRIOS S/A;04141645000103;AVENIDA DAS NAÇÕES UNIDAS;11857;111;BROOKLIN PAULISTA;SÃO PAULO;SP;04578-908;(11) 5508-3500;;;www.brcapital.com.br;llc@brcapitaldtvm.com.br;2016-12-31
04.722.883/0001-02;2016-12-31;2;2017-02-16;FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE;2012-10-26;INVESTIDORES EM GERAL;BRTRNTCTF013;3935562.7833;Não;Não;Não;Renda;Lajes Corporativas;Passiva;Indeterminado;;Dezembro;Sim;Não;Não;Sim;Não;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;04722883000102;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3441;;;www.btgpactual.com;sh-contato-fundoimobiliario@btgpactual.com;2016-12-30
04.782.236/0001-88;2016-12-31;2;2017-02-15;FP. F ANDROMEDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2001-08-24;INVESTIDOR QUALIFICADO E PROFISSIONAL;;2355484;Não;Não;Não;Híbrido;Híbrido;Passiva;Indeterminado;;2016/12/31;Não;Não;Sim;Não;Não;COINVALORES C.C.V.M. LTDA;04782236000188;Avenida Brigadeiro Faria Lima;1461;10º andar Torre Sul;Jardim Paulistano;São Paulo;SP;01452-921;(11) 3035-4143;(11) 3035-4141;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br;2016-12-31
05.437.916/0001-27;2016-12-31;1;2017-02-15;FUNDO DE INVESTIMENTO IMOBILIARIO EUROPAR;2002-12-10;INVESTIDORES EM GERAL;BREUROCTF011;355000;Não;Não;Não;Híbrido;Logística;Passiva;Indeterminado;;2016/12/31;Sim;Não;Não;Sim;Não;COINVALORES C.C.V.M. LTDA;05437916000127;Avenida Brigadeiro Faria Lima;1461;10º andar Torre Sul;Jardim Paulistano;São Paulo;SP;01452-921;(11) 3035-4143;(11) 3035-4141;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br;2016-12-31
05.562.312/0001-02;2016-12-31;2;2017-02-15;FUNDO DE INVESTIMENTO IMOBILIARIO - FII EDIFICIO ALMIRANTE B;2012-10-30;INVESTIDORES EM GERAL;BRFAMBCTF018;104800;Não;Não;Não;Renda;Lajes Corporativas;Passiva;Indeterminado;;Dezembro;Sim;Não;Não;Sim;Não;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;05562312000102;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3441;;;www.btgpactual.com;sh-contato-fundoimobiliario@btgpactual.com;2016-12-30
