CNPJ_Fundo;Data_Referencia;Versao;Tipo;Emissor;CNPJ_Emissor;Emissao;Serie;Codigo_Acao;Nome_Ativo;Data_Vencimento;Quantidade;Valor
00.332.266/0001-31;2018-03-31;1;Outras Cotas de FI;Itaú CDB DI;6175696000173;;;;;;1;2811871.83
00.332.266/0001-31;2018-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;216118.42295;9297266.7
00.332.266/0001-31;2018-06-30;2;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;107155.00436;4679736.64
00.332.266/0001-31;2018-06-30;2;Outras Cotas de FI;Itaú CDB DI;6175696000173;;;;;;2;1785294.28
00.332.266/0001-31;2018-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;145192.67;6439303.51
00.332.266/0001-31;2018-09-30;1;Outras Cotas de FI;Itaú CDB DI;6175696000173;;;;;;2;1754601.72
00.332.266/0001-31;2018-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;148576.56;6688322.21
00.332.266/0001-31;2018-12-31;1;Outras Cotas de FI;Itaú CDB DI;6175696000173;;;;;;2;1245365.8
00.762.723/0001-28;2018-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;25019.91233;1076339.51
00.762.723/0001-28;2018-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;23988.96496;1047660.24
00.762.723/0001-28;2018-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;27720.84;1052020.65
00.762.723/0001-28;2018-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;23079.84;1038961.86
00.868.235/0001-08;2018-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;6525.52221;280723.49
00.868.235/0001-08;2018-03-31;1;Outras Cotas de FI;BRA FIC FI RENDA FIXA SATURNO;60746948000112;;;;;;21.79771;39849.61
00.868.235/0001-08;2018-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;4560.32026;199160.99
00.868.235/0001-08;2018-06-30;1;Outras Cotas de FI;BRA FIC FI RENDA FIXA SATURNO;60746948000112;;;;;;0.53723;991.71
00.868.235/0001-08;2018-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;2572.32;114082.44
00.868.235/0001-08;2018-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;3559.69;157872.72
00.868.235/0001-08;2018-09-30;1;Outras Cotas de FI;BRA FIC FI RENDA FIXA SATURNO;60746948000112;;;;;;0.53723;1004.15
00.868.235/0001-08;2018-12-31;1;Outras Cotas de FI;BRA FIC FI RENDA FIXA SATURNO;60746948000112;;;;;;0.53723;1013.29
00.868.235/0001-08;2018-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;1883.23;84775.65
01.201.140/0001-90;2018-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;169785.73869;7304066.3
01.201.140/0001-90;2018-03-31;1;Outras Cotas de FI;Itaú TOP RF Referenciado DI FICFI;5902521000158;;;;;;78614.92922;339206.2
01.201.140/0001-90;2018-06-30;1;Outras Cotas de FI;Itaú TOP RF Referenciado DI FICFI;5902521000158;;;;;;78260.68046;342782.32
01.201.140/0001-90;2018-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;171127.98598;7473602.5
01.201.140/0001-90;2018-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;178393.89;7911779.94
01.201.140/0001-90;2018-09-30;1;Outras Cotas de FI;Itaú TOP RF Referenciado DI FICFI;5902521000158;;;;;;78260.68;348087.77
01.201.140/0001-90;2018-12-31;1;Outras Cotas de FI;Itaú TOP RF Referenciado DI FICFI;5902521000158;;;;;;77908.86;351705.13
01.201.140/0001-90;2018-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;177613.88;7995465.78
01.235.622/0001-61;2018-03-29;3;Cotas de Sociedades;JFE 21 Empreed. Imobiliário Ltda;12052280000160;;;;;;9861829;5210961.43
01.235.622/0001-61;2018-03-29;3;Cotas de Sociedades;19 de Fevereiro Empr. E Partic. Ltda;35795251000194;;;;;;25776422;2423645.2
01.235.622/0001-61;2018-03-29;3;FII;BB Progressivo II FII;14410722000129;;;;;;187305;27915937.2
01.235.622/0001-61;2018-03-29;3;LCI;BTG PACTUAL;30306294000145;;;;;2019-05-02;10000;10246839.6
01.235.622/0001-61;2018-03-29;3;Cotas de Sociedades;XX de Novembro Invest. E Part. S/A;3538833000107;;;;;;315912258;105737178.48
01.235.622/0001-61;2018-03-29;3;Cotas de Sociedades;JFE 22 Empreed. Imobiliário Ltda;12052242000108;;;;;;6962337;4755265.92
01.235.622/0001-61;2018-03-29;3;Outras Cotas de FI;Itau Top RF DI FI em Cotas de FI;5902521000158;;;;;;1230231.5;5308179.46
01.235.622/0001-61;2018-03-29;3;FII;Dovel FII;10522648000181;;;;;;48980;57724575.22
01.235.622/0001-61;2018-03-29;3;Cotas de Sociedades;Brasilia Plaza S/A;3772684000138;;;;;;33370561;1207385.61
01.235.622/0001-61;2018-03-29;3;FII;GENERAL SEVERIANO FII;17007528000195;;;;;;4000;5092942.56
01.235.622/0001-61;2018-03-29;3;Cotas de Sociedades;4 De Janeiro Adm. E Partic. Ltda;31894926000100;;;;;;58413174;38451947.7
01.235.622/0001-61;2018-03-29;3;Outras Cotas de FI;Opportunity Leblon FIRF Referenciado;10309574000108;;;;;;19055930.01;49442141.37
01.235.622/0001-61;2018-03-29;3;Ações de Sociedades;JFE 16 Empreend. Imobiliários Ltda;11323252000156;;;;;;14017208;14724371.57
01.235.622/0001-61;2018-03-29;3;Ações de Sociedades;Charitas Empreend. Imob. Ltda;18983215000135;;;;;;30328773;47231770.87
01.235.622/0001-61;2018-06-29;2;Cotas de Sociedades;Brasilia Plaza S/A;3772684000138;;;;;;33370561;1223768.34
01.235.622/0001-61;2018-06-29;2;Cotas de Sociedades;19 de Fevereiro Empr. E Partic. Ltda;35795251000194;;;;;;25776422;2475455.19
01.235.622/0001-61;2018-06-29;2;Ações de Sociedades;JFE 16 Empreend. Imobiliários Ltda;11323252000156;;;;;;12815275;13613272.85
01.235.622/0001-61;2018-06-29;2;FII;BB Progressivo II FII;14410722000129;;;;;;187305;23407505.85
01.235.622/0001-61;2018-06-29;2;Cotas de Sociedades;JFE 22 Empreed. Imobiliário Ltda;12052242000108;;;;;;4194231;2058970.64
01.235.622/0001-61;2018-06-29;2;Cotas de Sociedades;JFE 21 Empreed. Imobiliário Ltda;12052280000160;;;;;;9861829;5519935.24
01.235.622/0001-61;2018-06-29;2;Cotas de Sociedades;XX de Novembro Invest. E Part. S/A;3538833000107;;;;;;315912258;106248899.62
01.235.622/0001-61;2018-06-29;2;FII;GENERAL SEVERIANO FII;17007528000195;;;;;;4000;4761419.45
01.235.622/0001-61;2018-06-29;2;Ações de Sociedades;Charitas Empreend. Imob. Ltda;18983215000135;;;;;;30328773;36767384.13
01.235.622/0001-61;2018-06-29;2;Cotas de Sociedades;4 De Janeiro Adm. E Partic. Ltda;31894926000100;;;;;;58413174;38058055.19
01.235.622/0001-61;2018-06-29;2;Outras Cotas de FI;Itau Top RF DI FI em Cotas de FI;5902521000158;;;;;;1808462.76;7921517.48
01.235.622/0001-61;2018-06-29;2;Outras Cotas de FI;Opportunity Leblon FIRF Referenciado;10309574000108;;;;;;15862910.4;41793883.44
01.235.622/0001-61;2018-06-29;2;LCI;BTG PACTUAL;30306294000145;;;;;2019-05-02;10000;10400307.4
01.235.622/0001-61;2018-06-29;2;FII;Dovel FII;10522648000181;;;;;;48980;55207296.41
01.235.622/0001-61;2018-09-28;3;FII;Dovel FII;10522648000181;;;;;;48980;57174987.97
01.235.622/0001-61;2018-09-28;3;FII;GENERAL SEVERIANO FII;17007528000195;;;;;;3999.99;4921265.56
01.235.622/0001-61;2018-09-28;3;FII;BB Progressivo II Fundo de Investimento Imobiliário;14410722000129;;;;;;187305;23913229.35
01.235.622/0001-61;2018-09-28;3;Cotas de Sociedades;XX de Novembro Invest. E Part. S/A;3538833000107;;;;;;315912258;102110665.39
01.235.622/0001-61;2018-09-28;3;Cotas de Sociedades;Brasilia Plaza S/A;3772684000138;;;;;;33370561;1223768.34
01.235.622/0001-61;2018-09-28;3;Ações de Sociedades;Charitas Empreend. Imob. Ltda;18983215000135;;;;;;29325106;29298417.06
01.235.622/0001-61;2018-09-28;3;Cotas de Sociedades;JFE 21 Empreed. Imobiliário Ltda;12052280000160;;;;;;524462999;888369.96
01.235.622/0001-61;2018-09-28;3;Cotas de Sociedades;4 De Janeiro Adm. E Partic. Ltda;31894926000100;;;;;;58413174;38058055.19
01.235.622/0001-61;2018-09-28;3;Cotas de Sociedades;19 de Fevereiro Empr. E Partic. Ltda;35795251000194;;;;;;25776422;2475455.19
01.235.622/0001-61;2018-09-28;3;Outras Cotas de FI;Itau Top RF DI FI em Cotas de FI;5902521000158;;;;;;2274076.17;10114633.67
01.235.622/0001-61;2018-09-28;3;LCI;BTG PACTUAL;30306294000145;;;;;2019-05-02;10000;10246025.7
01.235.622/0001-61;2018-09-28;3;Outras Cotas de FI;Opportunity Leblon FIRF Referenciado;10309574000108;;;;;;31516573.63;33848944.8
01.235.622/0001-61;2018-09-28;3;Cotas de Sociedades;JFE 22 Empreed. Imobiliário Ltda;12052242000108;;;;;;4194231;2058970.64
01.235.622/0001-61;2018-09-28;3;Ações de Sociedades;JFE 16 Empreend. Imobiliários Ltda;11323252000156;;;;;;12815275;14018450.63
01.235.622/0001-61;2018-12-31;3;Cotas de Sociedades;19 de Fevereiro Empr. E Partic. Ltda;35795251000194;;;;;;25776422;2745330.9
01.235.622/0001-61;2018-12-31;3;Cotas de Sociedades;4 De Janeiro Adm. E Partic. Ltda;31894926000100;;;;;;59413174;38048291.09
01.235.622/0001-61;2018-12-31;3;Cotas de Sociedades;JFE 21 Empreed. Imobiliário Ltda;12052280000160;;;;;;524462999;862467.29
01.235.622/0001-61;2018-12-31;3;Cotas de Sociedades;XX de Novembro Invest. E Part. S/A;3538833000107;;;;;;315912258;87457980.6
01.235.622/0001-61;2018-12-31;3;LCI;BTG PACTUAL;30306294000145;;;;;2019-05-02;10000;10092592.4
01.235.622/0001-61;2018-12-31;3;Cotas de Sociedades;Brasilia Plaza S/A;3772684000138;;;;;;33370561;1204459.43
01.235.622/0001-61;2018-12-31;3;Cotas de Sociedades;Taquari - Brasília;01.235.622/0001-61;;;;;;72809;124926269.82
01.235.622/0001-61;2018-12-31;3;Ações de Sociedades;JFE 16 Empreend. Imobiliários Ltda;11323252000156;;;;;;12815275;14422793.91
01.235.622/0001-61;2018-12-31;3;FII;BB Progressivo II Fundo de Investimento Imobiliário;14410722000129;;;;;;187305;26224573.05
01.235.622/0001-61;2018-12-31;3;Ações de Sociedades;Charitas Empreend. Imob. Ltda;18983215000135;;;;;;26035737;26762330.1
01.235.622/0001-61;2018-12-31;3;FII;GENERAL SEVERIANO FII;17007528000195;;;;;;5981.76;7098180.51
01.235.622/0001-61;2018-12-31;3;Cotas de Sociedades;JFE 22 Empreed. Imobiliário Ltda;12052242000108;;;;;;4194231;2179646.89
01.235.622/0001-61;2018-12-31;3;FII;Dovel FII;10522648000181;;;;;;48922;50433624.1
01.497.954/0001-14;2018-03-31;1;Outras Cotas de FI;Bradesco FICFIRF DI Special;9573255000175;;;;;;80860.84;1318991.22
01.497.954/0001-14;2018-06-30;1;Outras Cotas de FI;Bradesco FICFIRF DI Special;9573255000175;;;;;;101745.68;1683631.27
01.497.954/0001-14;2018-09-30;1;Outras Cotas de FI;Bradesco FICFIRF DI Special;9573255000175;;;;;;88028.1;1478299.79
