CNPJ_Fundo;Data_Referencia;Versao;Receita_Venda_Estoque_Contabil;Receita_Venda_Estoque_Financeiro;Custo_Estoque_Contabil;Custo_Estoque_Financeiro;Ajuste_Realizacao_Estoque_Contabil;Ajuste_Realizacao_Estoque_Financeiro;Outras_Receitas_Despesas_Estoque_Contabil;Outras_Receitas_Despesas_Estoque_Financeiro;Resultado_Liquido_Estoque_Contabil;Resultado_Liquido_Estoque_Financeiro;Receita_Aluguel_Investimento_Contabil;Receita_Aluguel_Investimento_Financeiro;Despesa_Manutencao_Investimento_Contabil;Despesa_Manutencao_Investimento_Financeiro;Receita_Venda_Investimento_Contabil;Receita_Venda_Investimento_Financeiro;Custo_Investimento_Contabil;Custo_Investimento_Financeiro;Ajuste_Justo_Investimento_Contabil;Ajuste_Justo_Investimento_Financeiro;Outras_Receitas_Despesas_Investimento_Contabil;Outras_Receitas_Despesas_Investimento_Financeiro;Resultado_Liquido_Renda_Contabil;Resultado_Liquido_Renda_Investimento_Financeiro;Receita_Juros_TVM_Contabil;Receita_Juros_TVM_Financeiro;Ajuste_Justo_TVM_Contabil;Ajuste_Justo_TVM_Financeiro;Resultado_Venda_TVM_Contabil;Resultado_Venda_TVM_Financeiro;Outras_Receitas_Despesas_TVM_Contabil;Outras_Receitas_Despesas_TVM_Financeiro;Resultado_Liquido_TVM_Contabil;Resultado_Liquido_TVM_Financeiro;Resultado_Liquido_Total_Contabil;Resultado_Liquido_Total_Financeiro;Receita_Juros_Aplicacao_Contabil;Receita_Juros_Aplicacao_Financeiro;Ajuste_Justo_Aplicacao_Contabil;Ajuste_Justo_Aplicacao_Financeiro;Resultado_Venda_Aplicacao_Contabil;Resultado_Venda_Aplicacao_Financeiro;Outras_Receitas_Despesas_Aplicacao_Contabil;Outras_Receitas_Despesas_Aplicacao_Financeiro;Resultado_Liquido_Recurso_Liquidez_Contabil;Resultado_Liquido_Recurso_Liquidez_Financeiro;Resultado_Liquido_Derivativos_Contabil;Resultado_Liquido_Derivativos_Financeiro;Taxa_Administracao_Contabil;Taxa_Administracao_Financeiro;Taxa_Desempenho_Contabil;Taxa_Desempenho_Financeiro;Despesa_Consultoria_Especializada_Contabil;Despesa_Consultoria_Especializada_Financeiro;Despesa_Empresa_Especializada_Contabil;Despesa_Empresa_Especializada_Financeiro;Despesa_Formador_Mercado_Contabil;Despesa_Formador_Mercado_Financeiro;Despesa_Custodia_Contabil;Despesa_Custodia_Financeiro;Despesa_Auditoria_Independente_Contabil;Despesa_Auditoria_Independente_Financeiro;Despesa_Representantes_Cotistas_Contabil;Despesa_Representantes_Cotistas_Financeiro;Taxa_Imposto_Contribuicao_Contabil;Taxa_Imposto_Contribuicao_Financeiro;Despesa_Comissoes_Emolumentos_Contabil;Despesa_Comissoes_Emolumentos_Financeiro;Despesa_Honorarios_Defesas_Contabil;Despesa_Honorarios_Defesas_Financeiro;Despesa_Contratos_Seguros_Contabil;Despesa_Contratos_Seguros_Financeiro;Despesa_Avaliacoes_Contabil;Despesa_Avaliacoes_Financeiro;Taxa_Ingresso_Saida_Cotista_Contabil;Taxa_Ingresso_Saida_Cotista_Financeiro;Despesa_Registro_Cartorio_Contabil;Despesa_Registro_Cartorio_Financeiro;Outras_Receitas_Depesas_Contabil;Outras_Receitas_Depesas_Financeiro;Total_Receitas_Despesas_Contabil;Total_Receitas_Despesas_Financeiro;Resultado_Trimestral_Liquido_Contabil;Resultado_Trimestral_Liquido_Financeiro;Resultado_Financeiro_Liquido_Acumulado;Resultado_Financeiro_Liquido_Acumulado_95;Parcela_Rendimento_Retido;Lucro_Contabil;Rendimentos_Declarados;Rendimentos_Pagos_Antecipadamente;Rendimento_Liquido_Pagar;Percentual_Resultado_Financeiro_Liquido_Declarado
00.332.266/0001-31;2018-03-31;1;0;0;0;0;0;0;0;0;0;0;11591521.37;13697851.16;-217225.09;-217225.09;0;0;0;0;0;0;-3349444.32;-3316745.46;8024851.96;10163880.61;0;0;0;0;0;0;0;0;0;0;8024851.96;10163880.61;100263.57;100263.57;0;0;0;0;25.14;25.14;100288.71;100288.71;;;-173465.48;-173465.48;0;0;-36000;-36000;0;0;0;0;0;0;-15233.34;-15233.34;0;0;-21020.64;-21020.64;0;0;-77901.62;-77901.62;0;;0;;0;;0;;-42207.24;-42207.24;-365828.32;-365828.32;7759312.35;9898341;9898341;9403423.95;;0;9403423.95;-9388978.37;14445.58;0.95
00.332.266/0001-31;2018-06-30;2;;;;;;;;;0;0;11222359.01;11518189.42;-239297.81;-239297.81;;;;;18566.18;18566.18;-3170202.4;-3137503.54;7831424.98;8159954.25;;;;;;;;;0;0;7831424.98;8159954.25;109710.26;109710.26;;;;;-25.14;-25.14;109685.12;109685.12;0;0;-173652.92;-173652.9;;;-36000;-36000;;;;;;;-300;-300;;;-29772.66;-29772.66;;;-70577.58;-70577.58;;;;;;;;;-56655.33;-56655.33;-366958.49;-366958.47;7574151.61;7902680.9;17801021.9;16910970.805;;833509.01;17744479.815;-17744479.81;0.005;0.996824
00.332.266/0001-31;2018-09-30;1;0;0;0;0;0;0;0;0;0;0;12657815.37;12494006.51;-334641.71;-334641.71;0;0;0;0;0;0;-2838615.5;-2805916.64;9484558.16;9353448.16;0;0;0;0;0;0;0;0;0;0;9484558.16;9353448.16;115606.78;115606.78;0;0;0;0;0;0;115606.78;115606.78;0;0;-173042.1;-173042.1;0;0;-36000;-36000;0;0;0;0;0;0;0;0;0;0;-27185.5;-27185.5;0;0;-97274.85;-97274.85;0;0;0;0;0;0;0;0;-16668.2;-16668.2;-350170.65;-350170.65;9249994.29;9118884.29;9118884.29;8662940.0755;;541776.99;9204717.0655;-9204717.07;-0.0045;1.009413
00.332.266/0001-31;2018-12-31;1;0;0;0;0;0;0;0;0;0;0;15275693.85;13392013.32;0;0;0;0;0;0;17957366.99;0;-984457.96;687227.04;32248602.88;14079240.36;0;0;0;0;0;0;0;0;0;0;32248602.88;14079240.36;114204.29;114204.29;0;0;0;0;0;0;114204.29;114204.29;0;0;-174255.16;-173521.3;0;0;-36000;-36000;0;0;0;0;0;0;-31533.34;-31533.34;0;0;-41530.05;-28769.63;0;0;-36506.64;-36506.64;0;0;0;0;0;0;0;0;-21374.44;-21374.44;-341199.63;-327705.35;32021607.54;13865739.3;22984623.59;21835392.4105;;;21835392.4105;-21835392.41;0.0005;0.95
00.613.094/0001-74;2018-03-31;1;;;;;;;-119928.66;-119928.66;-119928.66;-119928.66;;;-137679.72;-137679.72;169392.02;169392.02;-223738.36;-223738.36;2612.63;;2010924.39;;1821510.96;-192026.06;;;;;;;;;0;0;1701582.3;-311954.72;;;;;;;;;0;0;0;0;0;;0;;0;;0;;0;;-15300.06;-15300.06;-12233.16;-12233.16;0;;-29246.29;-29246.29;0;;-18408.95;-18497.59;0;;0;;0;;0;;-21014.13;-57415.99;-96202.59;-132693.09;1605379.71;-444647.81;-444647.81;0;;;0;0;0;0
00.613.094/0001-74;2018-06-30;1;;;;;;;-179892.99;-179892.99;-179892.99;-179892.99;;;-137679.72;-137679.72;94216.2;94216.2;-539697.12;-335607.54;1458.76;;5515195.49;;4933493.61;-379071.06;;;;;;;;;0;0;4753600.62;-558964.05;;;;;;;;;0;0;0;0;0;;0;;0;;0;;0;;-15429.21;-15429.21;-8155.45;-8155.45;0;;-29246.29;-29246.29;0;;-18937.57;-18937.57;0;;0;;0;;0;;-40309.46;-33701.74;-112077.98;-105470.26;4641522.64;-664434.31;-1109082.11;0;;;0;0;0;0
00.613.094/0001-74;2018-09-30;1;;;;;;;-179892.99;-179892.99;-179892.99;-179892.99;;;-137679.72;-137679.72;61792.35;61792.35;-335607.54;-335607.54;1248.3;;4195661.27;;3785414.66;-411494.91;;;;;;;;;0;0;3605521.67;-591387.9;;;;;;;;;0;0;0;0;0;;0;;0;;0;;0;;-15300.88;-15300.88;-16310.88;-16310.88;0;;-29246.29;-29246.29;0;;-95593.73;-91186.55;0;;0;;0;;0;;-28861.42;-28826.61;-185313.2;-180871.21;3420208.47;-772259.11;-772259.11;0;;;0;0;0;0
00.613.094/0001-74;2018-12-31;1;;;;;;;-119928.66;-119928.66;-119928.66;-119928.66;;;-137679.72;-137679.72;2024.94;2024.94;-371856.16;-223738.36;1293.71;;-1997190.75;;-2503407.98;-359393.14;;;;;;;;;0;0;-2623336.64;-479321.8;;;;;;;;;0;0;0;0;0;;0;;0;;0;;0;;-16663.5;-16663.5;-12233.16;-12233.16;0;;-29246.29;-29246.29;0;;-83319.26;-87726.44;0;;0;;0;;0;;-10950.52;-33140.64;-152412.73;-179010.03;-2775749.37;-658331.83;-1430590.94;0;;;0;0;0;0
00.762.723/0001-28;2018-03-31;1;0;0;0;0;0;0;0;0;0;0;3417134.61;2576688.64;-102645.91;-102645.91;0;0;0;0;0;0;-257697.18;-257697.18;3056791.52;2216345.55;0;0;0;0;0;0;0;0;0;0;3056791.52;2216345.55;28225.55;28225.55;0;0;0;0;0;0;28225.55;28225.55;;;-82376.11;-82187.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7138.17;-7138.17;0;0;-3780.72;-3780.72;0;0;0;0;0;0;0;0;-20177.39;-20177.39;-113472.39;-113283.32;2971544.68;2131287.78;2131287.78;2024723.391;;0;2024723.391;-2115144.97;-90421.579;0.95
00.762.723/0001-28;2018-06-30;1;;;;;;;;;0;0;3317646.72;3343225.01;-11018.54;-11018.54;;;;;;;-274787.35;-274787.35;3031840.83;3057419.12;;;;;;;;;0;0;3031840.83;3057419.12;40927.72;40927.72;;;;;;;40927.72;40927.72;0;0;-82655.69;-71769.08;;;;;;;;;;;-39650.15;-39650.15;;;-7733.93;-7733.93;;;-2966.1;-2966.1;;;;;;;;;-20680.05;-20680.05;-153685.92;-142799.31;2919082.63;2955547.53;5086835.31;4832493.5445;;;4832493.5445;-5100610.99;-268117.4455;0.95
00.762.723/0001-28;2018-09-30;1;0;0;0;0;0;0;0;0;0;0;3393974.22;3540449.32;-173946.37;-173946.37;0;0;0;0;0;0;-309683.36;-309683.36;2910344.49;3056819.59;0;0;0;0;0;0;0;0;0;0;2910344.49;3056819.59;40600.55;40600.55;0;0;0;0;0;0;40600.55;40600.55;0;0;-82589.48;-93520.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-12459.33;-12459.33;0;0;-2528.33;-2528.33;0;0;0;0;0;0;0;0;-395;-395;-97972.14;-108902.68;2852972.9;2988517.46;2988517.46;2839091.587;;146364.6;2985456.187;-2985456.19;-0.003;0.998976
00.762.723/0001-28;2018-12-31;1;0;0;0;0;0;0;0;0;0;0;3615589.32;3583530.09;-160637.8;-160637.8;0;0;0;0;-825000;0;-381652.16;-381652.16;2248299.36;3041240.13;0;0;0;0;0;0;0;0;0;0;2248299.36;3041240.13;36060.65;36060.65;0;0;0;0;0;0;36060.65;36060.65;0;0;-82183.44;-82951.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-11097.36;-11097.36;0;0;-1162.31;-1162.31;0;0;0;0;0;0;0;0;-47999.8;-32762.78;-142442.91;-127973.72;2141917.1;2949327.06;5937844.52;5640952.294;;329947.18;5970899.474;-597089.47;5373810.004;1.005567
00.868.235/0001-08;2018-03-31;1;0;0;0;0;0;0;0;0;0;0;2292666.56;2157544.34;-26149.66;-26149.66;0;0;0;0;0;0;-253203.79;-279079.64;2013313.11;1852315.04;0;0;0;0;0;0;0;0;0;0;2013313.11;1852315.04;8823.47;8823.47;0;0;0;0;0;0;8823.47;8823.47;;;-97845;-97845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6539.39;-6539.39;0;0;-10063.25;-10063.25;0;0;0;0;0;0;0;0;-58082.09;-58082.09;-172529.73;-172529.73;1849606.85;1688608.78;1688608.78;1604178.341;;0;1604178.341;-872942.51;731235.831;0.95
00.868.235/0001-08;2018-06-30;1;;;;;;;;;0;0;2385499.7;2483685.8;-212624.69;-212624.69;;;;;;;-385850.05;-407410.05;1787024.96;1863651.06;13827.83;13827.83;;;;;;;13827.83;13827.83;1800852.79;1877478.89;6929.3;6929.3;;;;;;;6929.3;6929.3;0;0;-97845;-97845;;;;;;;;;;;;;;;-113815.9;-6593.75;;;-5549.11;-5549.11;;;;;;;;;-60546.24;-60536.97;-277756.25;-170524.83;1530025.84;1713883.36;3402492.14;3232367.533;;;3232367.533;-3232367.53;0.003;0.95
00.868.235/0001-08;2018-09-30;1;0;0;0;0;0;0;0;0;0;0;2341717.17;2316761.72;-20266.3;-20266.3;0;0;0;0;0;0;-303355.85;-309254.06;2018095.02;1987241.36;0;0;0;0;0;0;0;0;0;0;2018095.02;1987241.36;4885.3;4885.3;0;0;0;0;0;0;4885.3;4885.3;0;0;-97845;-97845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6926.4;-6926.4;0;0;-5337.9;-5337.9;0;0;0;0;0;0;0;0;-49761.51;-49761.51;-159870.81;-159870.81;1863109.51;1832255.85;1832255.85;1740643.0575;;0;1740643.0575;-1595322.96;145320.0975;0.95
00.868.235/0001-08;2018-12-31;1;0;0;0;0;0;0;0;0;0;0;2014139.74;2181358.97;-110434.51;-110434.51;0;0;0;0;1650000;0;-475017.05;-475107.43;3078688.18;1595817.03;0;0;0;0;0;0;0;0;0;0;3078688.18;1595817.03;5234.21;5234.21;0;0;0;0;0;0;5234.21;5234.21;0;0;-97845;-97845;0;0;0;0;0;0;-217;-217;0;0;-16711.22;-16711.22;0;0;-21126.92;-9168.4;0;0;-5968.25;-5968.25;0;0;0;0;0;0;0;0;-106697.15;-106697.15;-248565.54;-236607.02;2835356.85;1364444.22;3196700.07;3036865.0665;;0;3036865.0665;-3036865.07;-0.0035;0.95
01.201.140/0001-90;2018-03-31;1;0;0;0;0;0;0;0;0;0;0;16934176.52;20254371.22;-51444.77;-51444.77;0;0;0;0;0;0;-1425017.25;-1425017.25;15457714.5;18777909.2;0;0;0;0;0;0;0;0;0;0;15457714.5;18777909.2;101213.67;101213.67;0;0;0;0;0;0;101213.67;101213.67;;;-196221;-196372.94;0;0;0;0;0;0;0;0;0;0;-45700;-45700;0;0;-18495.23;-18495.23;0;0;-21063.55;-21063.55;0;0;0;0;0;0;0;0;-15473.99;-15473.99;-296953.77;-297105.71;15261974.4;18582017.16;18582017.16;17652916.302;;0;17652916.302;-13599520.75;4053395.552;0.95
01.201.140/0001-90;2018-06-30;1;;;;;;;;;0;0;17421035.05;17222585.96;-825440.17;-825440.17;;;;;;;-1472414.8;-1472414.8;15123180.08;14924730.99;;;;;;;;;0;0;15123180.08;14924730.99;101150.63;101150.63;;;;;;;101150.63;101150.63;0;0;-215792.05;-196284.74;;;;;;;;;;;;;;;-21996.87;-21996.87;;;-15042.41;-15042.41;;;;;;;;;-16589.1;-16589.1;-269420.43;-249913.12;14954910.28;14775968.5;33357985.66;31690086.377;;;31690086.377;-31690086.38;-0.003;0.95
01.201.140/0001-90;2018-09-30;1;0;0;0;0;0;0;0;0;0;0;18518678.91;18163188.45;-487660.72;-487660.72;0;0;0;0;0;0;-1667815.62;-1667815.62;16363202.57;16007712.11;0;0;0;0;0;0;0;0;0;0;16363202.57;16007712.11;131917.46;131917.46;0;0;0;0;0;0;131917.46;131917.46;0;0;-175680.01;-199443.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-26012.33;-26012.33;0;0;-14171.59;-14171.59;0;0;0;0;0;0;0;0;-21915.34;-21915.34;-237779.27;-261542.85;16257340.76;15878086.72;15878086.72;15084182.384;;0;15084182.384;-12723838.52;2360343.864;0.95
01.201.140/0001-90;2018-12-31;1;0;0;0;0;0;0;0;0;0;0;21340071.48;18444121.69;-1053046.14;-1053046.14;0;0;0;0;120797000;0;-1225244.62;-1225244.62;139858780.72;16165830.93;0;0;0;0;0;0;0;0;0;0;139858780.72;16165830.93;106557.95;106557.95;0;0;0;0;0;0;106557.95;106557.95;0;0;-269746.26;-259454.54;0;0;0;0;0;0;0;0;0;0;-31533.34;-31533.34;0;0;-27727.42;-27727.42;0;0;-5058.82;-5058.82;0;0;0;0;0;0;0;0;29245.33;-8172.7;-304820.51;-331946.82;139660518.16;15940442.06;31818528.78;30227602.341;;0;30227602.341;-30227602.34;0.001;0.95
01.235.622/0001-61;2018-03-29;3;39691958.65;7759937.01;-18179221.06;-2096583.65;;;-752766.39;-435908.51;20759971.2;5227444.85;8249512.34;9080337.05;-4220225.4;-3835022.32;;;;;-6216462.96;;-782919.55;-1076745.72;-2970095.57;4168569.01;6694431.48;3124070.61;;;;;-47282.22;1443332.02;6647149.26;4567402.63;24437024.89;13963416.49;1332166.22;3635981.29;;;;;;;1332166.22;3635981.29;0;0;-2473352.94;-2473352.94;;;-3140834.17;-3140834.17;;;;;-18674.24;-18674.24;-137120.52;-137120.52;;;-8713627.66;-6699474.43;;;-647199.09;-647199.09;;;;;;;-1086527.76;-1129574.88;-2246257.55;-2522429.81;-18463593.93;-16768660.08;7305597.18;830737.7;830737.7;789200.815;;;789200.815;0;789200.815;0.95
01.235.622/0001-61;2018-06-29;2;82173335.24;7587450;-41527392.72;-5263293.54;;;-873376.52;-473351.74;39772566;1850804.72;16985925.26;8686400.12;-7354003.85;-2439608.16;;;;;-8835749.65;;202643.46;-1480284.11;998815.22;4766507.85;2383345.74;11700000;;;;;972408.78;1415268.16;3355754.52;13115268.16;44127135.74;19732580.73;2089658.86;676082.34;;;;;293300;600766.6;2382958.86;1276848.94;0;0;-4919091.24;-1627215.87;;;-3796287.43;-635453.26;;;;;-34629.38;-15955.14;-137120.52;;;;-7963489.73;-99593.12;;-143021;-2304332.79;-443298.62;;;;;;;-155095.61;-39508.85;-12323473.62;-1469356.58;-31633520.32;-4473402.44;14876574.28;16536027.23;17489354.09;16614886.3855;;;16614886.3855;0;16614886.3855;0.95
01.235.622/0001-61;2018-09-28;3;152718423.54;13752622.75;-74266855.24;-5947226.47;;;-5822623.65;-875178.96;72628944.65;6930217.32;24842267.16;8709087.16;-9443517.61;-1613221.09;;;;;-7333208.55;;-12964636;187470.02;-4899095;7283336.09;7076291.94;7525990.25;;;;;2553872.04;1570096.52;9630163.98;9096086.77;77360013.63;23309640.18;2625607.04;3754264.04;;;;;449255.55;120367.95;3074862.59;3874631.99;0;0;-7374839.85;-3274271.04;;;-4426697.67;-610410.24;;;;;-52122.22;-17492.84;-274241.04;;;;-6709892.4;-123783.91;;-465199.23;-2935991.89;-640657.37;;;;;;;-898782.7;-285607.19;-3159859.08;-2121143.08;-25832426.85;-7538564.9;54602449.37;19645707.27;19645707.27;18663421.9065;;;18663421.9065;0;18663421.9065;0.95
01.235.622/0001-61;2018-12-31;3;212947439.54;25023270.21;-103787680.49;-3667738.66;;;-13342010.84;-1384591.28;95817748.21;19970940.27;32227078.49;6872268.02;-10919028.93;-1689082.79;;;;;4734228.51;;-19679666.39;-1298250.83;6362611.68;3884934.4;9151859.94;;;;;;-14469350.14;1718369.03;-5317490.2;1718369.03;96862869.69;25574243.7;3245564.87;2648575.89;;;;;527079.14;362301.61;3772644.01;3010877.5;0;0;-11466659.49;-2379548.52;;;-5412957.34;-986259.67;;;;;-66012.4;-13890.18;-274241.04;;;;-9609134.64;-1965687.57;;-490693.74;-3279460.18;-261893.04;;;;;;;-4755559.58;-187071.63;-7141121.26;-4502318.13;-42005145.93;-10787362.48;58630367.77;17797758.72;37091244.08;35236681.876;;1854562.2;37091244.076;0;37091244.076;1
01.356.517/0001-80;2018-03-31;1;;;;;;;;;0;0;17926878.8;17616967.52;-220212.89;-220212.89;38712.76;38712.76;;;;;;;17745378.67;17435467.39;;;;;;;;;0;0;17745378.67;17435467.39;118819.58;118819.58;;;;;;;118819.58;118819.58;0;0;-163560.46;-163560.46;;;;;-742563.7;-742563.7;;;;;-3836.01;-3836.01;;;-1534717.06;-1534717.06;;;;;;;;;;;;;-1022673.55;-1022673.55;-3467350.78;-3467350.78;14396847.47;14086936.19;14086936.19;13382589.3805;;;13382589.3805;0;13382589.3805;0.95
01.356.517/0001-80;2018-06-30;1;;;;;;;;;0;0;35985075.36;35534647.56;-490316.41;-490316.41;93623.34;93623.34;;;;;93767.28;93767.28;35682149.57;35231721.77;;;;;;;;;0;0;35682149.57;35231721.77;325322.6;325322.6;;;;;;;325322.6;325322.6;0;0;-345972.41;-345972.41;;;;;-1632786.63;-1632786.63;;;;;-7720.36;-7720.36;0;;-1385873.53;-1385873.53;;;;;;;;;;;;;-1878324.27;-1878324.27;-5250677.2;-5250677.2;30756794.97;30306367.17;30306367.17;28791048.8115;;;28791048.8115;-28791048.81;0.0015;0.95
01.356.517/0001-80;2018-09-30;1;;;;;;;;;0;0;55497252.27;55704289.33;-680920.56;-680620.56;134311.92;134311.92;;;;;95619.41;95619.41;55046263.04;55253600.1;;;;;;;;;0;0;55046263.04;55253600.1;344802.7;344802.7;;;;;;;344802.7;344802.7;0;0;-525465.62;-525465.62;;;;;-2404380.34;-2404380.34;;;;;-11628.88;-11628.88;;;-1213615.35;-1213615.35;;;;;;;;;;;;;-3072461.88;-3072461.88;-7227552.07;-7227552.07;48163513.67;48370850.73;48370850.73;45952308.1935;;;45952308.1935;-28791048.81;17161259.3835;0.95
