CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
03.683.056/0001-86;2019-03-31;1;CONTINENTAL SQUARE FARIA LIMA;Rua Olimpíadas, 205, Vila Olímpia, São Paulo/SP;6246.1;4;Laje Corporativa;0.228;Renda
03.683.056/0001-86;2019-12-31;1;PQ CULTURAL PAULISTA;Avenida Paulista, 37, São Paulo/SP;2538.25;3;Laje Corporativa;0.0767348692667725;Renda
07.583.627/0001-61;2019-03-31;1;Não Aplicavel;Não Aplicavel;0;1;0;0;Renda
07.583.627/0001-61;2019-06-30;1;Não Aplicavel;Não Aplicavel;0;1;0;0;Renda
07.583.627/0001-61;2019-09-30;1;Não Aplicavel;Não Aplicavel;0;1;0;0;Renda
07.583.627/0001-61;2019-12-31;1;Não Aplicavel;Não Aplicavel;0;1;0;0;Renda
08.431.747/0001-06;2019-12-31;2;Suzano Shopping - 15%;Rua Sete de Setembro, 555 - Suzano - SP;24038.84;133;-;0.019423;Renda
08.431.747/0001-06;2019-12-31;2;Shopping West Plaza - 70%;Av. Francisco Matarazzo s/n, Bloco B, São Paulo, SP, 05003-900;36761.51;198;-;0.091145;Renda
08.706.065/0001-69;2019-09-30;2;Gran Estanplaza - 1003;Rua Arizona, nº 1.517 - São Paulo, SP;38.47;1;Não possui caracteristicas que destoem dos demais;0.00131480970298098;Renda
08.706.065/0001-69;2019-09-30;2;Gran Estanplaza - 1005;Rua Arizona, nº 1.517 - São Paulo, SP;38.47;1;Não possui caracteristicas que destoem dos demais;0.00131480970298098;Renda
08.706.065/0001-69;2019-12-31;1;Ibis Morumbi;Avenida Roque Petroni Júnior, nº 800;1024.8;56;Não possuem características que destoem dos demais;0.128934193650842;Renda
08.924.783/0001-01;2019-03-29;1;Senado;Avenida Henrique Valadares, 28, RJ, 20231 - 030;19034.73;1;Direito de propriedade;0.248926;Renda
08.924.783/0001-01;2019-03-29;1;CEO Corporate Executives Offices;Avenida João Cabral de Mello Neto, 850, RJ, 22775 - 057;4781.9;24;Direito de propriedade;0.04709;Renda
08.924.783/0001-01;2019-12-31;2;Edíficio Parque da Cidade - Torre Sucupira;Avenida das Nações Unidas, nº 14.401;7533.8;5;Não existem características que destoem dos demais.;0.0520784541949;Renda
09.072.017/0001-29;2019-12-31;2;Edifício Chucri Zaidan;Av Dr Chucri Zaidan, 2460;21906;1;-;0.152689;Renda
09.072.017/0001-29;2019-12-31;2;Totvs;Avenida Braz Leme, 1000;21100;1;-;0.14723;Renda
09.072.017/0001-29;2019-12-31;2;Torre Martiniano;Rua Martiniano de Carvalho, 851;31990.22;1;-;0.092069;Renda
10.456.810/0001-00;2019-09-30;1;ED. MINNEAPOLIS;Rua Ramos Batista. 198, São Paulo/SP;442;1;Imóvel Comercial;0.1107;Renda
10.456.810/0001-00;2019-09-30;1;ED. ATRIUM IX;Rua do Rócio, 350 , São Paulo/SP;1137;2;Imóvel Comercial;0.137;Renda
11.326.746/0001-06;2019-09-30;1;Araucárias;Rua Flatim, 286 - residencial parque das Araucárias - Campinas - SP;560.23;1;Casa de Condominio;1;Renda
11.326.746/0001-06;2019-09-30;1;Cambui;Av. José de Sousa Campos, 90 - Cambui;1153.63;1;Predio Comercial;1;Renda
11.326.746/0001-06;2019-09-30;1;Cambui;Rua Guilherme da Silva, 360 - Cambui;488;1;Apartamento + 4 Vagas duplas;1;Renda
11.728.688/0001-47;2019-06-30;1;FedEx Guarulhos;Rua Antônio Utrilla, 1062. Guarulhos - SP;18276;1;-;0.0339;Renda
11.728.688/0001-47;2019-09-30;1;Condomínio SJC;Rua Ambrósio Molina, n°s 1090/1100;69466;11;-;0.0808;Renda
11.728.688/0001-47;2019-09-30;1;Volkswagen Vinhedo;Avenida das Indústrias, s/n°;132353;1;-;0.2569;Renda
12.005.956/0001-65;2019-03-29;2;Boulevard Corporate Tower;Avenida dos Andradas, 3000, Santa Efigênia, Belo Horizonte - MG;4806.16;16;NA;1;Renda
12.516.185/0001-70;2019-12-31;1;Edi. Brooklin B.P;Rua Jaceru, 154, Vila Gertrudes, São Paulo/SP;5381.5;1;O Fundo possui 100% do edificio comercial composto por 6 pavimentos.;1;Renda
12.516.185/0001-70;2019-12-31;1;Edif. Oscar Freire;Rua Oscar Freire, 585, Jardim Paulista, São Paulo/SP;6144.8;1;O Fundo possui 100% do edificio comercial composto por 7 pavimentos.;1;Renda
12.516.185/0001-70;2019-12-31;1;Edif. VITA CORA;Rua Corá, 2175, São Paulo/SP;4347.15;1;O Fundo possui 66,3% do edificio comercial composto por 5 pavimentos.;0.664;Renda
12.516.185/0001-70;2019-12-31;1;BMA Corporate;Largo do Ibam, 1, Humaitá, Rio de Janeiro/RJ;5784.96;1;O Fundo possui 70% do edificio comercial composto por 7 pavimentos.;1;Renda
12.804.013/0001-00;2019-06-30;1;W Tower;Rua Alfredo Chaves, 1208 - Caxias do Sul/RS;9439.74;11;Imóveis adquiridos para locação;1;Renda
13.371.132/0001-71;2019-06-28;1;Ed. Paulista;Av. Paulista, 2064, Bela Vista, São Paulo - SP;26206.2;22;0;0.456886;Renda
13.873.457/0001-52;2019-06-30;1;Cuiabá;Avenida Beira Rio, 3.001, Jardim Europa - Cuiabá/MT;38529.06;1;Imóvel locado para a Kroton, com contrato do tipo "sale and leaseback".;0.418478260869565;Renda
13.873.457/0001-52;2019-06-30;1;São Luis;Avenida São Luís Rei de França, 32, Turu - São Luís/MA;24466.32;1;Imóvel locado para a Kroton, com contrato do tipo "sale and leaseback".;0.581521739130435;Renda
13.873.457/0001-52;2019-12-31;1;Ipatinga - Jequitibá;Rua Jequitibá, 401, Horto - Ipationga/MG;14097;1;Imóvel locado para a Kroton, com contrato do tipo "sale and leaseback".;0.085831;Renda
13.873.457/0001-52;2019-12-31;1;Av. Presidente Juscelino Kubitschek;Avenida Presidente Juscelino Kubitschek, n° 227/229 e 247, Centro - Betim/MG;24483;1;Imóvel locado para a Kroton, com contrato do tipo "sale and leaseback".;0.366765;Renda
13.873.457/0001-52;2019-12-31;1;Rua dos Timbiras;Rua Timbiras, 1387, Funcionários - Belo Horizonte/MG;5940;1;Imóvel locado para a Kroton, com contrato do tipo "sale and leaseback".;0.116457;Renda
15.461.076/0001-91;2019-06-28;1;Terreno Urbano Condomínio Golf Boutique;Estrada de Arraial D'Ajuda KM 18 Trancoso Porto Seguro BA;71794;3;Este é o valor inicial do total das aquisições de 15 milhões de reais, de acordo com a Promessa de Compra e Venda;;Renda
15.576.907/0001-70;2019-06-30;2;Leblon;Av. Afrânio de Melo Franco, 131;701;1;Agência Bancária;0;Renda
15.576.907/0001-70;2019-09-30;2;Iguatemi;Av. Brigadeiro Faria Lima, 2232;75;1;Aquisição de cotas do Shopping Center;0.00125;Renda
15.576.907/0001-70;2019-09-30;2;Nobu;Rua Haddock Lobo, 1573, Jardins;434.3;1;Restaurante;1;Renda
15.576.907/0001-70;2019-09-30;2;Centauro;Av. Paulista, 1.227;2550.89;1;Varejo;1;Renda
15.576.907/0001-70;2019-12-31;1;GPA - São Paulo;Av. Padre Antônio Jose Dos Santos, nº 872 - São Paulo - SP;3793;1;Comércio;0.0364685366459561;Renda
15.576.907/0001-70;2019-12-31;1;GPA - São Bernardo do Campo;Rua Santa Filomena, nºs 677, 687 e 697, Centro - SBC - SP;2365;1;Comércio;0.0163736286981844;Renda
15.576.907/0001-70;2019-12-31;1;GPA - Campinas;Av. Barão de Itapura, nº 2233 - Campinas - SP;3167;1;Comércio;0.0220299731575572;Renda
15.576.907/0001-70;2019-12-31;1;GPA - Guarujá;Estrada do Pernambuco, nº 500 - Guarujá - SP;2780;1;Comércio;0.0193506520978543;Renda
15.576.907/0001-70;2019-12-31;1;GPA - Recife;Rua Desembargador Góes Cavalcante, nº 261 - Recife - PE;4583;1;Comércio;0.026197805917095;Renda
15.576.907/0001-70;2019-12-31;1;GPA - Brasília;EQ 406/407-SUL - Lote 1 - Brasília - DF;2601;1;Comércio;0.0165224798681679;Renda
16.915.968/0001-88;2019-03-29;1;Way Parque das Nações Apto. 14;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;58,87 m²;1;No trimestre, o Fundo virou proprietário de 14 unidades habitacionais do empreendimento Way Parque das Nações.;0.0714285714285714;Venda
16.915.968/0001-88;2019-03-29;1;Way Parque das Nações Apto. 22;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;58,87 m²;1;No trimestre, o Fundo virou proprietário de 14 unidades habitacionais do empreendimento Way Parque das Nações.;0.0714285714285714;Venda
16.915.968/0001-88;2019-03-29;1;Way Parque das Nações Apto. 34;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;58,87 m²;1;No trimestre, o Fundo virou proprietário de 14 unidades habitacionais do empreendimento Way Parque das Nações.;0.0714285714285714;Venda
16.915.968/0001-88;2019-03-29;1;Way Parque das Nações Apto. 41;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;58,87 m²;1;No trimestre, o Fundo virou proprietário de 14 unidades habitacionais do empreendimento Way Parque das Nações.;0.0714285714285714;Venda
16.915.968/0001-88;2019-03-29;1;Way Parque das Nações Apto. 44;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;58,87 m²;1;No trimestre, o Fundo virou proprietário de 14 unidades habitacionais do empreendimento Way Parque das Nações.;0.0714285714285714;Venda
16.915.968/0001-88;2019-03-29;1;Way Parque das Nações Apto. 53;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;58,87 m²;1;No trimestre, o Fundo virou proprietário de 14 unidades habitacionais do empreendimento Way Parque das Nações.;0.0714285714285714;Venda
16.915.968/0001-88;2019-03-29;1;Way Parque das Nações Apto. 63;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;58,87 m²;1;No trimestre, o Fundo virou proprietário de 14 unidades habitacionais do empreendimento Way Parque das Nações.;0.0714285714285714;Venda
16.915.968/0001-88;2019-03-29;1;Way Parque das Nações Apto. 64;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;58,87 m²;1;No trimestre, o Fundo virou proprietário de 14 unidades habitacionais do empreendimento Way Parque das Nações.;0.0714285714285714;Venda
16.915.968/0001-88;2019-03-29;1;Way Parque das Nações Apto. 103;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;58,87 m²;1;No trimestre, o Fundo virou proprietário de 14 unidades habitacionais do empreendimento Way Parque das Nações.;0.0714285714285714;Venda
16.915.968/0001-88;2019-03-29;1;Way Parque das Nações Apto. 113;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;58,87 m²;1;No trimestre, o Fundo virou proprietário de 14 unidades habitacionais do empreendimento Way Parque das Nações.;0.0714285714285714;Venda
16.915.968/0001-88;2019-03-29;1;Way Parque das Nações Apto. 163;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;58,87 m²;1;No trimestre, o Fundo virou proprietário de 14 unidades habitacionais do empreendimento Way Parque das Nações.;0.0714285714285714;Venda
16.915.968/0001-88;2019-03-29;1;Way Parque das Nações Apto. 171;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;58,87 m²;1;No trimestre, o Fundo virou proprietário de 14 unidades habitacionais do empreendimento Way Parque das Nações.;0.0714285714285714;Venda
16.915.968/0001-88;2019-03-29;1;Way Parque das Nações Apto. 172;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;58,87 m²;1;No trimestre, o Fundo virou proprietário de 14 unidades habitacionais do empreendimento Way Parque das Nações.;0.0714285714285714;Venda
16.915.968/0001-88;2019-03-29;1;Way Parque das Nações Apto. 173;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;58,87 m²;1;No trimestre, o Fundo virou proprietário de 14 unidades habitacionais do empreendimento Way Parque das Nações.;0.0714285714285714;Venda
16.924.913/0001-34;2019-03-31;1;Edifício V House;Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP;;14;Unidades do imóvel adquiridas pelo Fundo como dação em pagamento de parte de redução de capital da Companhia Investida VRE D2 S.A;0.102;Renda
17.209.378/0001-00;2019-06-30;1;501 - TORRE A;Praça Julio Mesquita  97 - SP;48;1;Imóvel Residencial;0.000684347142657758;Venda
17.209.378/0001-00;2019-06-30;1;1810;Rua Santa Isabel 272 - SP;88.55;1;Imóvel Residencial;0.00249429332905637;Venda
17.209.378/0001-00;2019-06-30;1;1403;Rua Santa Isabel 272 - SP;39.81;1;Imóvel Residencial;0.00181883804572604;Venda
17.209.378/0001-00;2019-06-30;1;1602;Rua Santa Isabel 272 - SP;52.28;1;Imóvel Residencial;0.00252349072862789;Venda
17.554.274/0001-25;2019-09-30;1;Minas Shop;Av. Cristiano Machado, 4000 - União - Belo horizonte - MG;69514;1;Está localizado na região metropolitana de Minas Gerais;0.87;Renda
17.554.274/0001-25;2019-09-30;1;Shopping Granja Vianna;Rodovia Raposo Tavares, 23.500 - Lageadinho, Cotia-SP;88951.96;1;Está localizado na região metropolitana de Minas Gerais;0.365;Renda
17.554.274/0001-25;2019-12-31;1;Prudenshopping;Av. Manoel Goulart, 2400 - Jardim das Rosas - Presidente Prudente - SP;32216;174;Aréa total construida 74.224 m²;0.219;Renda
17.554.274/0001-25;2019-12-31;1;Shopping Center Iguatemi Florianópolis;Av. Madre Benvenuta, 687 - Santa Mônica, Trindade - Florianópolis - SC;21196.28;157;Aréa total construida 28.840 m²;0.087;Renda
