CNPJ_Fundo;Data_Referencia;Versao;Classe;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Vacancia;Percentual_Inadimplencia;Percentual_Receitas_FII;Percentual_Locado;Percentual_Vendido;Percentual_Conclusao_Obras_Realizado;Percentual_Conclusao_Obras_Previsto;Custo_Construcao_Realizado;Custo_Construcao_Previsto;Percentual_Imovel_Total_Investido
00.332.266/0001-31;2019-03-31;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57239;238;Shopping Center;0.052953;0.038;0.992775;;;;;;;
00.332.266/0001-31;2019-06-30;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57239;238;Shopping Center;0.0552344823100439;0.0309;0.984792;;;;;;;
00.332.266/0001-31;2019-09-30;3;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57239;238;Shopping Center;0.021;0.091;0.986518;;;;;;;
00.332.266/0001-31;2019-12-31;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57017;207;Shopping Center;0.036473;0.07;0.989502;;;;;;;
00.762.723/0001-28;2019-03-31;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;34285.43;1;Imóvel Comercial;0.086;0;0.9951;;;;;;;
00.762.723/0001-28;2019-06-30;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;34285.43;1;Imóvel Comercial;0.0968;0;0.9905;;;;;;;
00.762.723/0001-28;2019-09-30;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;34285.43;1;Imóvel Comercial;0.086;0.001791;0.996241;;;;;;;
00.762.723/0001-28;2019-12-31;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;45450;1;Imóvel Comercial;0.0954;0;0.996128;;;;;;;
00.868.235/0001-08;2019-03-31;1;Imóveis para renda acabados;ABS;Avenida Soledade, 569 - Porto Alegre/RS;10061;93;Duas torres de conjutos comerciais, mall e estacionamento;0.1985;0.054987;0.771062;;;;;;;
00.868.235/0001-08;2019-03-31;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.220929;;;;;;;
00.868.235/0001-08;2019-06-30;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.18909;;;;;;;
00.868.235/0001-08;2019-06-30;1;Imóveis para renda acabados;ABS;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.18909;0.050518;0.804614;;;;;;;
00.868.235/0001-08;2019-09-30;1;Imóveis para renda acabados;ABS;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.188;0.069485;0.815904;;;;;;;
00.868.235/0001-08;2019-09-30;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.182286;;;;;;;
00.868.235/0001-08;2019-12-31;1;Imóveis para renda acabados;ABS;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.188;0.0505183746265282;0.762788621589439;;;;;;;
00.868.235/0001-08;2019-12-31;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.23411779218727;;;;;;;
01.201.140/0001-90;2019-03-31;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69628;296;Shopping Center;0.012;0.09638;0.993478;;;;;;;
01.201.140/0001-90;2019-06-30;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69628;296;Shopping Center;0.013;0.09638;0.993478;;;;;;;
01.201.140/0001-90;2019-09-30;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69628;296;Shopping Center;0.009;0.014;0.993752;;;;;;;
01.201.140/0001-90;2019-12-31;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69628;296;Shopping Center;0.009;0.014;0.994537;;;;;;;
01.235.622/0001-61;2019-03-29;3;Imóveis para renda acabados;Golden Corporate;Rua Buenos Aires nº48, centro, Rio de Janeiro;2887;7;Lajes Corporativas;0.444059577416003;0;0.0461629114767506;;;;;;;
01.235.622/0001-61;2019-03-29;3;Imóveis para renda acabados;Uruguaiana, 78;Rua Uruguaiana nº 78, centro, Rio de Janeiro;645.79;1;Loja;0;0;0.00779729568570643;;;;;;;
01.235.622/0001-61;2019-03-29;3;Imóveis para renda acabados;Av. Mem de Sá;Av. Mem de Sá, 102, Centro, Rio de Janeiro.;800;1;Loja;1;0;0;;;;;;;
01.235.622/0001-61;2019-03-29;3;Imóveis para renda acabados;Esquina 98;Rua Miguel Couto, 98;3583.39;1;Prédio;1;0;0;;;;;;;
01.235.622/0001-61;2019-03-29;3;Imóveis para renda acabados;São Pedro da Aldeia;Rodovia Amaral Peixoto, Km 107, Quadra 20, Lote 9, S/n - Balneario São Pedro, São Pedro da Aldeia;3581.88;1;Prédio;1;0;0.0127606504013795;;;;;;;
01.235.622/0001-61;2019-03-29;3;Imóveis para renda acabados;Citta America;Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro;21463;12;Lojas;0.881749988352048;0;0.14836990686319;;;;;;;
01.235.622/0001-61;2019-03-29;3;Imóveis para renda acabados;AV. Brasil, 20384;Av. Brasil, 20384, Rio de Janeiro.;6500;1;Galpão;1;0;0;;;;;;;
01.235.622/0001-61;2019-03-29;3;Imóveis para renda acabados;Barão de Mesquita;Barão de Mesquita nº164, Rio de Janeiro;2.42;1;Colégio São José;0;0;0.0167535821937399;;;;;;;
