CNPJ_Fundo;Data_Referencia;Versao;Mes_Referencia;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Auferida_Ausencia_Garantia
01.235.622/0001-61;2019-03-29;3;Outubro 2018;0.0061;0.0061
01.235.622/0001-61;2019-03-29;3;Novembro 2018;0.0052;0.0052
01.235.622/0001-61;2019-03-29;3;Dezembro 2018;-0.009;-0.009
01.235.622/0001-61;2019-06-28;3;Abril 2019;0.0061;0.0061
01.235.622/0001-61;2019-06-28;3;Maio 2019;0.0052;0.0052
01.235.622/0001-61;2019-06-28;3;Junho 2019;-0.009;-0.009
01.235.622/0001-61;2019-09-30;2;Julho 2019;-0.0256;-0.0256
01.235.622/0001-61;2019-09-30;2;Agosto 2019;0.0033;0.0033
01.235.622/0001-61;2019-09-30;2;Setembro 2019;0.0034;0.0034
01.235.622/0001-61;2019-12-31;2;Outubro 2019;0.0054;0.0054
01.235.622/0001-61;2019-12-31;2;Novembro 2019;-0.0543;-0.0543
01.235.622/0001-61;2019-12-31;2;Dezembro 2019;0.0216;0.0216
01.497.954/0001-14;2019-03-31;1;03/2019;0.001592;
01.636.325/0001-28;2019-03-31;1;03/2019;0.009234;0.009234
01.636.325/0001-28;2019-06-30;1;06/2019;0.006207;0.006207
01.636.325/0001-28;2019-09-30;1;09/2019;0.004722;0.004722
01.636.325/0001-28;2019-12-31;1;12/2019;0.008883;0.008883
01.657.856/0001-05;2019-03-31;1;03/2019;0.005203;0.005203
01.657.856/0001-05;2019-06-30;1;06/2019;0.006002;0.006002
01.657.856/0001-05;2019-09-30;1;09/2019;0.005997;0.005997
01.657.856/0001-05;2019-12-31;1;12/2019;0.003434;0.003434
03.507.519/0001-59;2019-06-30;1;06/2019;0.00488;0.00488
03.507.519/0001-59;2019-09-30;1;09/2019;0.005206;0.005206
03.683.056/0001-86;2019-12-31;1;Dezembro;0.001971;0.001971
03.683.056/0001-86;2019-12-31;1;Novembro;0.156042;0.156042
03.683.056/0001-86;2019-12-31;1;Outrubro;0.00599;0.00599
04.141.645/0001-03;2019-03-31;1;03/2019;0.00501;0.00501
04.141.645/0001-03;2019-06-30;1;06/2019;0.005705;0.005705
04.141.645/0001-03;2019-09-30;1;09/2019;0.005365;0.005365
04.141.645/0001-03;2019-12-31;1;12/2019;0.004738;0.004738
07.583.627/0001-61;2019-03-31;1;Não Aplicavel;0;0
07.583.627/0001-61;2019-06-30;1;Não Aplicavel;0;0
07.583.627/0001-61;2019-09-30;1;Não Aplicavel;0;0
07.583.627/0001-61;2019-12-31;1;Não Aplicavel;0;0
08.417.532/0001-30;2019-03-31;1;03/2019;0.007749;
08.696.175/0001-97;2019-09-30;2;09/2019;0.006413;
08.696.175/0001-97;2019-12-31;1;09/2019;0.011573;
11.268.335/0001-01;2019-03-29;1;01/2019;0.01501;0.01501
11.268.335/0001-01;2019-03-29;1;02/2019;0.001573;0.001573
11.268.335/0001-01;2019-03-29;1;03/2019;0.001722;0.001722
11.268.335/0001-01;2019-06-28;1;04/2019;0.001225;0.001225
11.268.335/0001-01;2019-06-28;1;05/2019;0.000681;0.000681
11.268.335/0001-01;2019-06-28;1;06/2019;0.001506;0.001506
11.268.335/0001-01;2019-09-30;1;07/2019;0.016487;0.016487
