CNPJ_Fundo;Data_Referencia;Versao;Endereco;Data_Alienacao;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
11.326.746/0001-06;2020-12-31;1;Rua Vergueiro, 5.002 - Chacara Klabin - São Paulo/SP;2020-10-09;8580;O terreno em questão está localizado no limite da Chácara Klabin em uma via conceituada no cenário regional para uso residencial e de serviços, a Rua Vergueiro, com facilidades de acesso para vários bairros de São Paulo. Além disso, possui outra importante via de grande importância no cenário da região, a Ricardo Jafet, que liga a Rodovia Imigrantes ao bairro do Ipiranga, permitindo um deslocamento rápido a outras regiões de São Paulo e também para a baixada santista.;0.251335;0.177114
12.358.507/0001-09;2020-06-30;1;Gleba Santa Cruz  Mat 7187 - Maracaju - MS;2020-06-15;3e+006;;0.48;0.001
12.358.507/0001-09;2020-12-31;2;Maracajaú - RN;2020-11-16;470;Fazenda Santa Cruz. Parte;0.01;0.01
13.598.226/0001-88;2020-09-30;1;RUA MANOEL DE SOVERAL, Nº 136;2020-07-14;1913.75;prédio comercial;0;0
13.598.226/0001-88;2020-09-30;1;RUA VOLUNTÁRIOS DA PÁTRIA S/N;2020-07-14;1925.11;prédio comercial;0;0
13.598.226/0001-88;2020-12-31;1;RUA MANOEL DE SOVERAL, Nº 136;2020-07-14;1913.75;prédio comercial;0;0
13.598.226/0001-88;2020-12-31;1;RUA VOLUNTÁRIOS DA PÁTRIA S/N;2020-07-14;1925.11;prédio comercial;0;0
23.964.908/0001-10;2020-06-30;1;Terreno - Praça São Sebastião, 411 , Centro Presidente Dutra - MA;1901-04-28;484;N/A;0.0132987565662611;0.000940918717086018
26.502.761/0001-35;2020-09-30;1;RUA 3, S/N BRAGANÇA PAULISTA, SÃO PAULO - SP;2020-08-20;3370;Lote 01;1;0.02861
26.502.761/0001-35;2020-09-30;1;RUA 3, S/N BRAGANÇA PAULISTA, SÃO PAULO - SP;2020-08-20;3370;Lote 08;1;0.02861
