CNPJ_Fundo;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
01.235.622/0001-61;2020-09-30;2;Rua Lineu de Paula Machado, 708 - RJ;249.84;Prédio;0.006176;0.001806
01.235.622/0001-61;2020-12-31;1;Rua Lineu de Paula Machado, 696/ Rua José Joaquim Seabra, 22- RJ;398.82;Prédio;0.043029;9.4E-05
11.728.688/0001-47;2020-12-31;1;Rodovia BR 101, 5225, Cabo de Santo Agostinho - PE;17901;-;0.001275;0.001077
11.728.688/0001-47;2020-12-31;1;Rodovia Fernão Dias, Km 937, Extrema - MG;1.29365e+006;-;0.019208;0.016228
13.726.079/0001-84;2020-06-30;1;AV DONA BELMIRA MARIN;2450;1 CASA E 1 TERRENO - MATRICULA 23.208;0.0089;0.0122
15.489.509/0001-17;2020-03-31;1;Frente para Rua Americo Lobo, Juiz de Fora - MG (Matrícula 80.195);16891.1;Gleca C;0;0
15.489.509/0001-17;2020-03-31;1;Avenida José Ananias de Aguiar, São Geraldo - ARAXÁ-MG (Matrícula 64.265);14556.4;vide escritura;0;0
15.489.509/0001-17;2020-06-30;1;Frente para Rua Americo Lobo, Juiz de Fora - MG (Matrícula 80.195);16891.1;Gleca C;0;0
15.489.509/0001-17;2020-06-30;1;Avenida José Ananias de Aguiar, São Geraldo - ARAXÁ-MG (Matrícula 64.265);14556.4;vide escritura;0;0
16.915.968/0001-88;2020-03-31;1;Av. Corifeu de Azevedo Marques, 3870, Butantã, São Paulo-SP;3693;O imóvel foi adquirido por escritura de compra e venda, não há onus reais sobre o imóvel;1;0.0216030315580356
17.655.102/0001-48;2020-06-30;1;Rodovia Washigton Luiz, n° 13901 e 14005-A, Chácara Rio Petrópolis, Duque de Caxias - Rio de Janeiro/RJ;19030;Unificação de lotes urbanos, destinados a venda;1;0.013764
18.950.957/0001-64;2020-06-30;1;Avenida Maragogi s/n., no Município de Alta Floresta/MT, CEP 78580-000;29253.2;Terreno;0.0259;0.0059
23.964.843/0001-03;2020-06-30;1;Dr. João Neves Neto, Jd. Guedala /SP;3244;Direito de propriedade;0.192117;0.101781
23.964.843/0001-03;2020-06-30;1;Rua do Estilo Barroco 623-665, Chácara Santo Antônio/SP;3019.23;Direito de propriedade;0.575472;0.304877
23.964.843/0001-03;2020-06-30;1;Rua Andrea Paulinetti 241-251, Brooklin/SP;956.25;Direito de propriedade;0.186853;0.098992
23.964.843/0001-03;2020-06-30;1;Rua Pássaros e Flores,  bairro Jardim das Acácias, Brooklin/SP;1497.37;Direito de propriedade;0.045558;0.021436
23.964.843/0001-03;2020-09-30;1;Terreno Tumiaru, situado em rua Homônima;3306.1;Direito de propriedade;0.20816;0.110268
23.964.843/0001-03;2020-09-30;1;Rua Senador Pádua Sales,  Pacaembu-SP;839;Direito de propriedade;0.051832;0.027457
23.964.843/0001-03;2020-09-30;1;Andrade Fernandes, em Alto de Pinheiros;913.68;Direito de propriedade;0.139856;0.074086
23.964.843/0001-03;2020-12-31;1;Terreno Tumiaru, situado em rua Homônima;3306.1;Direito de propriedade;0.20816;0.110268
