CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Principais_Caracteristicas;Valor
03.855.441/0001-63;2020-03-31;1;Vitória;Arrend Mercantil Financeiro;615980936.48
03.855.441/0001-63;2020-03-31;1;Santos;Arrend Mercantil Financeiro;552323722.09
03.855.441/0001-63;2020-06-30;1;Vitória;Arrend Mercantil Financeiro;630820357.33
03.855.441/0001-63;2020-06-30;1;Santos;Arrend Mercantil Financeiro;559349216.05
03.855.441/0001-63;2020-06-30;1;Laboratório de Fluidos;Arrend Mercantil Financeiro;104154353.92
03.855.441/0001-63;2020-09-30;1;Vitória;Arrend Mercantil Financeiro;362225060.69
03.855.441/0001-63;2020-09-30;1;Santos;Arrend Mercantil Financeiro;574909921.38
03.855.441/0001-63;2020-09-30;1;Laboratório de Fluidos;Arrend Mercantil Financeiro;117389036.8
03.855.441/0001-63;2020-12-31;1;Vitória;Arrend Mercantil Financeiro;183929261.3
03.855.441/0001-63;2020-12-31;1;Santos;Arrend Mercantil Financeiro;495754595.76
03.855.441/0001-63;2020-12-31;1;Laboratório de Fluidos;Arrend Mercantil Financeiro;96327998.71
08.417.532/0001-30;2020-03-31;1;Bapon;Arrendamento Mercantil Financeiro;219600844.88
08.417.532/0001-30;2020-03-31;1;Basul;Arrendamento Mercantil Financeiro;214810681.61
08.417.532/0001-30;2020-06-30;1;Bapon;Arrendamento Mercantil Financeiro;222756288.55
08.417.532/0001-30;2020-06-30;1;Basul;Arrendamento Mercantil Financeiro;223661870.39
08.417.532/0001-30;2020-09-30;1;Bapon;Arrendamento Mercantil Financeiro;228886033.24
08.417.532/0001-30;2020-09-30;1;Basul;Arrendamento Mercantil Financeiro;235777298.38
08.417.532/0001-30;2020-12-31;1;Bapon;Arrendamento Mercantil Financeiro;239249607.64
08.417.532/0001-30;2020-12-31;1;Basul;Arrendamento Mercantil Financeiro;252972924.46
09.150.967/0001-24;2020-03-31;1;N/A;N/A;0
11.945.604/0001-27;2020-12-31;1;UNIDADE 121 - PASSOS DO PARQUE;UNIDADE LOCALIZADA NO EMPREENDIMENTO PASSOS DO PARQUE  - TATUAPÉ - SP;289306.57
11.945.604/0001-27;2020-12-31;1;UNIDADE 126 - PASSOS DO PARQUE;UNIDADE LOCALIZADA NO EMPREENDIMENTO PASSOS DO PARQUE  - TATUAPÉ - SP;289306.57
11.945.604/0001-27;2020-12-31;1;UNIDADE 141 - PASSOS DO PARQUE;UNIDADE LOCALIZADA NO EMPREENDIMENTO PASSOS DO PARQUE  - TATUAPÉ - SP;289306.57
13.568.181/0001-07;2020-03-31;1;Estanteria Pouso Alegre;benfeitorias em imóvel de terceiros;565309.82
13.584.584/0001-31;2020-03-31;2;Cemitério Morumby (adquiridos em 12/07/2017);131 Jazigos;1703000
13.584.584/0001-31;2020-03-31;2;Cemitério Morumby (adquiridos em 10/08/2018);973 Jazigos;14616500
13.584.584/0001-31;2020-03-31;2;Cemitério Morumby (adquiridos em 01 e 02/2019);1799 Jazigos;28604100
13.584.584/0001-31;2020-03-31;2;Cemitério Terra Santa ( adquiridos em 07, 08, 09 e 11/2017);2900 Jazigos;14500000
13.584.584/0001-31;2020-06-30;1;Cemitério Morumby;131 Jazigos;1703000
13.584.584/0001-31;2020-06-30;1;Cemitério Terra Santa;943 Jazigos;14616500
13.584.584/0001-31;2020-06-30;1;Cemitério Terra Santa;2000 Jazigos;10000000
13.584.584/0001-31;2020-09-30;1;Cemitério Morumby (adquiridos em 12/07/2017);131 Jazigos;1703000
13.584.584/0001-31;2020-09-30;1;Cemitério Morumby (adquiridos em 10/08/2018);973 Jazigos;14616500
13.584.584/0001-31;2020-09-30;1;Cemitério Morumby (adquiridos em 01 e 02/2019);1799 Jazigos;28604100
13.584.584/0001-31;2020-09-30;1;Cemitério Terra Santa (adquiridos em 07, 08, 09 e 11/2017);2900 Jazigos;14500000
13.584.584/0001-31;2020-12-31;1;Cemitério Morumby (adquiridos em 12/07/2017);131 Jazigos;1703000
13.584.584/0001-31;2020-12-31;1;Cemitério Morumby (adquiridos em 10/08/2018);973 Jazigos;14616500
13.584.584/0001-31;2020-12-31;1;Cemitério Morumby (adquiridos em 01 e 02/2019);1799 Jazigos;28604100
13.584.584/0001-31;2020-12-31;1;Cemitério Terra Santa (adquiridos em 07, 08, 09 e 11/2017);2900 Jazigos;14500000
14.423.780/0001-97;2020-03-31;1;Dir. Real Sol-Fran;Direito aquisitivo sobre 19 unidades residenciais, hipotecadas para garantia do financiamento da SPE desenvolvedora do projeto.;105718.63
14.423.780/0001-97;2020-03-31;1;Dir. Real Tiner Comp;Direito aquisitivo sobre 57 unidades residenciais, hipotecadas para garantia do financiamento da SPE incorporadora;12349023.32
