CNPJ_Fundo;Data_Referencia;Versao;Nome_Endereco_Imovel;Caracteristicas_Contratuais
00.332.266/0001-31;2020-03-31;1;Via Parque Shopping;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.
00.332.266/0001-31;2020-06-30;1;Via Parque Shopping;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.
00.332.266/0001-31;2020-09-30;2;Via Parque Shopping;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.
00.332.266/0001-31;2020-12-31;1;Via Parque Shopping;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.
00.762.723/0001-28;2020-03-31;1;CTI;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.
00.762.723/0001-28;2020-06-30;1;CTI;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.
00.762.723/0001-28;2020-09-30;1;CTI;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.
00.762.723/0001-28;2020-12-31;1;CTI;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.
00.868.235/0001-08;2020-03-31;1;Hotel;Contrato de arrendamento com a Accor
00.868.235/0001-08;2020-03-31;1;ABS;Contratos majoritriamente corrigidos pelo IGP-M e com prazo de 5 anos
00.868.235/0001-08;2020-06-30;1;Hotel;Contrato de arrendamento com a Accor
00.868.235/0001-08;2020-06-30;1;ABS;Contratos majoritriamente corrigidos pelo IGP-M e com prazo de 5 anos
00.868.235/0001-08;2020-09-30;1;Hotel;Contrato de arrendamento com a Accor
00.868.235/0001-08;2020-09-30;1;ABS;Contratos majoritriamente corrigidos pelo IGP-M e com prazo de 5 anos
00.868.235/0001-08;2020-12-31;1;Hotel;Contrato de arrendamento com a Accor
00.868.235/0001-08;2020-12-31;1;ABS;Contratos majoritriamente corrigidos pelo IGP-M e com prazo de 5 anos
01.201.140/0001-90;2020-03-31;1;Grand Plaza Shopping;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.
01.201.140/0001-90;2020-06-30;1;Grand Plaza Shopping;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.
01.201.140/0001-90;2020-09-30;1;Grand Plaza Shopping;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.
