CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Setor_Atuacao;Percentual_Receita_Imovel;Percentual_Receitas_FII
00.332.266/0001-31;2020-03-31;1;Via Parque Shopping;Comércio;0.482529;0.478158
00.332.266/0001-31;2020-03-31;1;Via Parque Shopping;Serviço;0.517471;0.512783
00.332.266/0001-31;2020-06-30;1;Via Parque Shopping;Comércio;0.579744;0.566991
00.332.266/0001-31;2020-06-30;1;Via Parque Shopping;Serviço;0.420256;0.411015
00.332.266/0001-31;2020-09-30;2;Via Parque Shopping;Comércio;0.653716;0.623997
00.332.266/0001-31;2020-09-30;2;Via Parque Shopping;Serviço;0.346284;0.330541
00.332.266/0001-31;2020-12-31;1;Via Parque Shopping;Comércio;0.627755;0.616759
00.332.266/0001-31;2020-12-31;1;Via Parque Shopping;Serviço;0.372225;0.365694
00.762.723/0001-28;2020-03-31;1;CTI;Serviço;0.953635;0.950482
00.762.723/0001-28;2020-03-31;1;CTI;Comércio;0.046365;0.046211
00.762.723/0001-28;2020-06-30;1;CTI;Serviço;0.953635;0.951072
00.762.723/0001-28;2020-06-30;1;CTI;Comércio;0.046365;0.04624
00.762.723/0001-28;2020-09-30;1;CTI;Serviço;0.953635;0.952299
00.762.723/0001-28;2020-09-30;1;CTI;Comércio;0.046365;0.0463
00.762.723/0001-28;2020-12-31;1;CTI;Serviço;0;0.997651
00.868.235/0001-08;2020-03-31;1;Hotel;Serviço;1;0.163912
00.868.235/0001-08;2020-03-31;1;ABS;Serviço;0.718673;0.599661
00.868.235/0001-08;2020-03-31;1;ABS;Comércio;0.281327;0.234739
00.868.235/0001-08;2020-06-30;1;Hotel;Serviço;1;0.163468
00.868.235/0001-08;2020-06-30;1;ABS;Serviço;0.718673;0.599661
00.868.235/0001-08;2020-06-30;1;ABS;Comércio;0.281327;0.234739
00.868.235/0001-08;2020-09-30;1;Hotel;Serviço;1;0.125745
00.868.235/0001-08;2020-09-30;1;ABS;Serviço;0.739203;0.644983
00.868.235/0001-08;2020-09-30;1;ABS;Comércio;0.260797;0.227556
00.868.235/0001-08;2020-12-31;1;Hotel;Serviço;1;0.069402
00.868.235/0001-08;2020-12-31;1;ABS;Serviço;0.765876;0.762955
00.868.235/0001-08;2020-12-31;1;ABS;Comércio;0.234124;0.233232
01.201.140/0001-90;2020-03-31;1;Grand Plaza Shopping;Comércio;0.830315;0.825779
01.201.140/0001-90;2020-03-31;1;Grand Plaza Shopping;Serviço;0.169685;0.168758
01.201.140/0001-90;2020-06-30;1;Grand Plaza Shopping;Comércio;0.830315;0.827868
01.201.140/0001-90;2020-06-30;1;Grand Plaza Shopping;Serviço;0.169685;0.169185
01.201.140/0001-90;2020-09-30;1;Grand Plaza Shopping;Comércio;0.777183;0.774636
01.201.140/0001-90;2020-09-30;1;Grand Plaza Shopping;Serviço;0.222817;0.222087
01.201.140/0001-90;2020-12-31;1;Grand Plaza Shopping;Comércio;0.83857;0.835811
01.201.140/0001-90;2020-12-31;1;Grand Plaza Shopping;Serviço;0.16143;0.160899
01.235.622/0001-61;2020-03-31;1;AV. Brasil, 20384;N/A;0;0
01.235.622/0001-61;2020-03-31;1;Av. Mem de Sá;N/A;0;0
01.235.622/0001-61;2020-03-31;1;Barão de Mesquita;ENSINO;1;0.0168
01.235.622/0001-61;2020-03-31;1;Cardeal Leme;ADVOCACIA;0.099;0.008
01.235.622/0001-61;2020-03-31;1;Cardeal Leme;COMERCIO;0.145;0.011
01.235.622/0001-61;2020-03-31;1;Cardeal Leme;CONSULTORIA;0.09;0.007
01.235.622/0001-61;2020-03-31;1;Cardeal Leme;CONTABILIDADE;0.166;0.013
01.235.622/0001-61;2020-03-31;1;Cardeal Leme;DISPONÍVEL;0;0
01.235.622/0001-61;2020-03-31;1;Cardeal Leme;ENSINO;0.087;0.007
01.235.622/0001-61;2020-03-31;1;Cardeal Leme;FINANCEIRO;0.089;0.007
01.235.622/0001-61;2020-03-31;1;Cardeal Leme;LOGISTICA;0.049;0.004
01.235.622/0001-61;2020-03-31;1;Cardeal Leme;TELECOMUNICAÇÃO;0.047;0.004
01.235.622/0001-61;2020-03-31;1;Cardeal Leme;TI;0.228;0.018
01.235.622/0001-61;2020-03-31;1;Carioca;COMÉRCIO;1;0.0214
01.235.622/0001-61;2020-03-31;1;CESBOM;ENSINO;1;0.00072
01.235.622/0001-61;2020-03-31;1;Citta America;ACADEMIA;0.963;0.168
01.235.622/0001-61;2020-03-31;1;Citta America;COMERCIO;0.02;0.003
01.235.622/0001-61;2020-03-31;1;Citta America;DISPONÍVEL;0;0
01.235.622/0001-61;2020-03-31;1;Citta America;ENSINO;0;0
01.235.622/0001-61;2020-03-31;1;Citta America;SERVIÇOS;0.017;0.003
01.235.622/0001-61;2020-03-31;1;Citta Office;MIDIA;0.01;0.00066
01.235.622/0001-61;2020-03-31;1;Conde de Bonfim,149;N/A;0;0
01.235.622/0001-61;2020-03-31;1;Dom Gerado 46;COMERCIO;0.059;0.003
01.235.622/0001-61;2020-03-31;1;Dom Gerado 46;DISPONÍVEL;0;0
01.235.622/0001-61;2020-03-31;1;Dom Gerado 46;ENGENHARIA;0.191;0.01
01.235.622/0001-61;2020-03-31;1;Dom Gerado 46;GOVERNO;0.439;0.023
01.235.622/0001-61;2020-03-31;1;Dom Gerado 46;LOGISTICA;0;0
01.235.622/0001-61;2020-03-31;1;Dom Gerado 46;SERVIÇOS;0.311;0.016
01.235.622/0001-61;2020-03-31;1;Golden Corporate;AUDITORIA;0.287;0.017
01.235.622/0001-61;2020-03-31;1;Golden Corporate;CONSULTORIA;0.123;0.007
01.235.622/0001-61;2020-03-31;1;Golden Corporate;DISPONÍVEL;0;0
01.235.622/0001-61;2020-03-31;1;Golden Corporate;ENGENHARIA;0.292;0.017
01.235.622/0001-61;2020-03-31;1;Golden Corporate;SEGUROS;0.298;0.018
01.235.622/0001-61;2020-03-31;1;Largo de Santa Rita;N/A;0;0
01.235.622/0001-61;2020-03-31;1;Marechal Camara;TI;0.01;0.00022
01.235.622/0001-61;2020-03-31;1;Presidente Antonio Carlos;DISPONÍVEL;0;0
01.235.622/0001-61;2020-03-31;1;Presidente Antonio Carlos;FINANCEIRO;1;0.004
01.235.622/0001-61;2020-03-31;1;Primeiro de Março;N/A;0;0
01.235.622/0001-61;2020-03-31;1;Rio Branco 45;ADVOCACIA;0;0
01.235.622/0001-61;2020-03-31;1;Rio Branco 45;DISPONÍVEL;0;0
01.235.622/0001-61;2020-03-31;1;Senhor dos Passos 107;COMÉRCIO;0.01;5E-05
01.235.622/0001-61;2020-03-31;1;Sete de Setembro;COMÉRCIO;0;0
01.235.622/0001-61;2020-03-31;1;Teofilo Otoni 24;N/A;0;0
01.235.622/0001-61;2020-03-31;1;Travessa do Ouvidor;COMÉRCIO;0.01;0.00012
01.235.622/0001-61;2020-03-31;1;Uruguaiana, 76;COMÉRCIO;0.01;7.2E-05
01.235.622/0001-61;2020-03-31;1;Uruguaiana, 78;COMÉRCIO;0.01;0.00012
01.235.622/0001-61;2020-03-31;1;Visconde de Inhauma;HOTELARIA;0.01;0.00159
01.235.622/0001-61;2020-03-31;1;Metropolitan;HOSPITALAR;0.01;0.00212
01.235.622/0001-61;2020-03-31;1;Orbit;ESTACIONAMENTO;0.01;6E-05
01.235.622/0001-61;2020-03-31;1;Dom Gerardo 40/42;N/A;0;0
01.235.622/0001-61;2020-03-31;1;São Pedro da Aldeia;ÁGUA E ESGOTO;0.01;0.00017
