CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Data_Alienacao;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Percentual_Imovel_PL
03.683.056/0001-86;2022-12-31;1;EDIFÍCIO BRAVO! PAULISTA;Alameda Santos, 1.800 - Jardins;2022-12-15;359;1;N/A;0.010616;0.011838
08.417.532/0001-30;2022-03-31;1;Posto de Combustível;Rod SC-407, nº 250 Biguaçu/ Santa Catarina;2022-01-13;4800;1;Imóvel Comercial;0.004411;0.003599
08.706.065/0001-69;2022-06-30;1;Meliá Jardim Europa -  unidade 609;Rua João Cachoeira 111,  São Paulo, SP, 04535-010;2022-06-13;33.6;1;Direito de Propriedade;0.00350264359068;0.0035170840056
08.706.065/0001-69;2022-06-30;1;Meliá Jardim Europa -  unidade 1206;Rua João Cachoeira 111,  São Paulo, SP, 04535-010;2022-04-12;33.6;1;Direito de Propriedade;0.00307800424362;0.00308913821779
08.706.065/0001-69;2022-06-30;1;Ibis Budget Paulista -  unidade 706;Rua da Consolação 2303, São Paulo, SP, 01301-100;2022-05-27;13.72;1;Direito de Propriedade;0.00208436232235;0.00209193872002
08.706.065/0001-69;2022-06-30;1;Ibis Budget Paulista -  unidade 1303;Rua da Consolação 2303, São Paulo, SP, 01301-100;2022-05-24;13.72;1;Direito de Propriedade;0.00190044799979;0.00190735589178
08.706.065/0001-69;2022-06-30;1;Ibis Budget Paulista -  unidade 1514;Rua da Consolação 2303, São Paulo, SP, 01301-100;2022-05-24;13.72;1;Direito de Propriedade;0.00190044799979;0.00190735589178
08.706.065/0001-69;2022-06-30;1;Ibis Budget Paulista -  unidade 1608;Rua da Consolação 2303, São Paulo, SP, 01301-100;2022-05-27;13.72;1;Direito de Propriedade;0.00208436232235;0.00209193872002
08.706.065/0001-69;2022-06-30;1;Ibis Budget Paulista -  unidade 1818;Rua da Consolação 2303, São Paulo, SP, 01301-100;2022-05-24;13.72;1;Direito de Propriedade;0.00190044799979;0.00190735589178
08.706.065/0001-69;2022-12-31;2;Double Tree by Hilton Sao Paulo Itaim;Rua Manuel Guedes, 320, Sem Complemento, Jardim Europa, Sao Paulo/SP, Brasil, 04536-070;2022-11-27;28.9;1;Não possui características que destõem dos demais;0.002526;0.002567
08.706.065/0001-69;2022-12-31;2;Double Tree by Hilton Sao Paulo Itaim;Rua Manuel Guedes, 320, Sem Complemento, Jardim Europa, Sao Paulo/SP, Brasil, 04536-070;2022-11-07;28.9;1;Não possui características que destõem dos demais;0.002476;0.002517
10.347.985/0001-80;2022-12-30;1;Cidade Jardim Continental Tower;Av. Magalhães de Castro, 4.800 - São Paulo/SP;2022-10-31;5650.45;6;conjuntos 71, 72, 81, 82, 131 e 132;0.227934;0.282899
10.456.799/0001-89;2022-06-30;1;Condomínio Residencial Murano;Rua Eng. Ary de Abreu Lima, Jardim Europa, Porto Alegre-RS. Apto 1303 e boxes 60, 66 e 67.;2022-05-02;348.14;4;Nenhuma;0.261458;0.002055
10.456.799/0001-89;2022-09-30;1;Condomínio Residencial Murano;Rua Eng. Ary de Abreu Lima, Jardim Europa, Porto Alegre-RS. Apto 1103 e boxes 47, 59 e 62.;2022-08-05;345.54;4;Nenhuma;0.336388;0.002062
11.728.688/0001-47;2022-03-31;1;Lojas Americanas Uberlândia;BR-497, Km 1480, Uberlândia, MG;2022-03-15;89187;1;-;0.080761;0.080715
11.728.688/0001-47;2022-12-31;2;HGLG CONE G04;Rodovia BR 101, 5225, Cabo de Santo Agostinho, PE;2022-11-11;13019;1;-;0.0206664478117338;0.0214159287694
11.839.593/0001-09;2022-06-30;1;Galpao Industrial - Cerrati Vinhedo;Rodovia Engenheiro Miguel De Campos Melhado, 324, Sem Complemento, Cidade Singer, Campinas/SP, Brasil, 13053-090;2022-05-29;13852;1;Não há caracteristicas relevantes;0.03359625936394;4.01108049481873
11.839.593/0001-09;2022-06-30;1;Galpao Industrial - Magna Vinhedo;Rodovia Miguel Melhado Campos, 79.5, Sem Complemento, Distrito Industrial Benedito Storani, Vinhedo/SP, Brasil, 13288-003;2022-05-29;10440;1;Não há caracteristicas relevantes;0.01497182284852;1.78749621941722
12.804.013/0001-00;2022-09-30;1;Conjunto Comercial nº 301JB;Rodovia José Carlos Daux (SC 401), nº 5.500, Saco Grande, Florianópolis/SC;2022-09-23;95.04;1;Conjunto Comercial nº 301, localizado no 3º pavimento da Torre Jurerê B do "SC 401 SQUARE CORPORATE". Imóvel objeto da matrícula nº 160.471 do Livro nº 2 Registro Geral do Cartório do 2º Ofício do Registro de Imóveis do Estado de Santa Catarina. Inscrição imobiliária nº 38.83.047.0558.546-096.;1;0.005089
12.887.506/0001-43;2022-12-31;1;Itapevi;Avenida Portugal, 1046 - Itaqui - Itapevi/SP;2022-12-14;7165.6;1;Venda do imóvel aprovada por meio de Consulta Formal encerrada em 14/07/2022 com preço ajustado de R$ 10.000.000,00 (dez milhões de reais) a ser pago em 12 parcelas mensais e consecutivas.;0.2164;0.213
12.887.506/0001-43;2022-12-31;1;Macaé;Avenida Lauro Roberto Vasconcelos Fonseca Filho, 200 - Macaé/RJ;2022-12-22;5128.94;1;Venda do imóvel aprovada por meio de Consulta Formal encerrada em 31/10/2022 com preço ajustado de R$ 4.100.000,00 (quatro milhões e cem mil reais) a serem pagos à vista.;0.3427;0.2698
13.012.312/0001-67;2022-03-31;1;Pirelli;Rodovia Castelo Branco, km 93 - Sorocaba- SP;2021-11-11;14095;1;Baixa do imóvel pela amortização total do direito de uso de solo;0.3507;0.3507
13.012.312/0001-67;2022-06-30;1;Pirelli;Rodovia Castelo Branco, km 93 - Sorocaba- SP;2021-11-11;14095;1;Baixa do imóvel pela amortização total do direito de uso de solo;0.3507;0.3507
13.012.312/0001-67;2022-09-30;1;Pirelli;Rodovia Castelo Branco, km 93 - Sorocaba- SP;2021-11-11;14095;1;Baixa do imóvel pela amortização total do direito de uso de solo;0.3507;0.3507
13.012.312/0001-67;2022-12-31;1;Pirelli;Rodovia Castelo Branco, km 93 - Sorocaba- SP;2021-11-11;14095;1;Baixa do imóvel pela amortização total do direito de uso de solo;0.3507;0.3507
13.584.584/0001-31;2022-06-30;2;Edificação Comercial;Rua Voluntários de São Paulo, 3367 - Centro - São José do Rio Preto-SP;2022-05-12;3922.56;72;O empreendimento possui 90 unidades tipo apartamento. São 10 Lajes divididas em 9 apartamentos com diferentes metragens. Todas as unidades são destinadas exclusivamente à atividade comercial.;;
14.056.001/0001-62;2022-03-31;1;WALTER ALVES FILHO;ESTRADA DA BARRA 315 - APTO 302 - BL 02;2022-03-24;182;1;n/a;;
14.056.001/0001-62;2022-06-30;1;CARLOS ALEXANDRE BELO CASTILHO;ESTRADA DA BARRA 315 - APTO 301 - BL 02;2022-05-24;182;1;n/a;;
14.056.001/0001-62;2022-09-30;1;CARLOS ALEXANDRE BELO CASTILHO;ESTRADA DA BARRA 315 - APTO 301 - BL 02;2022-05-24;182;1;n/a;;
15.576.907/0001-70;2022-06-30;1;CEF - Inconfidência;Rua Curitiba, nº 888 - Belo Horizonte - MG;2022-06-30;2373.17;1;Imóvel para Renda - Agência Bancária;0.009863;0.008679
15.576.907/0001-70;2022-06-30;1;CEF - Industrial;Av. Com. Alex. Garcia, 1285 1389 - Uberlândia - MG;2022-06-30;552;1;Imóvel para Renda - Agência Bancária;0.002715;0.002389
15.576.907/0001-70;2022-12-31;2;CEF - Ferraz de Vasconcelos;R. Santos Dumont, 599 - Ferraz de Vasconcelos/SP;2022-10-20;954;1;Imóvel para Renda - Agência Bancária;0.003436;0.003205
17.554.274/0001-25;2022-12-31;2;Minas Shopping;Av. Cristiano Machado, 4000 - União - Belo horizonte - MG;2022-12-12;45860.92;239;Venda parcial do Minas Shopping;0.0536651059321647;0.069222492302831
18.497.672/0001-10;2022-03-31;1;Visage Sudoeste 803;Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás;;62.93;1;n/a;0.0074;
18.497.672/0001-10;2022-03-31;1;BPWR - BL5 APTO502;Ceará,Fortaleza,  Medusa - Porto das Dunas, Beach Park Wellness;;159;1;n/a;0.0217;
18.497.672/0001-10;2022-03-31;1;Visage Oeste 2201;Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás;;66.4;1;n/a;0.0096;
18.497.672/0001-10;2022-06-30;1;Visage Sudoeste 803;Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás;;62.93;1;n/a;0.0074;
18.497.672/0001-10;2022-06-30;1;BPWR - BL5 APTO502;Ceará,Fortaleza,  Medusa - Porto das Dunas, Beach Park Wellness;;159;1;n/a;0.0217;
18.497.672/0001-10;2022-06-30;1;Visage Oeste 2201;Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás;;66.4;1;n/a;0.0096;
18.497.672/0001-10;2022-09-30;1;Visage Sudoeste 803;Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás;;62.93;1;n/a;0.0074;
18.497.672/0001-10;2022-09-30;1;BPWR - BL5 APTO502;Ceará,Fortaleza,  Medusa - Porto das Dunas, Beach Park Wellness;;159;1;n/a;0.0217;
18.497.672/0001-10;2022-09-30;1;Visage Oeste 2201;Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás;;66.4;1;n/a;0.0096;
18.497.672/0001-10;2022-12-31;1;Visage Sudoeste 803;Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás;;62.93;1;n/a;0.0074;
18.497.672/0001-10;2022-12-31;1;BPWR - BL5 APTO502;Ceará,Fortaleza,  Medusa - Porto das Dunas, Beach Park Wellness;;159;1;n/a;0.0217;
18.497.672/0001-10;2022-12-31;1;Visage Oeste 2201;Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás;;66.4;1;n/a;0.0096;
18.497.672/0001-10;2022-12-31;1;BPWR - BL6 APTO301;Ceará,Fortaleza,  Medusa - Porto das Dunas, Beach Park Wellness;;121;1;n/a;0.0171;
18.497.672/0001-10;2022-12-31;1;Edifício Antares 301;Avenida F, nº 50-A, quadra K-6, Setor Oeste, Goiânia, Goiás;;166.35;1;n/a;0.0134;
19.722.048/0001-31;2022-03-31;1;138537;Alameda Franca 425;2022-03-31;206.58;1;Apartamento residencial pronto para venda;0.025;0.0203
19.722.048/0001-31;2022-03-31;1;140592;Alameda Joaquim Eugênio de Lima 1095;2022-02-07;105.47;1;Apartamento residencial pronto para venda;0.0107;0.0087
19.722.048/0001-31;2022-03-31;1;167272;Alameda Campinas 1176;2022-03-24;109.8;1;Apartamento residencial pronto para venda;0.0118;0.0096
19.722.048/0001-31;2022-03-31;1;208398;Praça Benedito Calixto 186;2022-03-02;40.7631;1;Apartamento residencial pronto para venda;0.004;0.0032
19.722.048/0001-31;2022-03-31;1;208408;Praça Benedito Calixto 186;2022-01-31;40.7631;1;Apartamento residencial pronto para venda;0.0038;0.0031
19.722.048/0001-31;2022-03-31;1;208416;Praça Benedito Calixto 186;2022-01-27;40.7631;1;Apartamento residencial pronto para venda;0.004;0.0032
19.722.048/0001-31;2022-03-31;1;208454;Praça Benedito Calixto 186;2022-01-04;40.7631;1;Apartamento residencial pronto para venda;0.004;0.0032
