CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
10.456.799/0001-89;2022-03-31;1;Rua Mirim, 146, Vila Ipiranga, Porto Alegre-RS;217;Nenhuma;7.1E-05;5E-06
10.456.799/0001-89;2022-09-30;1;Av. Manoel Elias, 891 e 901, Passo das Pedras, Porto Alegre-RS;23157.4;Nenhuma;0.110522;0.010138
13.726.079/0001-84;2022-06-30;2;Estrada Nova de Caucaia;677.97;Matricula 218.967 - Grande Moravia;1;0.04
16.915.968/0001-88;2022-09-30;1;Av. Paes de Barros, 455, Alto da Mooca, São Paulo-SP;1090.76;Não há;0.166786323480677;0.013009950963199
16.915.968/0001-88;2022-09-30;1;Av. Adélia Chohfi, 90 - Jardim Vera Cruz, São Paulo-SP;1920;Não há;0.181029506064615;0.0141209719576656
19.267.845/0001-76;2022-09-30;1;Rua Pascoal Pais, Nº 270, Vila Cordeiro- SP;4777.84;Registrado junto ao 15º Oficial de Registro de Imóveis de São Paulo sob o número R.1 de 14/04/2022 - Matrícula 282.648.;0;0
24.514.406/0001-50;2022-03-31;1;Área da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, em 21/12/2021;55449.4;Área de terra contemplada com o termo de reserva legal da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, identificada com AS-04, desmembrada da Matrícula nº 15.221, conf medidas e confrontações constantes na Matrícula nº 15.347.;;0.0677
24.514.406/0001-50;2022-06-30;1;Área da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, em 21/12/2021;55449.4;Área de terra contemplada com o termo de reserva legal da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, identificada com AS-04, desmembrada da Matrícula nº 15.221, conf medidas e confrontações constantes na Matrícula nº 15.347.;;0.0677
24.514.406/0001-50;2022-12-31;2;Área da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, em 21/12/2021;55449.4;Área de terra contemplada com o termo de reserva legal da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, identificada com AS-04, desmembrada da Matrícula nº 15.221, conf medidas e confrontações constantes na Matrícula nº 15.347.;;
27.538.477/0001-81;2022-06-30;1;PROFESSOR NEWTON SÉRVULO NASCIMENTO;472.5;UM TERRENO URBANO, situado em Ribeirão Preto, com frente para a rua PROFESSOR NEWTON SÉRVULO NASCIMENTO, constituído de parte do lote nº 01 (um) da quadra nº 23 (vinte e três) do loteamento denominado Parque das Oliveiras I;;
27.538.477/0001-81;2022-09-30;1;L08Q04;;Lote nº 08 (um) da quadra nº 04 (quatro);0.513272;0.0066
28.152.777/0001-90;2022-06-30;1;Rodovia BR-163/ Sorriso - MT;90000;TER SORRISO - MATRICULA 73323;0.9259;0.3977
28.152.777/0001-90;2022-06-30;1;Rodovia MT-130/ Primavera do Leste - MT;253046;TER PRIMAVERA 1 - MATRICULA 38310;0.9213;0.4877
28.152.777/0001-90;2022-06-30;1;Rodovia MT-130/ Primavera do Leste - MT;40004;TER PRIMAVERA 2 - MATRICULA 3855;0.9213;0.078
28.548.288/0001-52;2022-06-30;3;OBRAMAX _1;34229;Direito de propriedade;0;0
28.548.288/0001-52;2022-06-30;3;OBRAMAX _2;33000;Direito de propriedade;0;0
28.548.288/0001-52;2022-09-30;2;OBRAMAX _1;34229;Direito de propriedade;0;0
28.548.288/0001-52;2022-09-30;2;OBRAMAX _2;33000;Direito de propriedade;0;0
30.846.692/0001-54;2022-06-30;1;AV. JOSÉ BENTO RIBEIRO DANTAS, LT 3 - BÚZIOS, RIO DE JANEIRO;390;Inacabado;2.81;0
30.846.692/0001-54;2022-06-30;1;AV. JOSÉ BENTO RIBEIRO DANTAS, LT 4 - BÚZIOS, RIO DE JANEIRO;390;Inacabado;2.81;0
30.846.692/0001-54;2022-12-31;1;RUA JARDIM BOTÂNICO, Nº 726 - JARDIM BOTÂNICO - RJ;249;LOJA;;
31.547.782/0001-07;2022-03-31;1;Avenida Itaoca nº 786;0;Parceria agrícola, fazendo parte desta, os equipamentos e benfeitorias fixas existentes nos imóveis.;1;1
31.547.782/0001-07;2022-03-31;1;João Pinheiro, Estado de Minas Gerais;2258.94;Parceria agrícola, fazendo parte desta, os equipamentos e benfeitorias fixas existentes nos imóveis.;1;1
31.547.782/0001-07;2022-03-31;1;João Pinheiro, Estado de Minas Gerais;1489.36;Parceria agrícola, fazendo parte desta, os equipamentos e benfeitorias fixas existentes nos imóveis.;1;1
34.691.520/0001-00;2022-06-30;3;RUA PROFESSOR LUCAS GARZES, 2401, SÃO PAULO/ SP;3630;GPA ATIBAIA. Matrícula 28.473.;0;0
34.691.520/0001-00;2022-06-30;3;RUA PROFESSOR LUCAS GARZES, 2435, SÃO PAULO/ SP;580;GPA ATIBAIA. Matrícula 133.725.;0;0
34.691.520/0001-00;2022-06-30;3;Rua Pompeu Vairo, 200/300, São Paulo/SP;309.24;GPA ATIBAIA. Matrículas 82.440 e 97.840.;0;0
34.691.520/0001-00;2022-09-30;1;RUA PROFESSOR LUCAS GARZES, 2401, SÃO PAULO/ SP;3630;GPA ATIBAIA. Matrícula 28.473.;0;0
34.691.520/0001-00;2022-09-30;1;RUA PROFESSOR LUCAS GARZES, 2435, SÃO PAULO/ SP;580;GPA ATIBAIA. Matrícula 133.725.;0;0
34.691.520/0001-00;2022-09-30;1;Rua Pompeu Vairo, 200/300, São Paulo/SP;309.24;GPA ATIBAIA. Matrículas 82.440 e 97.840.;0;0
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;312408;Nenhuma característica relevante;0.003292;0.00165
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;31603;Nenhuma característica relevante;0.051505;0.025821
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;346471;Nenhuma característica relevante;0.061406;0.030785
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;335732;Nenhuma característica relevante;0.054716;0.027431
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;30024;Nenhuma característica relevante;0.003163;0.001586
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;316253;Nenhuma característica relevante;0.05605;0.0281
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;321396;Nenhuma característica relevante;0.003386;0.001698
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;320983;Nenhuma característica relevante;0.056962;0.028557
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;304054;Nenhuma característica relevante;0.053888;0.027016
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;303394;Nenhuma característica relevante;0.053771;0.026957
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;377688;Nenhuma característica relevante;0.069849;0.035017
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;369032;Nenhuma característica relevante;0.068248;0.034215
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;355652;Nenhuma característica relevante;0.065773;0.032974
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;337423;Nenhuma característica relevante;0.062402;0.031284
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;314941;Nenhuma característica relevante;0.058244;0.0292
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;335028;Nenhuma característica relevante;0.061959;0.031062
34.693.040/0001-88;2022-03-31;1;Rod. Alkindar Monteiro Junqueira Km 33,5;327537;Nenhuma característica relevante;0.05805;0.029102
