CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Ativo;Percentual_Garantido_Relativo;Garantidor;Principais_Caracteristicas_Garantia
03.683.056/0001-86;2022-03-31;1;JK FINANCIAL CENTER;0.01896;Vendedor;18 meses de duração
03.683.056/0001-86;2022-06-30;1;JK FINANCIAL CENTER;0.01896;Vendedor;18 meses de duração
03.683.056/0001-86;2022-09-30;1;JK FINANCIAL CENTER;0.01896;Vendedor;18 meses de duração
03.683.056/0001-86;2022-12-31;1;JK FINANCIAL CENTER;0.01896;Vendedor;18 meses de duração
08.924.783/0001-01;2022-03-31;1;Sucupira;0.008776;REC Sucupira PDC Empreendimento;Aquisição de Imóveis
08.924.783/0001-01;2022-06-30;1;Sucupira;0.008776;REC Sucupira PDC Empreendimento;Aquisição de Imóveis
13.371.132/0001-71;2022-03-31;1;Torre Ebony e Marble;0.0725;;Retorno de 7,25% sobre o valor investido por 10 anos limitado a 40 milhões de reais.
13.371.132/0001-71;2022-06-30;1;Torre Ebony e Marble;0.0725;;Retorno de 7,25% sobre o valor investido por 10 anos limitado a 40 milhões de reais.
13.371.132/0001-71;2022-09-30;1;Torre Ebony e Marble;0.0725;;Retorno de 7,25% sobre o valor investido por 10 anos limitado a 40 milhões de reais.
13.371.132/0001-71;2022-12-31;1;Torre Ebony e Marble;0.0725;;Retorno de 7,25% sobre o valor investido por 10 anos limitado a R$40 milhões.
18.312.285/0001-61;2022-03-31;1;Edifício EZ Towers - TORRE B;0.004768;BR7 FIM CP;Aquisição de Imóveis
32.892.018/0001-31;2022-03-31;1;SHOPPING PARALELA;;HSI V Real Estate FI em Participações - Multiestratégia.;A estrutura garantirá 8% (oito por cento) do Preço ao ano por 3 (três) anos sem limite máximo de valor, o equivalente a uma Renda fixa no primeiro ano de R$ 34.617.697,00 (trinta e quatro milhões, seiscentos e dezessete mil seiscentos e noventa e sete reais). A partir do segundo e terceiro ano, o montante do primeiro ano será corrigido pela variação do IPCA no período.
32.892.018/0001-31;2022-06-30;1;SHOPPING PARALELA;;HSI V Real Estate FI em Participações - Multiestratégia.;A estrutura garantirá 8% (oito por cento) do Preço ao ano por 3 (três) anos sem limite máximo de valor, o equivalente a uma Renda fixa no primeiro ano de R$ 34.617.697,00 (trinta e quatro milhões, seiscentos e dezessete mil seiscentos e noventa e sete reais). A partir do segundo e terceiro ano, o montante do primeiro ano será corrigido pela variação do IPCA no período.
32.892.018/0001-31;2022-09-30;1;SHOPPING PARALELA;;HSI V Real Estate FI em Participações - Multiestratégia.;A estrutura garantirá 8% (oito por cento) do Preço ao ano por 3 (três) anos sem limite máximo de valor, o equivalente a uma Renda fixa no primeiro ano de R$ 34.617.697,00 (trinta e quatro milhões, seiscentos e dezessete mil seiscentos e noventa e sete reais). A partir do segundo e terceiro ano, o montante do primeiro ano será corrigido pela variação do IPCA no período.
