CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Endereco_Imovel;Justificativa_Evolucao_Inferior_Previsto;Justificativa_Custo_Superior_Previsto
01.235.622/0001-61;2022-03-31;3;Imóveis para venda em construção;Maison Laranjeiras;Tarefas replanejadas;N.A.
01.235.622/0001-61;2022-03-31;3;Imóveis para venda em construção;The Gallery;N.A.;N.A.
01.235.622/0001-61;2022-03-31;3;Imóveis para venda em construção;Highlight e Spotlight - Jardim Botafogo;Atraso na contratação de serviços.;N.A.
01.235.622/0001-61;2022-03-31;3;Imóveis para venda em construção;Costa Mare;N.A.;N.A.
01.235.622/0001-61;2022-03-31;3;Imóveis para venda em construção;Blanc 260;Replanejamento de cronograma;Antecipação de compra de mateiral.
01.235.622/0001-61;2022-03-31;3;Imóveis para venda em construção;Iluminato;Prazo de obra replanejado, após atraso no desmonte de rocha.;N.A.
01.235.622/0001-61;2022-03-31;3;Imóveis para venda em construção;Aretê - Peninsula Norte;N.A.;N.A.
01.235.622/0001-61;2022-03-31;3;Imóveis para venda em construção;Aretê - Alto Ybirá;N.A.;N.A.
01.235.622/0001-61;2022-03-31;3;Imóveis para venda em construção;Crystal Blue;Atraso na contratação de serviços.;N.A.
01.235.622/0001-61;2022-06-30;2;Imóveis para venda em construção;Aretê - Peninsula Norte;N.A.;N.A.
01.235.622/0001-61;2022-06-30;2;Imóveis para venda em construção;Blanc 260;Replanejamento de cronograma;Antecipação de compra de mateiral.
01.235.622/0001-61;2022-06-30;2;Imóveis para venda em construção;Aretê - Alto Ybirá;N.A.;N.A.
01.235.622/0001-61;2022-06-30;2;Imóveis para venda em construção;Maison Laranjeiras;Tarefas replanejadas;N.A.
01.235.622/0001-61;2022-06-30;2;Imóveis para venda em construção;The Gallery;N.A.;N.A.
01.235.622/0001-61;2022-06-30;2;Imóveis para venda em construção;Costa Mare;N.A.;N.A.
01.235.622/0001-61;2022-06-30;2;Imóveis para venda em construção;Highlight e Spotlight - Jardim Botafogo;Atraso na contratação de serviços.;N.A.
01.235.622/0001-61;2022-06-30;2;Imóveis para venda em construção;Crystal Blue;Atraso na contratação de serviços.;N.A.
01.235.622/0001-61;2022-06-30;2;Imóveis para venda em construção;Iluminato;Prazo de obra replanejado, após atraso no desmonte de rocha.;N.A.
01.235.622/0001-61;2022-09-30;2;Imóveis para venda em construção;Aretê - Alto Ybirá;N.A.;N.A.
01.235.622/0001-61;2022-09-30;2;Imóveis para venda em construção;S Design;Replanejamento de cronograma devido a queda do muro na edificação vizinha.;N.A.
01.235.622/0001-61;2022-09-30;2;Imóveis para venda em construção;Crystal Blue;Atraso na contratação de serviços.;N.A.
01.235.622/0001-61;2022-09-30;2;Imóveis para venda em construção;The Gallery;N.A.;N.A.
01.235.622/0001-61;2022-09-30;2;Imóveis para venda em construção;Blanc 260;Replanejamento de cronograma;Antecipação de compra de mateiral.
01.235.622/0001-61;2022-09-30;2;Imóveis para venda em construção;Lineu 708;Atraso na mobilização do maquinário para a execução das estacas.;N.A.
01.235.622/0001-61;2022-09-30;2;Imóveis para venda em construção;Aretê - Peninsula Norte;N.A.;N.A.
01.235.622/0001-61;2022-09-30;2;Imóveis para venda em construção;Iluminato;Prazo de obra replanejado, após atraso no desmonte de rocha.;N.A.
01.235.622/0001-61;2022-09-30;2;Imóveis para venda em construção;Highlight e Spotlight - Jardim Botafogo;Atraso na contratação de serviços.;N.A.
01.235.622/0001-61;2022-09-30;2;Imóveis para venda em construção;Costa Mare;N.A.;N.A.
01.235.622/0001-61;2022-09-30;2;Imóveis para venda em construção;Maison Laranjeiras;Tarefas replanejadas;N.A.
01.235.622/0001-61;2022-12-31;2;Imóveis para venda em construção;Lineu 708;N.A.;N.A.
01.235.622/0001-61;2022-12-31;2;Imóveis para venda em construção;The Gallery;N.A.;N.A.
01.235.622/0001-61;2022-12-31;2;Imóveis para venda em construção;S Design;Replanejamento de cronograma.;N.A.
01.235.622/0001-61;2022-12-31;2;Imóveis para venda em construção;Iluminato;Prazo de obra replanejado, após atraso no desmonte de rocha.;N.A.
01.235.622/0001-61;2022-12-31;2;Imóveis para venda em construção;Aretê - Peninsula Norte;N.A.;N.A.
01.235.622/0001-61;2022-12-31;2;Imóveis para venda em construção;Blanc 260;Replanejamento de cronograma;N.A.
01.235.622/0001-61;2022-12-31;2;Imóveis para venda em construção;Costa Mare;N.A.;N.A.
01.235.622/0001-61;2022-12-31;2;Imóveis para venda em construção;Crystal Blue;Atraso na contratação de serviços.;N.A.
01.235.622/0001-61;2022-12-31;2;Imóveis para venda em construção;Maison Laranjeiras;N.A.;N.A.
01.235.622/0001-61;2022-12-31;2;Imóveis para venda em construção;Aretê - Alto Ybirá;N.A.;N.A.
01.235.622/0001-61;2022-12-31;2;Imóveis para venda em construção;Highlight e Spotlight - Jardim Botafogo;Atraso na contratação de serviços.;N.A.
03.683.056/0001-86;2022-03-31;1;Imóveis para renda em construção;Edifício Alameda Santos;Evolução está de acordo com o previsto;Cronograma de obras está sendo seguindo dentro do baseline e ajustado ao calendário reprogramado de obra
03.683.056/0001-86;2022-06-30;1;Imóveis para renda em construção;Edifício Alameda Santos;Evolução está de acordo com o previsto;Cronograma de obras está sendo seguindo dentro do baseline e ajustado ao calendário reprogramado de obra
08.417.532/0001-30;2022-03-31;1;Imóveis para renda em construção;Expansão Lubrax;NA;NA
08.417.532/0001-30;2022-06-30;1;Imóveis para renda em construção;Expansão Lubrax;NA;NA
08.417.532/0001-30;2022-09-30;1;Imóveis para renda em construção;Expansão Lubrax;NA;NA
08.417.532/0001-30;2022-12-31;1;Imóveis para renda em construção;Expansão Lubrax;NA;NA
08.693.497/0001-82;2022-12-31;2;Imóveis para renda em construção;Não possui informação apresentada;Não possui informação apresentada;Não possui informação apresentada
11.839.593/0001-09;2022-09-30;1;Imóveis para renda em construção;BTLG  - SBC | SP;não aplicavel;não aplicavel
12.516.185/0001-70;2022-06-30;1;Imóveis para renda em construção;Castelo 57 Business Park;n/a;n/a
12.516.185/0001-70;2022-09-30;1;Imóveis para renda em construção;Castelo 57 Business Park;n/a;n/a
12.989.974/0001-29;2022-03-31;2;Imóveis para venda em construção;Porto Vida Residencial;A obra encontra-se paralisada e o cronograma sob revisão.;O FII PM não arca com custo de construção.
12.989.974/0001-29;2022-03-31;2;Imóveis para renda em construção;Porto Vista;A obra encontra-se paralisada e o cronograma sob revisão.;O FII PM não arca com custo de construção.
12.989.974/0001-29;2022-03-31;2;Imóveis para renda em construção;Pátio da Marítima Torre II;O início da construção pelo incorporador depende de condições mercadológicas ;O FII PM não arca com custo de construção.
12.989.974/0001-29;2022-06-30;2;Imóveis para venda em construção;Porto Vida Residencial;A obra encontra-se paralisada e o cronograma sob revisão.;O FII PM não arca com custo de construção.
12.989.974/0001-29;2022-06-30;2;Imóveis para renda em construção;Pátio da Marítima Torre II;O início da construção pelo incorporador depende de condições mercadológicas ;O FII PM não arca com custo de construção.
12.989.974/0001-29;2022-06-30;2;Imóveis para renda em construção;Porto Vista;A obra encontra-se paralisada e o cronograma sob revisão.;O FII PM não arca com custo de construção.
12.989.974/0001-29;2022-09-30;1;Imóveis para renda em construção;Pátio da Marítima Torre II;O início da construção pelo incorporador depende de condições mercadológicas ;O FII PM não arca com custo de construção.
12.989.974/0001-29;2022-09-30;1;Imóveis para venda em construção;Porto Vida Residencial;A obra encontra-se paralisada e o cronograma sob revisão.;O FII PM não arca com custo de construção.
12.989.974/0001-29;2022-09-30;1;Imóveis para renda em construção;Porto Vista;A obra encontra-se paralisada e o cronograma sob revisão.;O FII PM não arca com custo de construção.
12.989.974/0001-29;2022-12-31;2;Imóveis para venda em construção;Porto Vida Residencial;A obra encontra-se paralisada e o cronograma sob revisão.;O FII PM não arca com custo de construção.
12.989.974/0001-29;2022-12-31;2;Imóveis para renda em construção;Porto Vista;A obra encontra-se paralisada e o cronograma sob revisão.;O FII PM não arca com custo de construção.
12.989.974/0001-29;2022-12-31;2;Imóveis para renda em construção;Pátio da Marítima Torre II;O início da construção pelo incorporador depende de condições mercadológicas ;O FII PM não arca com custo de construção.
13.320.290/0001-00;2022-03-31;1;Imóveis para renda em construção;R. Leopoldo C AP 311, Sao Paulo-SP;;
13.320.290/0001-00;2022-03-31;1;Imóveis para renda em construção;R. Leopoldo C AP 321, Sao Paulo-SP;;
13.320.290/0001-00;2022-06-30;1;Imóveis para renda em construção;R. Leopoldo C AP 321, Sao Paulo-SP;;
13.320.290/0001-00;2022-06-30;1;Imóveis para renda em construção;R. Leopoldo C AP 311, Sao Paulo-SP;;
13.320.290/0001-00;2022-09-30;1;Imóveis para renda em construção;R. Leopoldo C AP 321, Sao Paulo-SP;;
13.320.290/0001-00;2022-09-30;1;Imóveis para renda em construção;R. Leopoldo C AP 311, Sao Paulo-SP;;
13.320.290/0001-00;2022-12-31;1;Imóveis para renda em construção;R. Leopoldo C AP 311, Sao Paulo-SP;;
13.320.290/0001-00;2022-12-31;1;Imóveis para renda em construção;R. Leopoldo C AP 321, Sao Paulo-SP;;
13.584.584/0001-31;2022-03-31;1;Imóveis para renda em construção;Não se aplica;Não se aplica;Não se aplica
13.584.584/0001-31;2022-06-30;2;Imóveis para renda em construção;Não se aplica;Não se aplica;Não se aplica
13.584.584/0001-31;2022-09-30;2;Imóveis para renda em construção;Não se aplica;Não se aplica;Não se aplica
13.584.584/0001-31;2022-12-31;1;Imóveis para renda em construção;Não se aplica;Não se aplica;Não se aplica
13.703.596/0001-38;2022-03-31;1;Imóveis para renda em construção;Não possui informação apresentada.;;
13.703.596/0001-38;2022-06-30;1;Imóveis para renda em construção;Não possui informação apresentada.;;
13.703.596/0001-38;2022-09-30;1;Imóveis para renda em construção;Não possui informação apresentada.;;
13.703.596/0001-38;2022-12-31;1;Imóveis para renda em construção;Não possui informação apresentada.;;
13.726.079/0001-84;2022-03-31;2;Imóveis para renda em construção;BELMIRA MARIM;Em análise;Não se aplica
13.726.079/0001-84;2022-06-30;2;Imóveis para renda em construção;BELMIRA MARIM;Em análise;Não se aplica
13.726.079/0001-84;2022-09-30;2;Imóveis para renda em construção;BELMIRA MARIM;Em análise;Não se aplica
13.726.079/0001-84;2022-12-31;2;Imóveis para renda em construção;BELMIRA MARIM;Em análise;Não se aplica
14.609.653/0001-87;2022-03-31;1;Imóveis para renda em construção;JHSF Aeroporto;;
14.609.653/0001-87;2022-06-30;1;Imóveis para renda em construção;JHSF Aeroporto;;
14.609.653/0001-87;2022-09-30;1;Imóveis para renda em construção;JHSF Aeroporto;;
14.609.653/0001-87;2022-12-31;1;Imóveis para renda em construção;JHSF Aeroporto;;
14.721.889/0001-00;2022-06-30;2;Imóveis para venda em construção;Aretê - Alto Ybirá;N.A.;N.A.
14.721.889/0001-00;2022-06-30;2;Imóveis para venda em construção;Iluminato;Prazo de obra replanejado, após atraso no desmonte de rocha.;N.A.
14.721.889/0001-00;2022-06-30;2;Imóveis para venda em construção;The Gallery;N.A.;N.A.
14.721.889/0001-00;2022-06-30;2;Imóveis para venda em construção;Maison Laranjeiras;Tarefas replanejadas;N.A.
14.721.889/0001-00;2022-06-30;2;Imóveis para venda em construção;Highlight e Spotlight - Jardim Botafogo;Atraso na contratação de serviços.;N.A.
14.721.889/0001-00;2022-06-30;2;Imóveis para venda em construção;Aretê - Peninsula Norte;N.A.;N.A.
14.721.889/0001-00;2022-06-30;2;Imóveis para venda em construção;Crystal Blue;Atraso na contratação de serviços.;N.A.
14.721.889/0001-00;2022-06-30;2;Imóveis para venda em construção;Blanc 260;Replanejamento de cronograma;Antecipação de compra de mateiral.
14.721.889/0001-00;2022-06-30;2;Imóveis para venda em construção;Costa Mare;N.A.;N.A.
14.721.889/0001-00;2022-09-30;1;Imóveis para venda em construção;Costa Mare;N.A.;N.A.
14.721.889/0001-00;2022-09-30;1;Imóveis para venda em construção;Aretê - Peninsula Norte;N.A.;N.A.
14.721.889/0001-00;2022-09-30;1;Imóveis para venda em construção;Blanc 260;Replanejamento de cronograma;Antecipação de compra de mateiral.
14.721.889/0001-00;2022-09-30;1;Imóveis para venda em construção;Crystal Blue;Atraso na contratação de serviços.;N.A.
14.721.889/0001-00;2022-09-30;1;Imóveis para venda em construção;Maison Laranjeiras;Tarefas replanejadas;N.A.
14.721.889/0001-00;2022-09-30;1;Imóveis para venda em construção;Highlight e Spotlight - Jardim Botafogo;Atraso na contratação de serviços.;N.A.
14.721.889/0001-00;2022-09-30;1;Imóveis para venda em construção;Iluminato;Prazo de obra replanejado, após atraso no desmonte de rocha.;N.A.
14.721.889/0001-00;2022-09-30;1;Imóveis para venda em construção;The Gallery;N.A.;N.A.
14.721.889/0001-00;2022-09-30;1;Imóveis para venda em construção;Aretê - Alto Ybirá;N.A.;N.A.
14.721.889/0001-00;2022-12-31;1;Imóveis para venda em construção;Maison Laranjeiras;Tarefas replanejadas;N.A.
14.721.889/0001-00;2022-12-31;1;Imóveis para venda em construção;Iluminato;Prazo de obra replanejado, após atraso no desmonte de rocha.;N.A.
14.721.889/0001-00;2022-12-31;1;Imóveis para venda em construção;Crystal Blue;Atraso na contratação de serviços.;N.A.
14.721.889/0001-00;2022-12-31;1;Imóveis para venda em construção;Highlight e Spotlight - Jardim Botafogo;Atraso na contratação de serviços.;N.A.
14.721.889/0001-00;2022-12-31;1;Imóveis para venda em construção;Costa Mare;N.A.;N.A.
14.721.889/0001-00;2022-12-31;1;Imóveis para venda em construção;Aretê - Peninsula Norte;N.A.;N.A.
14.721.889/0001-00;2022-12-31;1;Imóveis para venda em construção;Aretê - Alto Ybirá;N.A.;N.A.
14.721.889/0001-00;2022-12-31;1;Imóveis para venda em construção;Blanc 260;Replanejamento de cronograma;Antecipação de compra de mateiral.
