CNPJ_Fundo_Classe;Data_Referencia;Versao;Mes_Referencia;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Auferida_Ausencia_Garantia
01.235.622/0001-61;2022-03-31;3;Jan/2022;0.005793;0.005793
01.235.622/0001-61;2022-03-31;3;Fev/2022;0.008685;0.008685
01.235.622/0001-61;2022-03-31;3;Mar/2022;0.027765;0.027765
01.235.622/0001-61;2022-12-31;2;Out/22;0.006942;0.006942
01.235.622/0001-61;2022-12-31;2;Nov/22;0.005795;0.005795
01.235.622/0001-61;2022-12-31;2;Dez/22;-0.018061;-0.018061
03.683.056/0001-86;2022-03-31;1;Janeiro;0.00212;0.001964
03.683.056/0001-86;2022-03-31;1;Fevereiro;0.001082;0.000926
03.683.056/0001-86;2022-03-31;1;Março;0.001106;0.00095
03.683.056/0001-86;2022-06-30;1;Junho;0.001788;0.001788
03.683.056/0001-86;2022-06-30;1;Maio;0.003813;0.003672
03.683.056/0001-86;2022-06-30;1;Abril;-0.002264;-0.002356
03.683.056/0001-86;2022-09-30;1;Setembro;0.003984;0.003984
03.683.056/0001-86;2022-09-30;1;Agosto;0.015599;0.015475
03.683.056/0001-86;2022-09-30;1;Julho;0.004136;0.003863
03.683.056/0001-86;2022-12-31;1;Dezembro;-0.007062;-0.007148
03.683.056/0001-86;2022-12-31;1;Novembro;0.067094;0.067094
03.683.056/0001-86;2022-12-31;1;Outubro;0.003442;0.003266
08.924.783/0001-01;2022-03-31;1;01/2022;0.002405;0.00226017997907
08.924.783/0001-01;2022-03-31;1;02/2022;0.001619;0.00151840649009
08.924.783/0001-01;2022-03-31;1;03/2022;0.001604;0.00146759183493
08.924.783/0001-01;2022-06-30;1;04/2022;0.000602;0.00048301159343
08.924.783/0001-01;2022-06-30;1;05/2022;-0.02189;-0.02200865864223
08.924.783/0001-01;2022-06-30;1;06/2022;0.000713;0.00059029704057
08.924.783/0001-01;2022-09-30;1;07/2022;0.00183;0.00170649130997
08.924.783/0001-01;2022-09-30;1;08/2022;0.002385;0.00226190531634
08.924.783/0001-01;2022-09-30;1;09/2022;0.001459;0.001335233866
08.924.783/0001-01;2022-12-31;1;11/2022;0.006296;0.00617155365487
08.924.783/0001-01;2022-12-31;1;10/2022;0.002523;0.00239843580162
10.522.648/0001-81;2022-12-31;2;dez/22;-0.027962;-0.027962
10.522.648/0001-81;2022-12-31;2;nov/22;0.005826;0.005826
10.522.648/0001-81;2022-12-31;2;out/22;0.004799;0.004799
11.268.335/0001-01;2022-03-31;1;03/2022;0.002428;0.002428
11.268.335/0001-01;2022-03-31;1;02/2022;-0.008947;-0.008947
11.268.335/0001-01;2022-03-31;1;01/2022;-0.007245;-0.007245
11.268.335/0001-01;2022-06-30;1;06/2022;0.00194;0.00194
11.268.335/0001-01;2022-06-30;1;05/2022;0.004084;0.004084
11.268.335/0001-01;2022-06-30;1;04/2022;-0.178535;-0.178535
11.268.335/0001-01;2022-09-30;1;09/2022;0.000571;0.000571
11.268.335/0001-01;2022-09-30;1;08/2022;0.228804;0.228804
11.268.335/0001-01;2022-09-30;1;07/2022;0.015245;0.015245
11.268.335/0001-01;2022-12-30;1;10/2022;0.002825;0.002825
11.268.335/0001-01;2022-12-30;1;11/2022;0.006145;0.006145
11.268.335/0001-01;2022-12-30;1;12/2022;0.072467;0.072467
11.839.593/0001-09;2022-03-31;1;01/2022;0.001221;0.00053033243453
11.839.593/0001-09;2022-03-31;1;02/2022;0.004896;0.00246662268605
11.839.593/0001-09;2022-03-31;1;03/2022;0.010622;0.00733987951919
11.839.593/0001-09;2022-06-30;1;06/2022;0.006427;0.00529838237593
11.839.593/0001-09;2022-06-30;1;05/2022;0.000606;-0.00093913721868
11.839.593/0001-09;2022-06-30;1;04/2022;0.01177;0.00996169148265
11.839.593/0001-09;2022-09-30;1;07/2022;0.007596;0.00624530328762
11.839.593/0001-09;2022-09-30;1;08/2022;0.003385;0.00240071065134
