CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Vacancia;Percentual_Inadimplencia;Percentual_Receitas_FII;Percentual_Locado;Percentual_Vendido;Percentual_Conclusao_Obras_Realizado;Percentual_Conclusao_Obras_Previsto;Custo_Construcao_Realizado;Custo_Construcao_Previsto;Percentual_Imovel_Total_Investido
00.332.266/0001-31;2023-03-31;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57239;238;Shopping Center;0.05;0.098;0.961801;;;;;;;
00.332.266/0001-31;2023-06-30;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;56508.93;272;Shopping Center;0.149440628233449;0.071778;0.968658271477941;;;;;;;
00.332.266/0001-31;2023-09-30;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;56508.93;272;Shopping Center;0.149440628233449;0.071778;0.968658271477941;;;;;;;
00.332.266/0001-31;2023-12-31;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;56508.93;272;Shopping Center;0.056;0.162;0.978046;;;;;;;
00.762.723/0001-28;2023-03-31;2;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;45714.2;1;Imóvel Comercial;0.96969696969697;0;0.573527883227715;;;;;;;
00.762.723/0001-28;2023-06-30;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;45808.5;1;Imóvel Comercial;0.988561074909678;0;0.628366066641623;;;;;;;
00.762.723/0001-28;2023-09-30;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;45808.5;1;Imóvel Comercial;0.988561074909678;0;0.423437;;;;;;;
00.762.723/0001-28;2023-12-31;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;45808.5;1;Imóvel Comercial;0.988561074909678;0;0.698047;;;;;;;
00.868.235/0001-08;2023-03-31;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.002464;;;;;;;
00.868.235/0001-08;2023-03-31;1;Imóveis para renda acabados;Medcenter;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.25;0.087314;0.950969;;;;;;;
00.868.235/0001-08;2023-06-30;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.171722;;;;;;;
00.868.235/0001-08;2023-06-30;1;Imóveis para renda acabados;Medcenter;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.24;0.034199;0.815575;;;;;;;
00.868.235/0001-08;2023-09-30;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.202492394800219;;;;;;;
00.868.235/0001-08;2023-09-30;1;Imóveis para renda acabados;Medcenter;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.25;0;0.779503847703873;;;;;;;
00.868.235/0001-08;2023-12-31;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.221433;;;;;;;
00.868.235/0001-08;2023-12-31;1;Imóveis para renda acabados;Medcenter;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.23;0;0.764257;;;;;;;
01.201.140/0001-90;2023-03-31;2;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;74503.13;387;Shopping Center;0.039028;0.009332;0.98022;;;;;;;
01.201.140/0001-90;2023-06-30;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69384.05;387;Shopping Center;0.0558978612519736;0.0313565003108953;1;;;;;;;
01.201.140/0001-90;2023-09-30;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69468.01;382;Shopping Center;0.0212620168621499;0.0369663727815276;1;;;;;;;
01.201.140/0001-90;2023-12-31;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69468.01;382;Shopping Center;0.02001;0.025376;0.983821;;;;;;;
01.235.622/0001-61;2023-03-31;2;Imóveis para renda acabados;Touch;Rua Jardim Botânico, nº 568, conjunto 301, Jardim Botânico, Rio de Janeiro/RJ;86.91;3;Prédio;0;0;0;;;;;;;
01.235.622/0001-61;2023-03-31;2;Imóveis para venda em construção;Lineu 708;Rua Lineu de Paula Machado, 708, Lagoa, Rio de Janeiro - RJ;4117.43;13;Construção própia;;;;;0;0;0;0;0;
01.235.622/0001-61;2023-03-31;2;Imóveis para venda em construção;Aretê - Peninsula Norte;Praia Rasa, Buzios - RJ;4901;28;Construção própia;;;;;0;0;0;0;0;
