CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
07.789.135/0001-27;2024-06-30;1;NAT - NATAL SHOPPING;Av. Senador Salgado Filho, nº 2.234 - Candelária - Natal/Rio Grande do Norte;1;1;Através de redução de capital parcial da SPE Mônaco Participações S.A. ocorrida em 31/01/2024 e efetivada em 05/2024 - 55% do Natal Shoppong Center;0.0196;Renda
07.789.135/0001-27;2024-06-30;1;NSF - NORTH SHOPPING FORTALEZA;Av. Bezerra de Menezes, 2450 - Presidente Kennedy - Fortaleza - CE;1;1;Através de redução de capital parcial da CE Shopping S.A. ocorrida em 29/02/2024 e efetivada em 05/2024 - 100% do North Shoppong Fortaleza;0.142;Renda
07.789.135/0001-27;2024-09-30;1;NSF - NORTH SHOPPING FORTALEZA;Av. Bezerra de Menezes, 2450 - Presidente Kennedy - Fortaleza - CE;1;1;Através de redução de capital parcial da CE Shopping S.A. ocorrida em 29/02/2024 e efetivada em 05/2024 - 100% do North Shoppong Fortaleza;0.142;Renda
08.431.747/0001-06;2024-06-30;1;SHOPPING JARDIM SUL - 50%;Av. Giovanni Gronchi, 5819, Morumbi, São Paulo - SP;28739.03;173;-;0.0898;Renda
08.431.747/0001-06;2024-12-31;1;Shopping Jaraguá Araraquara;Avenida Alberto Benassi, 2.270, Jardim dos Manacas, Araraquara, SP;21098.8;122;-;0.25;Renda
08.706.065/0001-69;2024-06-30;1;Ibis Ibirapuera;Avenida Santo Amaro, 1411, Vila Nova Conceição, São Paulo/SP, Brasil, 04506-000;796.34;40;Direito de Propriedade;0.06180484267137;Renda
10.456.799/0001-89;2024-03-31;3;Terreno;São Leopoldo-RS, Bairro Morro do Espelho, lotes 03, 04 e 05 da quadra 556 no quarteirão formado pelas Ruas Raimundo Corrêa e Dietrich Hilbk, Avenida Mauá e propriedade de Industrial Japs Ltda.;1302.12;3;Terreno;0.027412;Renda
11.179.118/0001-45;2024-03-31;1;Anhanguera Educacional - Valinhos 2;Alameda Maria Tereza, 2000, Dois Córregos, Dois Córregos, Valinhos/SP, Brasil, 13278-181;7700;1;Não possui caracteristicas que destoem dos demais;0.04573289583257;Renda
11.728.688/0001-47;2024-06-30;1;Aquisição Syslog Galeão - 49%;Parque Duque, Duque de Caxias - RJ, 25085-009;27946.44;1;-;0.015236;Renda
11.728.688/0001-47;2024-09-30;1;Aquisição Galpões - Goiânia / GO;BR-153, Km 5.5 Fazenda Retiro, Goiânia - GO , 74620-430;78223;1;-;0.042339;Renda
11.728.688/0001-47;2024-12-31;1;Aquisição Syslog Galeão - 49%;Parque Duque, Duque de Caxias - RJ, 25085-009;27946.4392250412;1;-;0.015236;Renda
11.728.688/0001-47;2024-12-31;1;Aquisição galpões - Goiânia /GO;Rodovia BR 153, Fazenda Retiro, Goiânia - GO, 74620-430;78223;1;-;0.042339;Renda
11.728.688/0001-47;2024-12-31;1;Aquisição HGLG CONE MM2 - Fração de 2.61%;Rodovia BR 101, 5225, Cabo de Santo Agostinho, PE;4515.3;1;-;0.0017;Renda
11.769.604/0001-13;2024-03-31;1;Parque Shopping Barueri;R. Gen. de Divisão Pedro Rodrigues da Silva, 400 - Aldeia, Barueri - SP, 06440-180;38438;162;Fração ideal do imóvel detida pelo Fundo está cedida em alienação fiduciária em favor dos detentores do CRI;0.312;Renda
11.769.604/0001-13;2024-06-30;1;Parque Shopping Barueri;R. Gen. de Divisão Pedro Rodrigues da Silva, 400 - Aldeia, Barueri - SP, 06440-180;38438;162;Fração ideal do imóvel detida pelo Fundo está cedida em alienação fiduciária em favor dos detentores do CRI;0.312;Renda
11.769.604/0001-13;2024-09-30;1;Parque Shopping Barueri;R. Gen. de Divisão Pedro Rodrigues da Silva, 400 - Aldeia, Barueri - SP, 06440-180;38438;162;Fração ideal do imóvel detida pelo Fundo está cedida em alienação fiduciária em favor dos detentores do CRI;0.104;Renda
11.839.593/0001-09;2024-12-31;1;BTLG - Itapevi II;Avenida Portugal, 1100, Sem Complemento, Itaqui, Itapevi/SP, Brasil, 06696-060;73242;2;Direito de Propriedade;0.06413607295333;Renda
11.839.593/0001-09;2024-12-31;1;BTLG - Louveira I;Avenida Jose Luiz Mazzali, 450, Sem Complemento, Santo Antônio, Louveira/SP, Brasil, 13294-002;137255;6;Direito de Propriedade;0.0772830757628;Renda
11.839.593/0001-09;2024-12-31;1;BTLG - Louveira II;Avenida Jose Luiz Mazzali, 480, Sem Complemento, Santo Antônio, Louveira/SP, Brasil, 13294-002;6503.19;1;Direito de Propriedade;0.00291007624729;Renda
11.839.593/0001-09;2024-12-31;1;BTLG - Louveira III;Estrada Cruz Grande, 1700, Sem Complemento, Santo Antônio, Louveira/SP, Brasil, 13294-900;31632;1;Direito de Propriedade;0.01630862876069;Renda
11.839.593/0001-09;2024-12-31;1;BTLG - Louveira IV;Estrada Cruz Grande, 1500, Sem Complemento, Santo Antônio, Louveira/SP, Brasil, 13294-004;18702.16;1;Direito de Propriedade;0.00847893937558;Renda
11.839.593/0001-09;2024-12-31;1;BTLG - Louveira V VI e VII;Estrada Cruz Grande, 1700, Sem Complemento, Santo Antônio, Louveira/SP, Brasil, 13294-004;87003.47;3;Direito de Propriedade;0.04646960001819;Renda
11.839.593/0001-09;2024-12-31;1;BTLG - Louveira VIII;Rua Wagner Luis Bevilaqua, 525, 525, Sem Complemento, Parque Dos Estados, Louveira/SP, Brasil, 13290-901;73020;16;Direito de Propriedade;0.03969892630566;Renda
11.839.593/0001-09;2024-12-31;1;BTLG - Louveira IX;Rua Wagner Luis Bevilaqua, 525, Sem Complemento, Parque Dos Estados, Louveira/SP, Brasil, 13290-901;7807;1;Direito de Propriedade;0.00309098051027;Renda
11.839.593/0001-09;2024-12-31;1;BTLG - Queimados;Rua Minas Gerais - Quadra 10, Lote 0007, 000007, Quadra 10, Lote 0007, Distrito Industrial, Queimados/RJ, Brasil, 26373-280;52234.16;1;Direito de Propriedade;0.00518292973264;Renda
11.839.593/0001-09;2024-12-31;1;BTLG - SBC III;Estrada Dos Alvarengas, 630, Sem Complemento, Assunção, São Bernardo Do Campo/SP, Brasil, 09850-550;47751.6;1;Direito de Propriedade;0.03842200433375;Renda
11.839.593/0001-09;2024-12-31;1;BTLG - Suape II;Rodovia Pe- 60 - Km 22, S/n, , Distrito Industrial De Ipojuca - Suape, Ipojuca/PE, Brasil, 55598-078;35962;1;Direito de Propriedade;0.01015961888608;Renda
11.839.593/0001-09;2024-12-31;1;BTLG - Caieiras;Rua Adamo Zambelli, 190, Sem Complemento, Calcárea, Caieiras/SP, Brasil, 07723-000;51109.8;15;Direito de Propriedade;0.02955474941444;Renda
12.005.956/0001-65;2024-09-30;1;Edifício Rochaverá - Torre Crystal;Av. Nações Unidas, 14.171 , São Paulo - SP;53400;124;Proprietário de 57% do ativo;0.130406;Renda
12.681.340/0001-04;2024-12-31;1;Loja Moema;Avenida Indianópolis, 476 - Moema;444;1;Instituição financeira;0.0274;Renda
12.681.340/0001-04;2024-12-31;1;Loja Pinheiros;Rua Inácio Pereira da Rocha, 597 - Pinheiros, São Paulo - SP;685;1;Instituição financeira;0.0289;Renda
13.320.290/0001-00;2024-03-28;1;HANGAR;Av Luis Viana Filho, nº 13.223, São Cristovão- Salvador BA - Torre 4 - Sala 711 a 715;207.54;5;2º Registro de Imóveis de Salvador - BA Matricula 182.520 / 182.521 / 182.522 / 182.523 / 182.524;0.005281;Renda
13.320.290/0001-00;2024-06-30;1;Fazendo Saco da Barauna Grande;Propriedade rural denominada "SACO DA BARAUNA GRANDE" no município de carnaúba dos Dantas/RN;2331029.0527;1;Propriedade denominada fazenda Saco da Baraúna Grande  - Matrícula Nc 1.709;1;Renda
13.320.290/0001-00;2024-09-30;1;1738_FAZ. MADRILENA;Imóvel rural, denominado "Fazenda Madrilena", Comarca de Valença - BA;1864930;1;Matrícula nº. 1.738, do Ofício de Registro de Imóveis e Hipotecas da Comarca de Valença - BA;1;Renda
13.320.290/0001-00;2024-09-30;1;3184_FAZ. CANDEIAS;Imóvel rural, denominado "Fazenda Candeias", Comarca de Valença - BA;1986996;1;a Matrícula nº. 3.184, do Ofício de Registro de Imóveis e Hipotecas da Comarca de Valença - BA;1;Renda
13.320.290/0001-00;2024-09-30;1;3194_FAZ. JANGADA;Imóvel rural, denominado "Fazenda Jangada", Comarca de Valença - BA;1525200;1;Matrícula nº. 3.194, do Ofício de Registro de Imóveis e Hipotecas da Comarca de Valença - BA;1;Renda
13.320.290/0001-00;2024-12-31;1;1738_FAZ. MADRILENA;Imóvel rural, denominado "Fazenda Madrilena", Comarca de Valença - BA;1864930;1;Matrícula nº. 1.738, do Ofício de Registro de Imóveis e Hipotecas da Comarca de Valença - BA;1;Renda
13.320.290/0001-00;2024-12-31;1;3184_FAZ. CANDEIAS;Imóvel rural, denominado "Fazenda Candeias", Comarca de Valença - BA;1986996;1;a Matrícula nº. 3.184, do Ofício de Registro de Imóveis e Hipotecas da Comarca de Valença - BA;1;Renda
13.320.290/0001-00;2024-12-31;1;3194_FAZ. JANGADA;Imóvel rural, denominado "Fazenda Jangada", Comarca de Valença - BA;1525200;1;Matrícula nº. 3.194, do Ofício de Registro de Imóveis e Hipotecas da Comarca de Valença - BA;1;Renda
13.598.226/0001-88;2024-03-31;1;NOVA YORK;RUA NOVA YORK 833;1500;1;ID 99 - MATRICULA 273.992;1;Venda
13.598.226/0001-88;2024-06-30;2;ID 338;RUA DO HIPODROMO, 600;4540;1;MATRICULA 125.042;1;Venda
13.598.226/0001-88;2024-06-30;2;ID 36;RUA BARRA FUNDA, 930;20055.5;1;MATRICULA 141.051;1;Venda
13.598.226/0001-88;2024-12-31;1;PEDRO AMÉRICO;RUA PEDRO AMÉRICO, 32 - 13ANDAR;962.1;1;ID 101 MATRICULA 95066;0.0209;Venda
13.598.226/0001-88;2024-12-31;1;TEN. PENA;RUA TENENTE PENA, 212;872;1;ID 107 MATRICULA 95693;0.0103;Venda
13.598.226/0001-88;2024-12-31;1;CAMPOS SALES;RUA CAMPOS SALES, 24 - 72;979;1;ID 173 MATRICULA 13867;0.0066;Venda
13.598.226/0001-88;2024-12-31;1;PÇ ANTONIO PRADO;PÇ ANTONIO PRADO, 9;14764.97;1;ID 25 MATRICULA 23350;0.1588;Venda
13.598.226/0001-88;2024-12-31;1;ARIZONA;RUA ARIZONA, 715;153.73;1;ID 32 MATRICULA 92411;0.0024;Venda
17.554.274/0001-25;2024-03-28;1;Plaza Sul Shopping;Praça Leonor Kaupa, 100 - Jardim da Saude, São Paulo - SP;28050;285;Área total construida 28.050 m²;0;Renda
17.554.274/0001-25;2024-06-30;1;Plaza Sul;Praça Leonor Kaupa, 100 - Jardim da Saúde, São Paulo - SP;23500;207;Área total contruida 26.870 m²;0.027956;Renda
17.554.274/0001-25;2024-06-30;1;Carioca Shopping;Av Vicente de Carvalho, 909 - Vila da Penha - RJ;33918;212;Área total construida 33.918 m²;0.073691;Renda
17.554.274/0001-25;2024-06-30;1;Villagio Caxias;Rodovia RSC 453, 2780 - Desvio Rizzo, Caixas do Sul - RS;29685;132;Área total contruida 29.685 m²;0.040938;Renda
17.554.274/0001-25;2024-06-30;1;Shopping Bangu;Rua Fonseca, 240 - Bangu, Rio de Janeiro - RJ;57982;200;Área total contruida 57.982 m²;0.038212;Renda
18.950.957/0001-64;2024-09-30;1;Sumaré - SP;Prédio Comercial, n° 830, com frente para a Rua Cesar Moranza;15780;1;Contrato de locação longo prazo;0.0192;Renda
18.950.957/0001-64;2024-12-31;1;Sumaré - SP;Prédio Comercial, n° 830, com frente para a Rua Cesar Moranza;15780;1;Contrato de locação longo prazo;0.0192;Renda
19.722.048/0001-31;2024-03-31;1;Não possui informação apresentada.;;;;;;
19.872.887/0001-36;2024-03-31;1;Imovel Vila Mascote - Escola;Rua Gustavo Da Silveira - Ate 946 - Lado Par, 164, Vila Santa Catarina, São Paulo/SP, Brasil, 04376-004;1000;1;Direito de Propriedade;0.08403469006521;Renda
20.680.775/0001-62;2024-06-30;1;Subcondominio Parque Jockey Corporate;Rua Bento Frias, 155, Sem Complemento, Pinheiros, São Paulo/SP, Brasil, 05423-050;1260.02;1;Direito de Propriedade;0.00340281558231;Renda
20.680.775/0001-62;2024-06-30;1;Condominio P-11 Pinheiros;Rua Dos Pinheiros, 603, 607, 619 E 623, E Rua Auriflama, Nºs 67, 87 E 91, Pinheiros, São Paulo/SP, Brasil, 05422-012;501;3;Direito de Propriedade;0.00251296385289;Renda
24.796.967/0001-90;2024-03-31;1;Não possui informação apresentada.;;;;;;
24.796.967/0001-90;2024-06-30;2;Não possui informação apresentada.;;;;;;
24.796.967/0001-90;2024-09-30;1;Não possui informação apresentada.;;;;;;
24.796.967/0001-90;2024-12-31;1;Não possui informação apresentada.;;;;;;
26.499.833/0001-32;2024-03-31;2;Caxias Shopping;Rodovia Washington Luiz, nº 2.895, Parque Duque,Duque de Caxias - RJ;0;0;fração ideal de 17,5%;0.175;Renda
26.499.833/0001-32;2024-03-31;2;Shopping Metropolitano Barra;Avenida Embaixador Abelardo Bueno, 1300, Barra da Tijuca, Rio de Janeiro - RJ;0;0;fração ideal de 20%;0.2;Renda
26.502.794/0001-85;2024-06-30;1;REC GRAVATA_;Rodovia RS118, km 11, Gravataí - RS;105270.92;1;Matrícula 95.965;0.49;Renda
26.502.794/0001-85;2024-09-30;1;2260_49076;Avenida Comendador Leopoldo Dedini, nº 2.260 - Piracicaba, SP;149499.36;1;Matrícula 49076;0.0443;Renda
26.681.370/0001-25;2024-03-31;1;Salas Comerciais - FL 1355;Avenida Brigadeiro Faria Lima, 1355 - 6º ao 10º andares - Jardim Paulistano - São Paulo - SP;4757.4;10;Matrícula 38.461;0;Renda
26.681.370/0001-25;2024-06-30;1;Edifício GPA;Av. Brigadeiro. Luís Antônio, nº 3.172 x Al. Lorena- Jardim Paulista - São Paulo - SP;11224.79;1;N/A;0;Renda
28.267.696/0001-36;2024-03-31;1;Total Ville Planaltina;Brasilia, Quadra 24, Módulo 1, Setor Habitacional Mestre D'armas (planaltina), Brasília/DF, Brasil, 00073-405;7510.47;1;Direito de propriedade.;0.07970158853779;Renda
28.267.696/0001-36;2024-12-31;1;Imovel Porto dos Gauchos MT;Lote 47 A, Sn, Sem Complemento, Porto Dos Gaúchos, Porto Dos Gaúchos/MT, Brasil, 78560-000;87607;1;Direito de propriedade;0.1282055345975;Renda
28.737.771/0001-85;2024-09-30;1;OBA Hortifruti - SBC;Avenida Francisco Prestes Maia, 1497, Sem Complemento, Centro, São Bernardo Do Campo/SP, Brasil, 09770-000;4428;1;Direito de propriedade;0.01010963903799;Renda
28.737.771/0001-85;2024-09-30;1;OBA Hortifruti - SJRP;Avenida Presidente Juscelino Kubitschek De Oliveira, 3530, Sem Complemento, Jardim Moysés Miguel Haddad, São José Do Rio Preto/SP, Brasil, 15093-215;2722;2;Direito de propriedade;0.0155372328578;Renda
28.737.771/0001-85;2024-09-30;1;OBA Hortifruti - CD Sumare;Avenida Americo Ribeiro Dos Santos, 385, Sem Complemento, Parque Bandeirantes I (nova Veneza), Sumaré/SP, Brasil, 13181-715;33795.13;1;Direito de propriedade;0.06486272834109;Renda
28.737.771/0001-85;2024-12-31;1;CDB - Ana Rosa;Avenida Conselheiro Rodrigues Alves, 300, Sem Complemento, Vila Mariana, São Paulo/SP, Brasil, 04014-000;1597.95;1;Não possui características que destoem dos demais;0.00949276948414;Renda
28.737.771/0001-85;2024-12-31;1;CDB - Morumbi;Rua Pasquale Gallupi, 7, Sem Complemento, Paraisópolis, São Paulo/SP, Brasil, 05660-000;5741;1;Não possui características que destoem dos demais;0.02999188694903;Renda
28.757.546/0001-00;2024-12-31;1;Catarina Fashion Outlet;Rodovia Castelo Branco, 0, Sem Complemento, Dona Catarina, Sao Roque/SP, Brasil, 18132-900;29529;1;Não possui caracteristicas que destoem dos demais;0.02118283625452;Renda
28.757.546/0001-00;2024-12-31;1;Shopping Bela Vista;Alameda Euvaldo Luz, 92, Sem Complemento, Horto Bela Vista, Salvador/BA, Brasil, 41098-020;51143;1;Não possui caracteristicas que destoem dos demais;0.03057279858746;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Paulista 2000;Avenida Paulista, 1.998/2.000, São Paulo, SP;6089;1;-;0.022878;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Una Aimorés;Rua dos Aimorés, 1451;9738;1;-;0.015041;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Escola Parque;Rua Pedra de Itauna, 111;5588;1;-;0.010938;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Colégio POP;Praça Padre Aleixo Monteiro Mafra, 18;4225.76;1;-;0.003565;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Arapiraca;Rua Maria Genusir Soares, nº 308;11503;1;-;0.015891;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Camaçari;Av. Jorge Amado, s/n;12732;1;-;0.019099;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Castanhal;Av. Presidente Vargas, 5600;11070;1;-;0.012499;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Curitiba;Av. Juscelino Kubitschek de Oliveira, 2511;12880;1;-;0.025928;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Guanambi;Estrada Lagoa Patos (BR 030), km 6;10806;1;-;0.012904;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Palmas;Av. Joaquim Teotônio Segurado, s/n;15789;1;-;0.019129;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Taubaté;Av. Dom Pedro I, E-630;12950;1;-;0.019905;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Iguatu;Av. Carlos Roberto Costa, 180;11257;1;-;0.013062;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Petrópolis;Estrada União e Indústria, 870;14196;1;-;0.021493;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Rondonópolis;Av. Bandeirantes, nº 4.335;14415;1;-;0.021871;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Porto Velho;Rodovia BR 364, s/n, Km 3,5;7910;1;-;0.005402;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja Rio Branco;Rua São João, 2500, Floresta;7710;1;-;0.006162;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja São Luis;Av. Jerônimo de Albuquerque, 260;7867.87;1;-;0.00789;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja São  Paulo - Brooklin;Rua Joaquim Nabuco, 112/126 - Brooklin;1056.82;1;-;0.004831;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja São Paulo - Rua Direita;Rua Direita, 226 - Centro;2611.29;1;-;0.006525;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja São Paulo - Teodoro Sampaio;Rua Teodoro Sampaio, 2.160 - Pinheiros;4887.67;1;-;0.0085;Renda
29.641.226/0001-53;2024-12-31;1;Aquisição Loja São Paulo - Tucuruvi;Av. Tucuruvi, 400 - Tucuruvi;2750;1;-;0.003409;Renda
