CNPJ_Fundo_Classe;Data_Referencia;Versao;Percentual_Vencimento_Valor_Total_Faixa_Ate_3Meses;Percentual_Vencimento_Receita_FII_Faixa_Ate_3Meses;Percentual_Vencimento_Valor_Total_Faixa_3a6Meses;Percentual_Vencimento_Receita_FII_Faixa_3a6Meses;Percentual_Vencimento_Valor_Total_Faixa_6a9Meses;Percentual_Vencimento_Receita_FII_Faixa_6a9Meses;Percentual_Vencimento_Valor_Total_Faixa_9a12Meses;Percentual_Vencimento_Receita_FII_Faixa_9a12Meses;Percentual_Vencimento_Valor_Total_Faixa_12a15Meses;Percentual_Vencimento_Receita_FII_Faixa_12a15Meses;Percentual_Vencimento_Valor_Total_Faixa_15a18Meses;Percentual_Vencimento_Receita_FII_Faixa_15a18Meses;Percentual_Vencimento_Valor_Total_Faixa_18a21Meses;Percentual_Vencimento_Receita_FII_Faixa_18a21Meses;Percentual_Vencimento_Valor_Total_Faixa_21a24Meses;Percentual_Vencimento_Receita_FII_Faixa_21a24Meses;Percentual_Vencimento_Valor_Total_Faixa_24a27Meses;Percentual_Vencimento_Receita_FII_Faixa_24a27Meses;Percentual_Vencimento_Valor_Total_Faixa_27a30Meses;Percentual_Vencimento_Receita_FII_Faixa_27a30Meses;Percentual_Vencimento_Valor_Total_Faixa_30a33Meses;Percentual_Vencimento_Receita_FII_Faixa_30a33Meses;Percentual_Vencimento_Valor_Total_Faixa_33a36Meses;Percentual_Vencimento_Receita_FII_Faixa_33a36Meses;Percentual_Vencimento_Valor_Total_Faixa_Acima_36Meses;Percentual_Vencimento_Receita_FII_Faixa_Acima_36Meses;Percentual_Vencimento_Valor_Total_Faixa_Indeterminado;Percentual_Vencimento_Receita_FII_Faixa_Indeterminado;Percentual_Indexador_Valor_Total_IGPM;Percentual_Indexador_Receita_FII_IGPM;Percentual_Indexador_Valor_Total_INPC;Percentual_Indexador_Receita_FII_INPC;Percentual_Indexador_Valor_Total_IPCA;Percentual_Indexador_Receita_FII_IPCA;Percentual_Indexador_Valor_Total_INCC;Percentual_Indexador_Receita_FII_INCC;Caracteristicas_Contratuais;Politica_Contratacao_Seguro_Imovel_Renda_Acabado;Politica_Contratacao_Seguro_Imovel_Renda_Construcao;Politica_Contratacao_Seguro_Imovel_Venda_Acabado;Politica_Contratacao_Seguro_Imovel_Venda_Construcao;Ativo_Liquidez_Valor_Disponibilidades;Ativo_Liquidez_Valor_Titulos_Publicos;Ativo_Liquidez_Valor_Titulos_Privados;Ativo_Liquidez_Valor_Fundos_Renda_Fixa
00.332.266/0001-31;2025-03-31;1;0;0;0.010458;0.010246;0.01433;0.01404;0.010334;0.010125;0.002225;0.00218;0.012806;0.012547;0.003858;0.00378;0.045739;0.044814;0.019104;0.018717;0.026808;0.026266;0.002751;0.002696;0.006191;0.006065;0.127691;0.125109;0.717705;0.703187;;;0.033163;0.032492;0.065323;0.064002;;;Contratos típicos de 5 anos, ajustados anualmente principalmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;609375.92;;;5148615.58
00.613.094/0001-74;2025-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;Prazo de locação entre 60 e 120 meses, reajustado anualmente pela variação positiva do IGPM ou IPCA. O contrato de locação deve ser cumprido integralmente, sob penas de pagamento de indenização e multa por desistência da locação ou por rescisão, ou resiliçao antecipada. Para grande parte dos locatários, a garantia é obtida através de fiador, carta fiança, depósito caução ou depósito antecipado.;A locadora contratará seguro para o imóvel, considerando seu valor real e este custo será reembolsado pela locatária. Tal seguro inclui as dependências e instalações comuns, elevadores, ar condicionado, ou outros equipamentos, contemplando Riscos Operacionais e Responsabilidade Civil.;;;;569584.13;0;0;0
00.762.723/0001-28;2025-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanda fica a cargo do condomínio.;;;;5587.28;;;477519.25
00.868.235/0001-08;2025-03-31;1;0;0;0.119935588744564;0.117362289449589;0.0215524484084943;0.0210900260293231;0.0462342985395318;0.0452423103475295;0.0238000432011391;0.0232893971532816;0.0328582399969428;0.032153244201255;0;0;0.101152603687307;0.0989823060594044;0.0339589883302991;0.0332303752335265;0.00402371800932006;0.0039373864139617;0.00729384011885802;0.00713734583861987;0.00730496262031499;0.00714822969927425;0.336624031741304;0.329401535127755;0.265261236601925;0.259569877095734;1;0.978544322649254;;;;;;;Contratos majoritriamente corrigidos pelo IGP-M e com prazo de 5 anos.;A contratação dos sguros fica a cargo do condominio e dos locatários.;;;;22255.16;;;2784022.51
01.201.140/0001-90;2025-03-31;1;0.04437;0.043514;0.037915;0.037184;0.012383;0.012144;0.029404;0.028837;0.007566;0.00742;0.059339;0.058189;0.045089;0.04422;0.024525;0.024052;0.036287;0.035587;0.04741;0.046495;0.074254;0.072821;0.028544;0.027993;0.426154;0.41793;0.12676;0.124314;0.028815;0.028259;0.004935;0.00484;0.074467;0.07303;;;Contratos típicos de 5 anos, ajustados anualmente em sua maioria pelo indíce IGP-DI, IGP-M, IPCA e IPC-FIPE e INPC com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;5368.78;;;10333450.67
01.235.622/0001-61;2025-03-31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A;Cabe ao Locatário o pagamento do seguro contra incêndio bem como por danos, ocorrências e sinistros no Imóvel, contra qualquer risco de destruição parcial ou total que possibilite sua reconstrução, cujo beneficiário será o Locador. O Locador contratará diretamente este seguro e cobrará do Locatário o valor através de boleto bancário. Caso a qualquer momento sejam exigidas obras de melhoria e manutenção no imóvel para a continuidade ou renovação do seguro de incêndio, o Locatário se compromete a fazer estas às suas expensas se responsabilizando ainda por qualquer autorização ou licença dos órgãos competentes necessárias à realização de tais obras. O descumprimento de qualquer das obrigações aqui dispostas, será caracterizado como infração contratual.;;Conforme contrato.;Conforme contrato.;3229.95;;;251702708.49
01.356.517/0001-80;2025-03-31;1;0.010325;0.00857;0.034299;0.02847;0.019179;0.015919;0.005126;0.004255;0.004284;0.003556;0.011507;0.009551;0.002305;0.001913;0.016217;0.013461;0;0;0.003947;0.003276;0.661763;0.549293;0.003329;0.002763;0.099136;0.082287;0.128583;0.10673;1;0.830044;0;0;0;0;0;0;;;;;;457210.33;;;141804772.44
01.497.954/0001-14;2025-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;Cláusula de reajuste - IGPM, garantia por fiador, seguro fiança ou depósito caução, clausula de rescisão determinando o valor da multa, clausula de exigencia para contratação de seguro patrimonial.;Seguro contratado pelos locatários.;;;;2851.14;;;21939.04
01.601.918/0001-59;2025-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contratos com período de 5 anos, demais clausulas são confidenciais.;Em caso de vacância, o seguro é contratado pelo próprio Fundo, com vigência anual.;;;;5950.56;;;6221304.39
01.633.741/0001-72;2025-03-31;1;0;0;0.309111;0.301516;0;0;0;0;0;0;0;0;0.331072;0.322938;0;0;0.028849;0.02814;0;0;0;0;0.09213;0.089866;0.238838;0.232972;0;0;1;0.975432;;;;;;;Do total de ABL locados, 63% dos contratos são reajustados pelo IGP-M e 37% são reajustados pelo IPCA. Cabe informa que os contratos que possuem reajustes pelo IPCA estao em período de carência não possui receita para efeito de comparativo do item 1.1.2.1.3 acima, razão pela qual a informação de IPCA está em branco. Todos os contratos possuem multa rescisória equivalente a 3 alugueis cobrados proporcionalmente ao tempo decorrido de contrato. Garantia: Fiadores PF, Fiadores PJ, carta de fiança bancária.;O seguro é contrato pelo condomínio para cobertura  contra risco de incêndio, raios  e explosão de qualquer natureza de outras coberturas essenciais. A seguro cobre toda a estrutura do imóvel cujo valor do prêmio é repassado para os locatários.;;;;15647.35;1031336.76;;
