CNPJ_Fundo_Classe;Data_Referencia;Versao;Receita_Venda_Estoque_Contabil;Receita_Venda_Estoque_Financeiro;Custo_Estoque_Contabil;Custo_Estoque_Financeiro;Ajuste_Realizacao_Estoque_Contabil;Ajuste_Realizacao_Estoque_Financeiro;Outras_Receitas_Despesas_Estoque_Contabil;Outras_Receitas_Despesas_Estoque_Financeiro;Resultado_Liquido_Estoque_Contabil;Resultado_Liquido_Estoque_Financeiro;Receita_Aluguel_Investimento_Contabil;Receita_Aluguel_Investimento_Financeiro;Despesa_Manutencao_Investimento_Contabil;Despesa_Manutencao_Investimento_Financeiro;Receita_Venda_Investimento_Contabil;Receita_Venda_Investimento_Financeiro;Custo_Investimento_Contabil;Custo_Investimento_Financeiro;Ajuste_Justo_Investimento_Contabil;Ajuste_Justo_Investimento_Financeiro;Outras_Receitas_Despesas_Investimento_Contabil;Outras_Receitas_Despesas_Investimento_Financeiro;Resultado_Liquido_Renda_Contabil;Resultado_Liquido_Renda_Investimento_Financeiro;Receita_Juros_TVM_Contabil;Receita_Juros_TVM_Financeiro;Ajuste_Justo_TVM_Contabil;Ajuste_Justo_TVM_Financeiro;Resultado_Venda_TVM_Contabil;Resultado_Venda_TVM_Financeiro;Outras_Receitas_Despesas_TVM_Contabil;Outras_Receitas_Despesas_TVM_Financeiro;Resultado_Liquido_TVM_Contabil;Resultado_Liquido_TVM_Financeiro;Resultado_Liquido_Total_Contabil;Resultado_Liquido_Total_Financeiro;Receita_Juros_Aplicacao_Contabil;Receita_Juros_Aplicacao_Financeiro;Ajuste_Justo_Aplicacao_Contabil;Ajuste_Justo_Aplicacao_Financeiro;Resultado_Venda_Aplicacao_Contabil;Resultado_Venda_Aplicacao_Financeiro;Outras_Receitas_Despesas_Aplicacao_Contabil;Outras_Receitas_Despesas_Aplicacao_Financeiro;Resultado_Liquido_Recurso_Liquidez_Contabil;Resultado_Liquido_Recurso_Liquidez_Financeiro;Resultado_Liquido_Derivativos_Contabil;Resultado_Liquido_Derivativos_Financeiro;Taxa_Administracao_Contabil;Taxa_Administracao_Financeiro;Taxa_Desempenho_Contabil;Taxa_Desempenho_Financeiro;Despesa_Consultoria_Especializada_Contabil;Despesa_Consultoria_Especializada_Financeiro;Despesa_Empresa_Especializada_Contabil;Despesa_Empresa_Especializada_Financeiro;Despesa_Formador_Mercado_Contabil;Despesa_Formador_Mercado_Financeiro;Despesa_Custodia_Contabil;Despesa_Custodia_Financeiro;Despesa_Auditoria_Independente_Contabil;Despesa_Auditoria_Independente_Financeiro;Despesa_Representantes_Cotistas_Contabil;Despesa_Representantes_Cotistas_Financeiro;Taxa_Imposto_Contribuicao_Contabil;Taxa_Imposto_Contribuicao_Financeiro;Despesa_Comissoes_Emolumentos_Contabil;Despesa_Comissoes_Emolumentos_Financeiro;Despesa_Honorarios_Defesas_Contabil;Despesa_Honorarios_Defesas_Financeiro;Despesa_Contratos_Seguros_Contabil;Despesa_Contratos_Seguros_Financeiro;Despesa_Avaliacoes_Contabil;Despesa_Avaliacoes_Financeiro;Taxa_Ingresso_Saida_Cotista_Contabil;Taxa_Ingresso_Saida_Cotista_Financeiro;Despesa_Registro_Cartorio_Contabil;Despesa_Registro_Cartorio_Financeiro;Outras_Receitas_Depesas_Contabil;Outras_Receitas_Depesas_Financeiro;Total_Receitas_Despesas_Contabil;Total_Receitas_Despesas_Financeiro;Resultado_Trimestral_Liquido_Contabil;Resultado_Trimestral_Liquido_Financeiro;Resultado_Financeiro_Liquido_Acumulado;Resultado_Financeiro_Liquido_Acumulado_95;Parcela_Rendimento_Retido;Lucro_Contabil;Rendimentos_Declarados;Rendimentos_Pagos_Antecipadamente;Rendimento_Liquido_Pagar;Percentual_Resultado_Financeiro_Liquido_Declarado
00.332.266/0001-31;2025-03-31;1;0;0;0;0;0;0;0;0;0;0;9842053.96;10631852.86;-39999.99;-85234.47;0;0;0;0;0;0;-4362478.48;-4362478.48;5439575.49;6184139.91;0;0;0;0;0;0;0;0;0;0;5439575.49;6184139.91;118865.99;118865.99;0;0;0;0;0;0;118865.99;118865.99;;;-325600.13;-325600.14;0;0;0;0;0;0;0;0;0;0;-55158.64;-55158.64;0;0;0;0;0;0;-57911.53;-57911.53;0;0;-5250;-5250;0;0;0;0;-12491.26;-12491.26;-456411.56;-456411.57;5102029.92;5846594.33;5846594.33;5554264.6135;;;4200223.5035;-4200223.5;0.0035;0.718405
00.613.094/0001-74;2025-03-31;1;;;;;;;;;0;0;0;;-145188.03;;0;;-644726.06;;0;;0;;-789914.09;0;0;;0;;0;;0;;0;0;-789914.09;0;0;;0;;0;;0;;0;0;0;0;0;;0;;0;;0;;0;;-27000;;0;;0;;-6509.04;;0;;-106516.64;;0;;0;;0;;0;;-29277.34;0;-169303.02;0;-959217.11;0;0;0;;0;0;0;0;0
00.762.723/0001-28;2025-03-31;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;-1237646.31;600000;-1237646.31;600000;;;;;;;;;0;0;-1237646.31;600000;8073.05;8073.05;;;;;;;8073.05;8073.05;;;-152486.4;-175699.37;0;0;0;0;0;0;0;0;0;0;0;-14000;0;0;0;0;0;0;-6111.76;-6111.76;0;0;-6100;-6100;0;0;0;0;-7208.23;-7208.23;-171906.39;-209119.36;-1401479.65;398953.69;398953.69;379006.0055;;;-0.0045;0;-0.0045;0
00.868.235/0001-08;2025-03-31;1;;;;;;;;;0;0;2512357.95;2456422.53;-1270125.17;-1270125.17;0;0;0;0;0;0;83089.99;52736.64;1325322.77;1239034;;;;;;;;;0;0;1325322.77;1239034;55492.93;55492.93;;;;;;;55492.93;55492.93;;;-174902.22;-174902.22;;;;;;;;;0;0;0.04;-27038.64;;;-30554.06;0;;;-545.38;-545.38;;;-13000;-13000;;;-2731.05;-2731.05;-60171.37;-60171.37;-281904.04;-278388.66;1098911.66;1016138.27;1016138.27;965331.3565;;;1023846.5965;-325896;697950.5965;1.007586
01.201.140/0001-90;2025-03-31;1;;;;;;;;;0;0;9423039.69;12922791.9;-792413.16;-792413.16;;;;;;;-466938.74;-466938.74;8163687.79;11663440;;;;;;;;;0;0;8163687.79;11663440;242498.97;242498.97;;;;;;;242498.97;242498.97;;;-309706.68;-303371.49;;;;;;;;;;;;-18000;;;;;;;-38890.6;-38890.6;;;-5250;-5250;;;-6639;-6639;640709.86;-8680.91;280223.58;-380832;8686410.34;11525106.97;11525106.97;10948851.6215;;;7063623.0015;-7063623;0.0015;0.61289
01.235.622/0001-61;2025-03-31;1;;;;;;;;;0;0;13087792.9;12541419.43;-7924264.96;-7924264.96;42047657.4;28182637.53;;;;;1464468.46;1994479.56;48675653.8;34794271.56;17978101.71;17978101.71;9810273.23;;;;704890.96;704890.96;28493265.9;18682992.67;77168919.7;53477264.23;4946702.84;4946702.84;;;;;;;4946702.84;4946702.84;;;-8265006.32;-8271005.58;;;-1934767.19;-2078749.41;;;;;;;;-349800;;;-1757096.93;-1757096.93;;;;;;;;;;;-976824.68;-976824.68;-17859908.22;-22949937.56;-30793603.34;-36383414.16;51322019.2;22040552.91;22040552.91;20938525.2645;;37769068.62;59809621.5345;-59809621.53;0.0045;2.713617
01.356.517/0001-80;2025-03-31;1;0;;0;;0;;0;;0;0;19278294.39;18772740.47;-420750.36;-1484487.06;0;0;0;0;0;0;17104.7;17104.7;18874648.73;17305358.11;0;;0;;0;;0;;0;0;18874648.73;17305358.11;3930209.37;3930209.37;0;0;0;0;0;0;3930209.37;3930209.37;;;-196110.91;-196110.91;0;0;0;0;-802609.86;-802609.86;0;0;0;0;-4500;-4500;0;0;-3110420.7;-3110420.7;0;0;0;0;0;0;0;0;0;0;0;0;-1496163.75;-1496163.75;-5609805.22;-5609805.22;17195052.88;15625762.26;15625762.26;14844474.147;;;14844474.147;0;14844474.147;0.95
01.497.954/0001-14;2025-03-31;1;0;0;0;0;0;0;0;0;0;0;1362163.73;1297691.43;0;0;0;0;0;0;0;0;-506981.79;-506981.79;855181.94;790709.64;0;0;0;0;0;0;0;0;0;0;855181.94;790709.64;2301.6;2301.6;0;0;0;0;0;0;2301.6;2301.6;;;-59018.9;-57990.74;;;;;;;;;0;0;-20332.8;-20332.8;;;0;0;;;-19934.22;-19934.22;;;0;0;;;0;0;-13097.49;-12873.63;-112383.41;-111131.39;745100.13;681879.85;681879.85;647785.8575;;0;637499.9975;0;637499.9975;0.934915
01.601.918/0001-59;2025-03-31;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;-1052868.23;-230719.51;-1052868.23;-230719.51;;;-296800.48;0;;;;;-296800.48;0;-1349668.71;-230719.51;501473.2;501473.2;;;;;;;501473.2;501473.2;;;-167598.48;-167598.48;;;;;;;;;0;0;0;-18750;;;0;0;;;-13040.69;-13040.69;;;0;0;;;0;0;-27945.4;-27634.56;-208584.57;-227023.73;-1056780.08;43729.96;43729.96;41543.462;;0;0.002;0;0.002;0
01.633.741/0001-72;2025-03-31;1;;;;;;;;;0;0;766868.94;751371.59;;;;;;;;;-154740.33;-157543.33;612128.61;593828.26;;;;;;;;;0;0;612128.61;593828.26;34079.92;30476.99;;;;;;;34079.92;30476.99;;;-38343.45;-37567.61;;;;;;;;;;;-2583.33;0;;;-45699.14;-50967.33;;;-14865.88;-6562.82;;;0;-3400;;;;;-8306.46;-76025.68;-109798.26;-174523.44;536410.27;449781.81;449781.81;427292.7195;;;457207.1995;-254004;203203.1995;1.016509
